	Group1	Group2	p	q
0	SAM	E	0.15149399240422012	0.21410708201864218
1	SAM	FL	0.07299804543011548	0.14599609086023096
2	SAM	FR	0.1784225683488685	0.21410708201864218
3	E	FL	0.7199178531944465	0.7199178531944465
4	E	FR	0.0026840150452621062	0.008052045135786319
5	FL	FR	0.0006358921054650677	0.003815352632790406
