	Measurement	Nutrient	rho	p	q
0	gas	nutr_XA	-0.6376649130643643	0.0024892030253248426	0.0062885129060838135
1	gas	nutr_XL	0.8093439281201549	1.546181387973933e-05	8.73137724973515e-05
2	gas	nutr_XP	0.8093439281201549	1.546181387973933e-05	8.73137724973515e-05
3	gas	nutr_NDF org.	0.8093439281201549	1.546181387973933e-05	8.73137724973515e-05
4	gas	nutr_ADF org.	-0.7786869611459066	5.244196315181236e-05	0.00021888819402495594
5	gas	nutr_OM	0.6376649130643643	0.0024892030253248426	0.0062885129060838135
6	methane_pro	nutr_XA	-0.33109524332188156	0.1538821281396889	0.20098890206000183
7	methane_pro	nutr_XL	0.2575185225836856	0.27302555236756476	0.33177788642134454
8	methane_pro	nutr_XP	0.2575185225836856	0.27302555236756476	0.33177788642134454
9	methane_pro	nutr_NDF org.	0.2575185225836856	0.27302555236756476	0.33177788642134454
10	methane_pro	nutr_ADF org.	-0.16554762166094078	0.4854792210841048	0.561518135229808
11	methane_pro	nutr_OM	0.33109524332188156	0.1538821281396889	0.20098890206000183
12	methane_ml	nutr_XA	-0.5947451593004168	0.005676576280988399	0.01267328658081131
13	methane_ml	nutr_XL	0.6315335196695148	0.0028208733194731426	0.006686514535047449
14	methane_ml	nutr_XP	0.6315335196695148	0.0028208733194731426	0.006686514535047449
15	methane_ml	nutr_NDF org.	0.6315335196695148	0.0028208733194731426	0.006686514535047449
16	methane_ml	nutr_ADF org.	-0.5272998319570706	0.01688679308725432	0.029745543786723203
17	methane_ml	nutr_OM	0.5947451593004168	0.005676576280988399	0.01267328658081131
18	NH3_N_L	nutr_XA	-0.8645264686738018	8.835355142655163e-07	1.2117058481355652e-05
19	NH3_N_L	nutr_XL	0.8277381083047038	6.6650065715845204e-06	4.921851006708569e-05
20	NH3_N_L	nutr_XP	0.8277381083047038	6.6650065715845204e-06	4.921851006708569e-05
21	NH3_N_L	nutr_NDF org.	0.8277381083047038	6.6650065715845204e-06	4.921851006708569e-05
22	NH3_N_L	nutr_ADF org.	-0.6315335196695148	0.0028208733194731426	0.006686514535047449
23	NH3_N_L	nutr_OM	0.8645264686738018	8.835355142655163e-07	1.2117058481355652e-05
24	NH3_N_day	nutr_XA	-0.8645264686738018	8.835355142655163e-07	1.2117058481355652e-05
25	NH3_N_day	nutr_XL	0.8277381083047038	6.6650065715845204e-06	4.921851006708569e-05
26	NH3_N_day	nutr_XP	0.8277381083047038	6.6650065715845204e-06	4.921851006708569e-05
27	NH3_N_day	nutr_NDF org.	0.8277381083047038	6.6650065715845204e-06	4.921851006708569e-05
