Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
A2021	41048	2019-14-2021	Mibi	9/24/2019	Feed residue d13 (24h) Trt4-Run2-HP2	Feed residue at day 13 from 24h bag	Treatment 4 Run 2 Heat pump 2	j
A2022	34968	2019-14-2022	Mibi	9/24/2019	Feed residue d13 (48h) Trt4-Run2-HP2	Feed residue at day 13 from 48h bag	Treatment 4 Run 2 Heat pump 2	j
A2023	42305	2019-14-2023	Mibi	9/24/2019	Feed residue d13 (24h) Trt5-Run2-HP1	Feed residue at day 13 from 24h bag	Treatment 5 Run 2 Heat pump 1	a
A2024	39303	2019-14-2024	Mibi	9/24/2019	Feed residue d13 (48h) Trt5-Run2-HP1	Feed residue at day 13 from 48h bag	Treatment 5 Run 2 Heat pump 1	a
A2025	22640	2019-14-2025	Mibi	9/24/2019	Feed residue d13 (24h) Trt5-Run2-HP2	Feed residue at day 13 from 24h bag	Treatment 5 Run 2 Heat pump 2	g
A2026	35253	2019-14-2026	Mibi	9/24/2019	Feed residue d13 (48h) Trt5-Run2-HP2	Feed residue at day 13 from 48h bag	Treatment 5 Run 2 Heat pump 2	g
A2027	36335	2019-14-2027	Mibi	9/24/2019	SAM d13 Trt1-Run2-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 1 Run 2 Heat pump 1	b
A2028	30158	2019-14-2028	Mibi	9/24/2019	SAM d13 Trt1-Run2-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 1 Run 2 Heat pump 2	i
A2029	40300	2019-14-2029	Mibi	9/24/2019	SAM d13 Trt2-Run2-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 2 Run 2 Heat pump 1	c
A2030	16496	2019-14-2030	Mibi	9/24/2019	SAM d13 Trt2-Run2-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 2 Run 2 Heat pump 2	f
A2031	18359	2019-14-2031	Mibi	9/24/2019	SAM d13 Trt3-Run2-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 3 Run 2 Heat pump 1	e
A2032	49134	2019-14-2032	Mibi	9/24/2019	SAM d13 Trt3-Run2-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 3 Run 2 Heat pump 2	h
A2033	38185	2019-14-2033	Mibi	9/24/2019	SAM d13 Trt4-Run2-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 4 Run 2 Heat pump 1	d
A2034	39463	2019-14-2034	Mibi	9/24/2019	SAM d13 Trt4-Run2-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 4 Run 2 Heat pump 2	j
A2035	30474	2019-14-2035	Mibi	9/24/2019	SAM d13 Trt5-Run2-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 5 Run 2 Heat pump 1	a
A2036	29835	2019-14-2036	Mibi	9/24/2019	SAM d13 Trt5-Run2-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 5 Run 2 Heat pump 2	g
A2037	25530	2019-14-2037	Mibi	9/18/2019	Fermenter liquid d7 Trt1-Run2-HP1	Fermenter liquid at day 7	Treatment 1 Run 2 Heat pump 1	b
A2038	38824	2019-14-2038	Mibi	9/18/2019	Fermenter liquid d7 Trt1-Run2-HP2	Fermenter liquid at day 7	Treatment 1 Run 2 Heat pump 2	i
A2039	31547	2019-14-2039	Mibi	9/18/2019	Fermenter liquid d7 Trt2-Run2-HP1	Fermenter liquid at day 7	Treatment 2 Run 2 Heat pump 1	c
A2040	34849	2019-14-2040	Mibi	9/18/2019	Fermenter liquid d7 Trt2-Run2-HP2	Fermenter liquid at day 7	Treatment 2 Run 2 Heat pump 2	f
A2041	32844	2019-14-2041	Mibi	9/18/2019	Fermenter liquid d7 Trt3-Run2-HP1	Fermenter liquid at day 7	Treatment 3 Run 2 Heat pump 1	e
A2042	27152	2019-14-2042	Mibi	9/18/2019	Fermenter liquid d7 Trt3-Run2-HP2	Fermenter liquid at day 7	Treatment 3 Run 2 Heat pump 2	h
A2043	24844	2019-14-2043	Mibi	9/18/2019	Fermenter liquid d7 Trt4-Run2-HP1	Fermenter liquid at day 7	Treatment 4 Run 2 Heat pump 1	d
A2044	27921	2019-14-2044	Mibi	9/18/2019	Fermenter liquid d7 Trt4-Run2-HP2	Fermenter liquid at day 7	Treatment 4 Run 2 Heat pump 2	j
A2045	24876	2019-14-2045	Mibi	9/18/2019	Fermenter liquid d7 Trt5-Run2-HP1	Fermenter liquid at day 7	Treatment 5 Run 2 Heat pump 1	a
A2046	14009	2019-14-2046	Mibi	9/18/2019	Fermenter liquid d7 Trt5-Run2-HP2	Fermenter liquid at day 7	Treatment 5 Run 2 Heat pump 2	g
A2047	15167	2019-14-2047	Mibi	9/24/2019	Fermenter liquid d13 Trt1-Run2-HP1	Fermenter liquid at day 13	Treatment 1 Run 2 Heat pump 1	b
A2048	27748	2019-14-2048	Mibi	9/24/2019	Fermenter liquid d13 Trt1-Run2-HP2	Fermenter liquid at day 13	Treatment 1 Run 2 Heat pump 2	i
A2049	32178	2019-14-2049	Mibi	9/24/2019	Fermenter liquid d13 Trt2-Run2-HP1	Fermenter liquid at day 13	Treatment 2 Run 2 Heat pump 1	c
