Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
B2041	32175	2019-14-2041	Mibi	9/18/2019	Fermenter liquid d7 Trt3-Run2-HP1	Fermenter liquid at day 7	Treatment 3 Run 2 Heat pump 1	e
B2042	63732	2019-14-2042	Mibi	9/18/2019	Fermenter liquid d7 Trt3-Run2-HP2	Fermenter liquid at day 7	Treatment 3 Run 2 Heat pump 2	h
B2043	51929	2019-14-2043	Mibi	9/18/2019	Fermenter liquid d7 Trt4-Run2-HP1	Fermenter liquid at day 7	Treatment 4 Run 2 Heat pump 1	d
B2044	47888	2019-14-2044	Mibi	9/18/2019	Fermenter liquid d7 Trt4-Run2-HP2	Fermenter liquid at day 7	Treatment 4 Run 2 Heat pump 2	j
B2045	36892	2019-14-2045	Mibi	9/18/2019	Fermenter liquid d7 Trt5-Run2-HP1	Fermenter liquid at day 7	Treatment 5 Run 2 Heat pump 1	a
B2046	32418	2019-14-2046	Mibi	9/18/2019	Fermenter liquid d7 Trt5-Run2-HP2	Fermenter liquid at day 7	Treatment 5 Run 2 Heat pump 2	g
B2047	32262	2019-14-2047	Mibi	9/24/2019	Fermenter liquid d13 Trt1-Run2-HP1	Fermenter liquid at day 13	Treatment 1 Run 2 Heat pump 1	b
B2048	32129	2019-14-2048	Mibi	9/24/2019	Fermenter liquid d13 Trt1-Run2-HP2	Fermenter liquid at day 13	Treatment 1 Run 2 Heat pump 2	i
B2049	32255	2019-14-2049	Mibi	9/24/2019	Fermenter liquid d13 Trt2-Run2-HP1	Fermenter liquid at day 13	Treatment 2 Run 2 Heat pump 1	c
B2050	38928	2019-14-2050	Mibi	9/24/2019	Fermenter liquid d13 Trt2-Run2-HP2	Fermenter liquid at day 13	Treatment 2 Run 2 Heat pump 2	f
B2051	39569	2019-14-2051	Mibi	9/24/2019	Fermenter liquid d13 Trt3-Run2-HP1	Fermenter liquid at day 13	Treatment 3 Run 2 Heat pump 1	e
B2052	32419	2019-14-2052	Mibi	9/24/2019	Fermenter liquid d13 Trt3-Run2-HP2	Fermenter liquid at day 13	Treatment 3 Run 2 Heat pump 2	h
B2053	35774	2019-14-2053	Mibi	9/24/2019	Fermenter liquid d13 Trt4-Run2-HP1	Fermenter liquid at day 13	Treatment 4 Run 2 Heat pump 1	d
B2054	69305	2019-14-2054	Mibi	9/24/2019	Fermenter liquid d13 Trt4-Run2-HP2	Fermenter liquid at day 13	Treatment 4 Run 2 Heat pump 2	j
B2055	163	2019-14-2055	Mibi	9/24/2019	Fermenter liquid d13 Trt5-Run2-HP1	Fermenter liquid at day 13	Treatment 5 Run 2 Heat pump 1	a
B2056	40971	2019-14-2056	Mibi	9/24/2019	Fermenter liquid d13 Trt5-Run2-HP2	Fermenter liquid at day 13	Treatment 5 Run 2 Heat pump 2	g
B2057	40422	2019-14-2057	Mibi	9/18/2019	Effluent d7 Trt1-Run2-HP1	Effluent at day 7	Treatment 1 Run 2 Heat pump 1	b
B2058	35358	2019-14-2058	Mibi	9/18/2019	Effluent d7 Trt1-Run2-HP2	Effluent at day 7	Treatment 1 Run 2 Heat pump 2	i
B2059	26424	2019-14-2059	Mibi	9/18/2019	Effluent d7 Trt2-Run2-HP1	Effluent at day 7	Treatment 2 Run 2 Heat pump 1	c
B2060	27275	2019-14-2060	Mibi	9/18/2019	Effluent d7 Trt2-Run2-HP2	Effluent at day 7	Treatment 2 Run 2 Heat pump 2	f
B2061	33760	2019-14-2061	Mibi	9/18/2019	Effluent d7 Trt3-Run2-HP1	Effluent at day 7	Treatment 3 Run 2 Heat pump 1	e
B2062	29652	2019-14-2062	Mibi	9/18/2019	Effluent d7 Trt3-Run2-HP2	Effluent at day 7	Treatment 3 Run 2 Heat pump 2	h
B2063	28940	2019-14-2063	Mibi	9/18/2019	Effluent d7 Trt4-Run2-HP1	Effluent at day 7	Treatment 4 Run 2 Heat pump 1	d
B2064	31886	2019-14-2064	Mibi	9/18/2019	Effluent d7 Trt4-Run2-HP2	Effluent at day 7	Treatment 4 Run 2 Heat pump 2	j
B2065	43833	2019-14-2065	Mibi	9/18/2019	Effluent d7 Trt5-Run2-HP1	Effluent at day 7	Treatment 5 Run 2 Heat pump 1	a
B2066	35002	2019-14-2066	Mibi	9/18/2019	Effluent d7 Trt5-Run2-HP2	Effluent at day 7	Treatment 5 Run 2 Heat pump 2	g
B2067	32604	2019-14-2067	Mibi	9/24/2019	Effluent d13 Trt1-Run2-HP1	Effluent at day 13	Treatment 1 Run 2 Heat pump 1	b
B2068	33273	2019-14-2068	Mibi	9/24/2019	Effluent d13 Trt1-Run2-HP2	Effluent at day 13	Treatment 1 Run 2 Heat pump 2	i
B2069	27020	2019-14-2069	Mibi	9/24/2019	Effluent d13 Trt2-Run2-HP1	Effluent at day 13	Treatment 2 Run 2 Heat pump 1	c
B2070	29118	2019-14-2070	Mibi	9/24/2019	Effluent d13 Trt2-Run2-HP2	Effluent at day 13	Treatment 2 Run 2 Heat pump 2	f
B2071	27332	2019-14-2071	Mibi	9/24/2019	Effluent d13 Trt3-Run2-HP1	Effluent at day 13	Treatment 3 Run 2 Heat pump 1	e
B2072	27874	2019-14-2072	Mibi	9/24/2019	Effluent d13 Trt3-Run2-HP2	Effluent at day 13	Treatment 3 Run 2 Heat pump 2	h
B2073	23972	2019-14-2073	Mibi	9/24/2019	Effluent d13 Trt4-Run2-HP1	Effluent at day 13	Treatment 4 Run 2 Heat pump 1	d
B2074	24923	2019-14-2074	Mibi	9/24/2019	Effluent d13 Trt4-Run2-HP2	Effluent at day 13	Treatment 4 Run 2 Heat pump 2	j
B2075	24966	2019-14-2075	Mibi	9/24/2019	Effluent d13 Trt5-Run2-HP1	Effluent at day 13	Treatment 5 Run 2 Heat pump 1	a
B2076	26978	2019-14-2076	Mibi	9/24/2019	Effluent d13 Trt5-Run2-HP2	Effluent at day 13	Treatment 5 Run 2 Heat pump 2	g
