	Metric	KW	Group1	Group2	p	q	reject H0
0	faith_pd	2.470124912230638e-07	FR_d13	RF_d0	7.232684980439795e-05	0.000675050598174381	True
1	faith_pd	2.470124912230638e-07	FR_d13	E_d7	0.340182232979544	0.4141348923229231	False
2	faith_pd	2.470124912230638e-07	FR_d13	E_d13	0.09168858201976773	0.13512001560807876	False
3	faith_pd	2.470124912230638e-07	FR_d13	SAM_d13	0.9510376489962059	0.9510376489962059	False
4	faith_pd	2.470124912230638e-07	FR_d13	RSP_d0	0.001052859021207311	0.0036850065742255887	True
5	faith_pd	2.470124912230638e-07	FR_d13	FL_d13	0.00017133793277895008	0.0011410314222013282	True
6	faith_pd	2.470124912230638e-07	FR_d13	FL_d7	0.04231406482823388	0.07898625434603658	False
7	faith_pd	2.470124912230638e-07	RF_d0	E_d7	1.7193620278792962e-05	0.00048142136780620297	True
8	faith_pd	2.470124912230638e-07	RF_d0	E_d13	0.010169699084000677	0.025886506759274452	True
9	faith_pd	2.470124912230638e-07	RF_d0	SAM_d13	0.00020375561110738002	0.0011410314222013282	True
10	faith_pd	2.470124912230638e-07	RF_d0	RSP_d0	0.8490865270344237	0.8805341761838468	False
11	faith_pd	2.470124912230638e-07	RF_d0	FL_d13	0.22475315873814428	0.2860494747576382	False
12	faith_pd	2.470124912230638e-07	RF_d0	FL_d7	0.019032425949270997	0.04440899388163233	True
13	faith_pd	2.470124912230638e-07	E_d7	E_d13	0.02221797138614043	0.04785409221630247	True
14	faith_pd	2.470124912230638e-07	E_d7	SAM_d13	0.4396156874547935	0.4923695699493687	False
15	faith_pd	2.470124912230638e-07	E_d7	RSP_d0	0.0002701232897976278	0.0012605753523889298	True
16	faith_pd	2.470124912230638e-07	E_d7	FL_d13	4.494554351354259e-05	0.0006292376091895963	True
17	faith_pd	2.470124912230638e-07	E_d7	FL_d7	0.009754486140803398	0.025886506759274452	True
18	faith_pd	2.470124912230638e-07	E_d13	SAM_d13	0.13008206258885374	0.179519924759275	False
19	faith_pd	2.470124912230638e-07	E_d13	RSP_d0	0.03671380080707564	0.07342760161415128	False
20	faith_pd	2.470124912230638e-07	E_d13	FL_d13	0.07283789876973852	0.11330339808625992	False
21	faith_pd	2.470124912230638e-07	E_d13	FL_d7	0.7658615662446496	0.8247739944173149	False
22	faith_pd	2.470124912230638e-07	SAM_d13	RSP_d0	0.0018248950566732347	0.005677451287427841	True
23	faith_pd	2.470124912230638e-07	SAM_d13	FL_d13	0.0009409123270243477	0.0036850065742255887	True
24	faith_pd	2.470124912230638e-07	SAM_d13	FL_d7	0.0700525362195135	0.11330339808625992	False
25	faith_pd	2.470124912230638e-07	RSP_d0	FL_d13	0.3841612103993707	0.4481880787992658	False
26	faith_pd	2.470124912230638e-07	RSP_d0	FL_d7	0.0592111387930065	0.10361949288776137	False
27	faith_pd	2.470124912230638e-07	FL_d13	FL_d7	0.13463994356945624	0.179519924759275	False
28	shannon_entropy	9.741776950061034e-09	FR_d13	RF_d0	0.8700893555655396	0.9121889602309482	False
29	shannon_entropy	9.741776950061034e-09	FR_d13	E_d7	4.913663197538349e-06	4.586085651035793e-05	True
30	shannon_entropy	9.741776950061034e-09	FR_d13	E_d13	0.879610783079843	0.9121889602309482	False
31	shannon_entropy	9.741776950061034e-09	FR_d13	SAM_d13	0.08262044337005957	0.17795172418166674	False
32	shannon_entropy	9.741776950061034e-09	FR_d13	RSP_d0	0.24674308992518512	0.36362139567922014	False
33	shannon_entropy	9.741776950061034e-09	FR_d13	FL_d13	0.141670953449994	0.2641140438193235	False
34	shannon_entropy	9.741776950061034e-09	FR_d13	FL_d7	0.0032047805307766635	0.009970428317971841	True
35	shannon_entropy	9.741776950061034e-09	RF_d0	E_d7	0.0016770657422566287	0.005869730097898201	True
36	shannon_entropy	9.741776950061034e-09	RF_d0	E_d13	0.8021475012509615	0.9121889602309482	False
37	shannon_entropy	9.741776950061034e-09	RF_d0	SAM_d13	0.3246948067291058	0.45457272942074806	False
38	shannon_entropy	9.741776950061034e-09	RF_d0	RSP_d0	0.41125832741844404	0.531438441612565	False
39	shannon_entropy	9.741776950061034e-09	RF_d0	FL_d13	0.4175587755527297	0.531438441612565	False
40	shannon_entropy	9.741776950061034e-09	RF_d0	FL_d7	0.03744058469262301	0.08736136428278703	False
41	shannon_entropy	9.741776950061034e-09	E_d7	E_d13	0.0001306579509752212	0.0006097371045510324	True
42	shannon_entropy	9.741776950061034e-09	E_d7	SAM_d13	4.7740065928385095e-08	1.3367218459947828e-06	True
43	shannon_entropy	9.741776950061034e-09	E_d7	RSP_d0	0.00015856395202080832	0.0006342558080832333	True
44	shannon_entropy	9.741776950061034e-09	E_d7	FL_d13	1.7034286325368564e-07	2.384800085551599e-06	True
45	shannon_entropy	9.741776950061034e-09	E_d7	FL_d7	0.16035495517601783	0.2641140438193235	False
46	shannon_entropy	9.741776950061034e-09	E_d13	SAM_d13	0.10219306012467945	0.2043861202493589	False
47	shannon_entropy	9.741776950061034e-09	E_d13	RSP_d0	0.23858264904430027	0.36362139567922014	False
48	shannon_entropy	9.741776950061034e-09	E_d13	FL_d13	0.16035495517601783	0.2641140438193235	False
49	shannon_entropy	9.741776950061034e-09	E_d13	FL_d7	0.015463561996570417	0.039361794173088334	True
50	shannon_entropy	9.741776950061034e-09	SAM_d13	RSP_d0	0.9455949585381501	0.9455949585381501	False
51	shannon_entropy	9.741776950061034e-09	SAM_d13	FL_d13	0.8177540424852541	0.9121889602309482	False
52	shannon_entropy	9.741776950061034e-09	SAM_d13	FL_d7	4.999512824997677e-05	0.0003499658977498374	True
53	shannon_entropy	9.741776950061034e-09	RSP_d0	FL_d13	0.822143388312154	0.9121889602309482	False
54	shannon_entropy	9.741776950061034e-09	RSP_d0	FL_d7	0.004750079931961242	0.013300223809491475	True
55	shannon_entropy	9.741776950061034e-09	FL_d13	FL_d7	0.0001306579509752212	0.0006097371045510324	True
