	Metric	KW	Group1	Group2	p	q	reject H0
0	faith_pd	1.2717516766112933e-20	FR_d13	RF_d0	3.6366794959984345e-08	2.0365405177591233e-07	True
1	faith_pd	1.2717516766112933e-20	FR_d13	E_d7	9.927909569935361e-11	1.3899073397909505e-09	True
2	faith_pd	1.2717516766112933e-20	FR_d13	SAM_d13	0.7308282817406861	0.7578959958792301	False
3	faith_pd	1.2717516766112933e-20	FR_d13	E_d13	1.578059899760996e-09	1.4728559064435964e-08	True
4	faith_pd	1.2717516766112933e-20	FR_d13	RSP_d0	0.003208300312662117	0.008166582614049026	True
5	faith_pd	1.2717516766112933e-20	FR_d13	FL_d13	1.7421356389050438e-12	4.877979788934123e-11	True
6	faith_pd	1.2717516766112933e-20	FR_d13	FL_d7	4.993531181772812e-08	2.3303145514939792e-07	True
7	faith_pd	1.2717516766112933e-20	RF_d0	E_d7	0.39527388450273926	0.5030758530034863	False
8	faith_pd	1.2717516766112933e-20	RF_d0	SAM_d13	9.869660691323867e-07	3.070561103967425e-06	True
9	faith_pd	1.2717516766112933e-20	RF_d0	E_d13	0.2895060944187391	0.4516289285242861	False
10	faith_pd	1.2717516766112933e-20	RF_d0	RSP_d0	0.11645338794789095	0.248846972021985	False
11	faith_pd	1.2717516766112933e-20	RF_d0	FL_d13	0.7033114650162335	0.7574123469405591	False
12	faith_pd	1.2717516766112933e-20	RF_d0	FL_d7	0.12816896072796205	0.248846972021985	False
13	faith_pd	1.2717516766112933e-20	E_d7	SAM_d13	8.801366061849818e-08	3.5205464247399274e-07	True
14	faith_pd	1.2717516766112933e-20	E_d7	E_d13	0.7768531195624886	0.7768531195624886	False
15	faith_pd	1.2717516766112933e-20	E_d7	RSP_d0	0.29033288262275536	0.4516289285242861	False
16	faith_pd	1.2717516766112933e-20	E_d7	FL_d13	0.5425190012524839	0.6452796636186745	False
17	faith_pd	1.2717516766112933e-20	E_d7	FL_d7	0.3745370285523515	0.5030758530034863	False
18	faith_pd	1.2717516766112933e-20	SAM_d13	E_d13	5.810186813475457e-07	2.03356538471641e-06	True
19	faith_pd	1.2717516766112933e-20	SAM_d13	RSP_d0	0.009962315232888827	0.023245402210073932	True
20	faith_pd	1.2717516766112933e-20	SAM_d13	FL_d13	3.865407205757526e-09	2.7057850440302686e-08	True
21	faith_pd	1.2717516766112933e-20	SAM_d13	FL_d7	8.12471941614019e-06	2.274921436519253e-05	True
22	faith_pd	1.2717516766112933e-20	E_d13	RSP_d0	0.39136892710019255	0.5030758530034863	False
23	faith_pd	1.2717516766112933e-20	E_d13	FL_d13	0.3782071240727304	0.5030758530034863	False
24	faith_pd	1.2717516766112933e-20	E_d13	FL_d7	0.5530968545302924	0.6452796636186745	False
25	faith_pd	1.2717516766112933e-20	RSP_d0	FL_d13	0.14219826972684857	0.248846972021985	False
26	faith_pd	1.2717516766112933e-20	RSP_d0	FL_d7	0.6497498429655664	0.7277198241214343	False
27	faith_pd	1.2717516766112933e-20	FL_d13	FL_d7	0.13739647079614617	0.248846972021985	False
28	shannon_entropy	8.80214022767018e-23	FR_d13	RF_d0	4.904905884409783e-12	1.3733736476347394e-10	True
29	shannon_entropy	8.80214022767018e-23	FR_d13	E_d7	8.65888054950341e-10	6.061216384652387e-09	True
30	shannon_entropy	8.80214022767018e-23	FR_d13	SAM_d13	0.26066525399413576	0.347553671992181	False
31	shannon_entropy	8.80214022767018e-23	FR_d13	E_d13	1.5042871922067923e-08	6.017148768827169e-08	True
32	shannon_entropy	8.80214022767018e-23	FR_d13	RSP_d0	7.85700333141661e-10	6.061216384652387e-09	True
33	shannon_entropy	8.80214022767018e-23	FR_d13	FL_d13	7.492578711086824e-11	1.0489610195521554e-09	True
34	shannon_entropy	8.80214022767018e-23	FR_d13	FL_d7	1.0921944006658083e-08	6.017148768827169e-08	True
35	shannon_entropy	8.80214022767018e-23	RF_d0	E_d7	0.017586762305788445	0.029258915339487584	True
36	shannon_entropy	8.80214022767018e-23	RF_d0	SAM_d13	1.338811426996493e-08	6.017148768827169e-08	True
37	shannon_entropy	8.80214022767018e-23	RF_d0	E_d13	0.009267525914171165	0.01853505182834233	True
38	shannon_entropy	8.80214022767018e-23	RF_d0	RSP_d0	0.9801653181698129	0.9801653181698129	False
39	shannon_entropy	8.80214022767018e-23	RF_d0	FL_d13	0.04177312476670365	0.06156039439303695	False
40	shannon_entropy	8.80214022767018e-23	RF_d0	FL_d7	0.00806548422371319	0.017371812174151485	True
41	shannon_entropy	8.80214022767018e-23	E_d7	SAM_d13	1.2169667625296514e-05	3.407506935083024e-05	True
42	shannon_entropy	8.80214022767018e-23	E_d7	E_d13	0.7467415589087552	0.8041832172863517	False
43	shannon_entropy	8.80214022767018e-23	E_d7	RSP_d0	0.03057316555093385	0.047558257523674874	True
44	shannon_entropy	8.80214022767018e-23	E_d7	FL_d13	0.673014976263804	0.7851841389744381	False
45	shannon_entropy	8.80214022767018e-23	E_d7	FL_d7	0.7159048583709454	0.8018134413754588	False
46	shannon_entropy	8.80214022767018e-23	SAM_d13	E_d13	6.465625467448873e-05	0.0001508645942404737	True
47	shannon_entropy	8.80214022767018e-23	SAM_d13	RSP_d0	2.8291097434988466e-07	9.901884102245965e-07	True
48	shannon_entropy	8.80214022767018e-23	SAM_d13	FL_d13	2.13621418193423e-06	6.645999677128715e-06	True
49	shannon_entropy	8.80214022767018e-23	SAM_d13	FL_d7	6.056755764902085e-05	0.0001508645942404737	True
50	shannon_entropy	8.80214022767018e-23	E_d13	RSP_d0	0.01776434145611746	0.029258915339487584	True
