#SampleID	B1057	B1058	B1059	B1060	B1061	B1062	B1063	B1064	B1065	B1066	B2057	B2058	B2059	B2060	B2061	B2062	B2063	B2064	B2065	B2066
B1057	0.0	0.5746864310148233	0.5857787810383747	0.5887096774193549	0.6291240045506257	0.6260657734470159	0.5991379310344828	0.6139978791092259	0.665911664779162	0.6166854565952651	0.7429130009775171	0.7266401590457257	0.7171270718232045	0.7355110642781876	0.7118463180362861	0.7193169690501601	0.7383474576271186	0.7417695473251029	0.7232142857142857	0.7031914893617022
B1058	0.5746864310148233	0.0	0.5893886966551326	0.5874704491725768	0.6225087924970691	0.6171284634760705	0.5794183445190156	0.5826859045504994	0.6541617819460727	0.6081395348837211	0.7196738022426096	0.6982310093652445	0.7074285714285714	0.7100330760749725	0.6980088495575221	0.6971046770601337	0.7227722772277227	0.7102702702702702	0.7041237113402062	0.7076086956521739
B1059	0.5857787810383747	0.5893886966551326	0.0	0.5905882352941176	0.56865127582017	0.5902688860435339	0.5760626398210291	0.5601799775028121	0.6048484848484849	0.5748218527315915	0.7334004024144869	0.725609756097561	0.7186440677966102	0.7109890109890109	0.7061403508771931	0.6820224719101123	0.7236842105263158	0.7098166127292341	0.7090163934426229	0.7071583514099783
B1060	0.5887096774193549	0.5874704491725768	0.5905882352941176	0.0	0.5854858548585485	0.5440976933514247	0.5787671232876712	0.5625717566016073	0.6288156288156288	0.5477075588599752	0.7400204708290685	0.7094736842105264	0.7079439252336449	0.7062146892655368	0.6879271070615034	0.6778290993071594	0.7293064876957495	0.7234972677595628	0.6990496304118268	0.6921348314606741
B1061	0.6291240045506257	0.6225087924970691	0.56865127582017	0.5854858548585485	0.0	0.5148095909732017	0.5903337169159953	0.5773672055427251	0.5712435233160622	0.5454545454545454	0.7398543184183143	0.7345225603357818	0.7117437722419929	0.7186788154897494	0.6973532796317606	0.6811254396248535	0.7187141216991964	0.7258601553829079	0.6797385620915033	0.6728538283062645
B1062	0.6260657734470159	0.6171284634760705	0.5902688860435339	0.5440976933514247	0.5148095909732017	0.0	0.6017052375152253	0.5775862068965517	0.6040816326530613	0.5472972972972973	0.7413984461709212	0.7441601779755284	0.6963824289405685	0.6997518610421837	0.6795994993742178	0.6750948166877371	0.7251533742331289	0.7340425531914894	0.7102272727272727	0.7003654080389768
B1063	0.5991379310344828	0.5794183445190156	0.5760626398210291	0.5787671232876712	0.5903337169159953	0.6017052375152253	0.0	0.5513100436681223	0.6021003500583431	0.5925507900677199	0.6834677419354839	0.6791878172588832	0.7007700770077008	0.6895810955961332	0.6891025641025641	0.6753528773072747	0.6964477933261571	0.686046511627907	0.6797979797979798	0.6691729323308271
B1064	0.6139978791092259	0.5826859045504994	0.5601799775028121	0.5625717566016073	0.5773672055427251	0.5775862068965517	0.5513100436681223	0.0	0.5856807511737089	0.5350467289719626	0.7064039408866996	0.7010923535253227	0.7016393442622951	0.6918976545842217	0.6745435016111708	0.6806451612903226	0.7124735729386892	0.6924686192468619	0.6740665993945509	0.6702241195304163
B1065	0.665911664779162	0.6541617819460727	0.6048484848484849	0.6288156288156288	0.5712435233160622	0.6040816326530613	0.6021003500583431	0.5856807511737089	0.0	0.5866834170854272	0.7404255319148936	0.7295258620689655	0.7053789731051344	0.712778429073857	0.6860879904875149	0.6723095525997581	0.7020262216924911	0.7129735935706085	0.6730123180291153	0.6509661835748792
B1066	0.6166854565952651	0.6081395348837211	0.5748218527315915	0.5477075588599752	0.5454545454545454	0.5472972972972973	0.5925507900677199	0.5350467289719626	0.5866834170854272	0.0	0.7340862422997947	0.7194994786235662	0.7175925925925926	0.6980703745743473	0.6930917327293318	0.6800920598388953	0.7112117780294449	0.7227074235807859	0.6759656652360515	0.6780045351473923
