#SampleID	B1037	B1038	B1039	B1040	B1041	B1042	B1043	B1044	B1045	B1046	B2037	B2038	B2039	B2040	B2041	B2042	B2043	B2044	B2045	B2046
B1037	0.0	0.5251256281407035	0.6409495548961425	0.5994832041343671	0.65375	0.6515723270440251	0.6423927178153446	0.6517006802721088	0.6883289124668435	0.6612296110414053	0.7575107296137339	0.7391774891774892	0.7391763463569165	0.7542735042735043	0.7428884026258206	0.7147030185004869	0.7497612225405922	0.7534246575342466	0.7432150313152401	0.7534246575342466
B1038	0.5251256281407035	0.0	0.6806722689075629	0.6380368098159509	0.6548780487804878	0.6642335766423357	0.6421319796954315	0.6529801324503312	0.7184343434343434	0.6638141809290954	0.7497360084477297	0.7370095440084835	0.7435633367662204	0.7531380753138075	0.7473347547974414	0.7217473884140551	0.7535014005602241	0.75	0.7306501547987616	0.7587268993839835
B1039	0.6409495548961425	0.6806722689075629	0.0	0.6346153846153846	0.6124794745484401	0.6319218241042345	0.6511627906976745	0.6274864376130199	0.6286231884057971	0.6488673139158576	0.7895424836601307	0.7819843342036553	0.7791878172588832	0.7854356306892067	0.7691275167785235	0.7650397275822929	0.8059866962305987	0.7911832946635731	0.7680608365019012	0.7792041078305519
B1040	0.5994832041343671	0.6380368098159509	0.6346153846153846	0.0	0.623641304347826	0.6210670314637483	0.6792452830188679	0.6486880466472303	0.7026647966339411	0.6297814207650273	0.7803790412486065	0.7739420935412027	0.75	0.7714604236343366	0.7442129629629629	0.7376884422110552	0.7746062992125984	0.7690742624618515	0.7568157033805889	0.7649006622516556
B1041	0.65375	0.6548780487804878	0.6124794745484401	0.623641304347826	0.0	0.5576368876080692	0.6448467966573816	0.6510263929618768	0.6216216216216216	0.6050420168067226	0.7800224466891134	0.7582292849035187	0.7367829021372329	0.7528473804100227	0.7136038186157518	0.7306910569105691	0.7693836978131213	0.7572314049586777	0.7226606538895152	0.7616926503340757
B1042	0.6515723270440251	0.6642335766423357	0.6319218241042345	0.6210670314637483	0.5576368876080692	0.0	0.6230440967283073	0.6199095022624435	0.6018376722817764	0.5822603719599427	0.7704545454545455	0.7680995475113123	0.7222857142857143	0.7442396313364056	0.7087845968712395	0.7095435684647303	0.7532861476238625	0.7468619246861925	0.7167235494880546	0.7348571428571429
B1043	0.6423927178153446	0.6421319796954315	0.6511627906976745	0.6792452830188679	0.6448467966573816	0.6230440967283073	0.0	0.6205287713841369	0.6529680365296804	0.6223175965665236	0.7301204819277108	0.7399049881235155	0.7398843930635838	0.7296650717703349	0.7240537240537241	0.7372793354101765	0.7460978147762747	0.7213114754098361	0.7104337631887456	0.7093301435406698
B1044	0.6517006802721088	0.6529801324503312	0.6274864376130199	0.6486880466472303	0.6510263929618768	0.6199095022624435	0.6205287713841369	0.0	0.6247933884297521	0.5803432137285491	0.7471839799749687	0.7586206896551724	0.726044226044226	0.7179161372299873	0.7363057324840764	0.7317339149400218	0.7532467532467533	0.7477578475336323	0.7216117216117216	0.7441860465116279
B1045	0.6883289124668435	0.7184343434343434	0.6286231884057971	0.7026647966339411	0.6216216216216216	0.6018376722817764	0.6529680365296804	0.6247933884297521	0.0	0.5745682888540031	0.7697044334975369	0.7686658506731946	0.7347188264058679	0.7459526774595268	0.7159533073929961	0.7199558985667034	0.7459105779716467	0.7386877828054299	0.6953807740324595	0.7279503105590062
B1046	0.6612296110414053	0.6638141809290954	0.6488673139158576	0.6297814207650273	0.6050420168067226	0.5822603719599427	0.6223175965665236	0.5803432137285491	0.5745682888540031	0.0	0.7649082568807339	0.7568807339449541	0.7309007981755986	0.7369033760186263	0.7117008443908324	0.7173913043478259	0.7507629704984741	0.7389006342494715	0.6834701055099648	0.7260115606936416
