#SampleID	B1027	B1028	B1029	B1030	B1031	B1032	B1033	B1034	B1035	B1036	B2027	B2028	B2029	B2030	B2031	B2032	B2033	B2034	B2035	B2036
B1027	0.0	0.2575136612021858	0.31079234972677594	0.30276639344262296	0.3925887978142077	0.3790983606557377	0.3092554644808743	0.3563866120218579	0.375853825136612	0.4523565573770492	0.5370560109289617	0.5034153005464481	0.5037568306010929	0.51775956284153	0.4981215846994536	0.461577868852459	0.5061475409836066	0.483094262295082	0.5420081967213115	0.5677937158469946
B1028	0.2575136612021858	0.0	0.2616120218579235	0.2834699453551913	0.337431693989071	0.3516051912568306	0.2769808743169399	0.2667349726775956	0.33777322404371585	0.3876366120218579	0.512636612021858	0.4871926229508197	0.4745560109289618	0.5081967213114754	0.4550887978142077	0.4648224043715847	0.5001707650273224	0.4658469945355192	0.496584699453552	0.511441256830601
B1029	0.31079234972677594	0.2616120218579235	0.0	0.2568306010928962	0.2583674863387978	0.26383196721311475	0.21413934426229508	0.2506830601092896	0.2617827868852459	0.3089139344262295	0.5495218579234973	0.532103825136612	0.5042691256830601	0.5216871584699454	0.4537226775956284	0.4545765027322404	0.5210040983606558	0.4969262295081967	0.5051229508196722	0.5128073770491803
B1030	0.30276639344262296	0.2834699453551913	0.2568306010928962	0.0	0.2452185792349727	0.3017418032786885	0.30908469945355194	0.2525614754098361	0.2781762295081967	0.3312841530054645	0.5443989071038251	0.500853825136612	0.4774590163934426	0.5080259562841529	0.4556010928961749	0.4392076502732241	0.5040983606557377	0.4726775956284153	0.5018784153005464	0.5213456284153005
B1031	0.3925887978142077	0.337431693989071	0.2583674863387978	0.2452185792349727	0.0	0.2069672131147541	0.2923497267759563	0.23104508196721316	0.2293374316939891	0.2617827868852459	0.5884562841530054	0.537568306010929	0.5122950819672131	0.5479849726775956	0.4728483606557377	0.4556010928961749	0.5445696721311475	0.4880464480874317	0.5191256830601093	0.5266393442622951
B1032	0.3790983606557377	0.3516051912568306	0.26383196721311475	0.3017418032786885	0.2069672131147541	0.0	0.3024248633879781	0.28978825136612024	0.28773907103825136	0.2798838797814208	0.5891393442622951	0.5406420765027322	0.5233948087431693	0.5332991803278688	0.4837773224043716	0.4672131147540984	0.5413251366120219	0.5018784153005464	0.5317622950819673	0.543886612021858
B1033	0.3092554644808743	0.2769808743169399	0.21413934426229508	0.30908469945355194	0.2923497267759563	0.3024248633879781	0.0	0.2708333333333333	0.258879781420765	0.30754781420765026	0.5821379781420765	0.5638661202185792	0.5452527322404371	0.5718920765027322	0.4853142076502732	0.4868510928961749	0.5471311475409836	0.5307377049180327	0.5350068306010929	0.5274931693989071
B1034	0.3563866120218579	0.2667349726775956	0.2506830601092896	0.2525614754098361	0.23104508196721316	0.28978825136612024	0.2708333333333333	0.0	0.2168715846994536	0.266051912568306	0.5433743169398907	0.5141734972677595	0.4955601092896175	0.524931693989071	0.4451844262295082	0.4504781420765027	0.5151980874316939	0.4900956284153005	0.4865095628415301	0.5027322404371585
B1035	0.375853825136612	0.33777322404371585	0.2617827868852459	0.2781762295081967	0.2293374316939891	0.28773907103825136	0.258879781420765	0.2168715846994536	0.0	0.2617827868852459	0.5799180327868853	0.5667691256830601	0.5266393442622951	0.5648907103825137	0.4740437158469946	0.4846311475409836	0.5452527322404371	0.536714480874317	0.5268101092896175	0.5300546448087432
B1036	0.4523565573770492	0.3876366120218579	0.3089139344262295	0.3312841530054645	0.2617827868852459	0.2798838797814208	0.30754781420765026	0.266051912568306	0.2617827868852459	0.0	0.5915300546448088	0.5684767759562842	0.5443989071038251	0.5747950819672131	0.4832650273224044	0.4836065573770492	0.5590846994535519	0.5428620218579235	0.5187841530054644	0.5266393442622951
