#SampleID	B1037	B1038	B1039	B1040	B1041	B1042	B1043	B1044	B1045	B1046	B2037	B2038	B2039	B2040	B2041	B2042	B2043	B2044	B2045	B2046
B1037	0.0	0.3362363387978142	0.4506489071038252	0.41700819672131145	0.4593579234972678	0.5046106557377049	0.4508196721311475	0.4697745901639344	0.5087090163934426	0.4880464480874317	0.6349043715846995	0.5599385245901639	0.5648907103825137	0.5628415300546448	0.5828210382513661	0.5747950819672131	0.6367827868852459	0.6041666666666666	0.5975068306010929	0.6154371584699454
B1038	0.3362363387978142	0.0	0.42725409836065575	0.4096653005464481	0.4074453551912569	0.4494535519125683	0.3920765027322404	0.4195696721311475	0.4743852459016393	0.41290983606557374	0.625	0.5626707650273224	0.5693306010928961	0.5720628415300546	0.5708674863387978	0.5703551912568307	0.6183401639344263	0.5891393442622951	0.5799180327868853	0.5981898907103825
B1039	0.4506489071038252	0.42725409836065575	0.0	0.3480191256830601	0.36577868852459017	0.39771174863387976	0.4096653005464481	0.3355532786885246	0.35706967213114754	0.3516051912568306	0.6663251366120219	0.6169740437158471	0.5910177595628415	0.5935792349726776	0.5502049180327869	0.5614754098360656	0.6559084699453552	0.612363387978142	0.594603825136612	0.6193647540983607
B1040	0.41700819672131145	0.4096653005464481	0.3480191256830601	0.0	0.3980532786885246	0.4211065573770492	0.4484289617486339	0.3849043715846995	0.4605532786885246	0.4040300546448087	0.6480532786885246	0.6050204918032787	0.549863387978142	0.5548155737704918	0.5201502732240437	0.5148565573770492	0.6261953551912568	0.5869193989071039	0.5691598360655737	0.5812841530054644
B1041	0.4593579234972678	0.4074453551912569	0.36577868852459017	0.3980532786885246	0.0	0.2930327868852459	0.4221311475409836	0.4161543715846995	0.3925887978142077	0.3609972677595629	0.6497609289617486	0.6231215846994536	0.5717213114754098	0.5734289617486339	0.4921448087431694	0.5001707650273224	0.6253415300546448	0.5978483606557377	0.5527663934426229	0.5821379781420765
B1042	0.5046106557377049	0.4494535519125683	0.39771174863387976	0.4211065573770492	0.2930327868852459	0.0	0.4118852459016393	0.4077868852459016	0.4002732240437159	0.3422131147540984	0.643613387978142	0.6210724043715847	0.563353825136612	0.5614754098360656	0.4824112021857924	0.4697745901639344	0.608094262295082	0.5756489071038251	0.5310792349726776	0.5619877049180327
B1043	0.4508196721311475	0.3920765027322404	0.4096653005464481	0.4484289617486339	0.4221311475409836	0.4118852459016393	0.0	0.3770491803278688	0.3587773224043716	0.4023224043715847	0.6041666666666666	0.5324453551912568	0.5331284153005464	0.5392759562841529	0.5483265027322405	0.5503756830601093	0.5829918032786885	0.5589139344262295	0.5346653005464481	0.51775956284153
B1044	0.4697745901639344	0.4195696721311475	0.3355532786885246	0.3849043715846995	0.4161543715846995	0.4077868852459016	0.3770491803278688	0.0	0.34084699453551914	0.2959357923497268	0.6217554644808743	0.5826502732240437	0.5293715846994536	0.5350068306010929	0.5283469945355191	0.5218579234972678	0.5980191256830601	0.5625	0.5418374316939891	0.5508879781420765
B1045	0.5087090163934426	0.4743852459016393	0.35706967213114754	0.4605532786885246	0.3925887978142077	0.4002732240437159	0.3587773224043716	0.34084699453551914	0.0	0.31386612021857924	0.650785519125683	0.581113387978142	0.5440573770491803	0.5560109289617486	0.5281762295081968	0.5292008196721312	0.6033128415300546	0.5783811475409836	0.5237363387978142	0.5549863387978142
B1046	0.4880464480874317	0.41290983606557374	0.3516051912568306	0.4040300546448087	0.3609972677595629	0.3422131147540984	0.4023224043715847	0.2959357923497268	0.31386612021857924	0.0	0.6299521857923497	0.5898224043715847	0.5327868852459017	0.542691256830601	0.4950478142076503	0.4916325136612022	0.600922131147541	0.5525956284153005	0.5020491803278688	0.5406420765027322
B2037	0.6349043715846995	0.625	0.6663251366120219	0.6480532786885246	0.6497609289617486	0.643613387978142	0.6041666666666666	0.6217554644808743	0.650785519125683	0.6299521857923497	0.0	0.42776639344262296	0.4417691256830601	0.3980532786885246	0.511441256830601	0.5087090163934426	0.3594603825136612	0.3760245901639344	0.413422131147541	0.4306693989071038
B2038	0.5599385245901639	0.5626707650273224	0.6169740437158471	0.6050204918032787	0.6231215846994536	0.6210724043715847	0.5324453551912568	0.5826502732240437	0.581113387978142	0.5898224043715847	0.42776639344262296	0.0	0.4149590163934426	0.39719945355191255	0.4887295081967213	0.4960724043715847	0.4697745901639344	0.4542349726775956	0.4713114754098361	0.4443306010928962
B2039	0.5648907103825137	0.5693306010928961	0.5910177595628415	0.549863387978142	0.5717213114754098	0.563353825136612	0.5331284153005464	0.5293715846994536	0.5440573770491803	0.5327868852459017	0.4417691256830601	0.4149590163934426	0.0	0.34562841530054644	0.3541666666666667	0.36970628415300544	0.3871243169398907	0.33845628415300544	0.3833674863387978	0.38473360655737693
B2040	0.5628415300546448	0.5720628415300546	0.5935792349726776	0.5548155737704918	0.5734289617486339	0.5614754098360656	0.5392759562841529	0.5350068306010929	0.5560109289617486	0.542691256830601	0.3980532786885246	0.39719945355191255	0.34562841530054644	0.0	0.3779030054644809	0.3761953551912569	0.3681693989071038	0.3719262295081967	0.32530737704918034	0.3186475409836065
B2041	0.5828210382513661	0.5708674863387978	0.5502049180327869	0.5201502732240437	0.4921448087431694	0.4824112021857924	0.5483265027322405	0.5283469945355191	0.5281762295081968	0.4950478142076503	0.511441256830601	0.4887295081967213	0.3541666666666667	0.3779030054644809	0.0	0.25922131147540983	0.4344262295081967	0.4018101092896175	0.38080601092896177	0.41273907103825136
B2042	0.5747950819672131	0.5703551912568307	0.5614754098360656	0.5148565573770492	0.5001707650273224	0.4697745901639344	0.5503756830601093	0.5218579234972678	0.5292008196721312	0.4916325136612022	0.5087090163934426	0.4960724043715847	0.36970628415300544	0.3761953551912569	0.25922131147540983	0.0	0.4325478142076503	0.3987363387978142	0.3900273224043716	0.4089822404371585
B2043	0.6367827868852459	0.6183401639344263	0.6559084699453552	0.6261953551912568	0.6253415300546448	0.608094262295082	0.5829918032786885	0.5980191256830601	0.6033128415300546	0.600922131147541	0.3594603825136612	0.4697745901639344	0.3871243169398907	0.3681693989071038	0.4344262295081967	0.4325478142076503	0.0	0.30327868852459017	0.3514344262295082	0.3488729508196721
B2044	0.6041666666666666	0.5891393442622951	0.612363387978142	0.5869193989071039	0.5978483606557377	0.5756489071038251	0.5589139344262295	0.5625	0.5783811475409836	0.5525956284153005	0.3760245901639344	0.4542349726775956	0.33845628415300544	0.3719262295081967	0.4018101092896175	0.3987363387978142	0.30327868852459017	0.0	0.3389685792349727	0.3755122950819672
B2045	0.5975068306010929	0.5799180327868853	0.594603825136612	0.5691598360655737	0.5527663934426229	0.5310792349726776	0.5346653005464481	0.5418374316939891	0.5237363387978142	0.5020491803278688	0.413422131147541	0.4713114754098361	0.3833674863387978	0.32530737704918034	0.38080601092896177	0.3900273224043716	0.3514344262295082	0.3389685792349727	0.0	0.2851775956284153
