#SampleID	B1067	B1068	B1069	B1070	B1071	B1073	B1074	B1075	B1076	B2067	B2068	B2069	B2070	B2071	B2072	B2073	B2074	B2075	B2076
B1067	0.0	0.5870967741935483	0.5960099750623441	0.6491228070175439	0.665258711721225	0.6329113924050633	0.6472602739726028	0.6731875719217492	0.6677890011223344	0.7107061503416856	0.7304643261608154	0.7357142857142858	0.7254004576659039	0.7337278106508875	0.7219512195121951	0.74822695035461	0.7713963963963963	0.7487980769230769	0.736780258519389
B1068	0.5870967741935483	0.0	0.6254681647940075	0.6447876447876448	0.6805111821086262	0.6381733021077284	0.6542923433874711	0.6974595842956121	0.6472642607683353	0.71875	0.7329479768786127	0.7475845410628019	0.7366589327146171	0.7424789410348978	0.7228464419475655	0.7719714964370546	0.7532163742690059	0.7487684729064039	0.7288135593220338
B1069	0.5960099750623441	0.6254681647940075	0.0	0.5976714100905562	0.6013215859030837	0.6002344665885111	0.5938606847697757	0.6036144578313253	0.6160092807424594	0.7341490545050056	0.7588105726872246	0.7285714285714285	0.7330316742081447	0.7251184834123223	0.7051597051597052	0.7659327925840093	0.7590497737556561	0.7430972388955582	0.7161520190023754
B1070	0.6491228070175439	0.6447876447876448	0.5976714100905562	0.0	0.6437291897891232	0.6517647058823529	0.6094890510948905	0.6484184914841851	0.6369047619047619	0.7697516930022573	0.7766439909297053	0.75	0.7417840375586855	0.7417380660954712	0.7168367346938775	0.7776442307692307	0.7556346381969158	0.760545905707196	0.7340686274509803
B1071	0.665258711721225	0.6805111821086262	0.6013215859030837	0.6437291897891232	0.0	0.6324435318275154	0.5966209081309398	0.6216790648246546	0.5764705882352941	0.7563352826510721	0.7742248062015504	0.7605344295991778	0.7457627118644068	0.7445708376421923	0.7196562835660579	0.7945891783567134	0.7772277227722773	0.7539432176656151	0.7420020639834881
B1073	0.6329113924050633	0.6381733021077284	0.6002344665885111	0.6517647058823529	0.6324435318275154	0.0	0.5952914798206278	0.6061643835616438	0.6223929747530187	0.7381703470031545	0.7377919320594479	0.7331838565022422	0.7290322580645161	0.7184684684684685	0.71280276816609	0.7251131221719457	0.7319474835886215	0.7149478563151797	0.7055492638731596
B1074	0.6472602739726028	0.6542923433874711	0.5938606847697757	0.6094890510948905	0.5966209081309398	0.5952914798206278	0.0	0.5967741935483871	0.5526011560693641	0.7544224765868887	0.7502634351949421	0.7322834645669292	0.7226435536294691	0.7275784753363229	0.7147806004618937	0.7661909989023051	0.7407407407407407	0.731651376146789	0.7060158910329172
B1075	0.6731875719217492	0.6974595842956121	0.6036144578313253	0.6484184914841851	0.6216790648246546	0.6061643835616438	0.5967741935483871	0.0	0.5714285714285714	0.7645811240721103	0.7710330138445154	0.7556818181818182	0.7325966850828729	0.7248554913294798	0.7207100591715976	0.7619047619047619	0.7538802660753879	0.7379553466509988	0.740909090909091
B1076	0.6677890011223344	0.6472642607683353	0.6160092807424594	0.6369047619047619	0.5764705882352941	0.6223929747530187	0.5526011560693641	0.5714285714285714	0.0	0.74581589958159	0.7415254237288136	0.7357222844344905	0.7149075081610446	0.7324414715719063	0.7183908045977011	0.7502774694783574	0.7274725274725274	0.7146171693735499	0.7066817667044167
B2067	0.7107061503416856	0.71875	0.7341490545050056	0.7697516930022573	0.7563352826510721	0.7381703470031545	0.7544224765868887	0.7645811240721103	0.74581589958159	0.0	0.6063960639606396	0.615979381443299	0.6217870257037944	0.6641975308641975	0.6683417085427136	0.6251604621309371	0.6382716049382716	0.6670886075949367	0.6563658838071693
B2068	0.7304643261608154	0.7329479768786127	0.7588105726872246	0.7766439909297053	0.7742248062015504	0.7377919320594479	0.7502634351949421	0.7710330138445154	0.7415254237288136	0.6063960639606396	0.0	0.6086387434554974	0.6149068322981367	0.6494325346784363	0.670468948035488	0.6427656850192062	0.5854922279792746	0.6776649746192893	0.6499372647427855
B2069	0.7357142857142858	0.7475845410628019	0.7285714285714285	0.75	0.7605344295991778	0.7331838565022422	0.7322834645669292	0.7556818181818182	0.7357222844344905	0.615979381443299	0.6086387434554974	0.0	0.5494505494505495	0.5685997171145686	0.5977337110481586	0.5861581920903954	0.6152815013404825	0.5856115107913669	0.5875
B2070	0.7254004576659039	0.7366589327146171	0.7330316742081447	0.7417840375586855	0.7457627118644068	0.7290322580645161	0.7226435536294691	0.7325966850828729	0.7149075081610446	0.6217870257037944	0.6149068322981367	0.5494505494505495	0.0	0.5718120805369128	0.5918918918918918	0.6162943495400789	0.5890767230169051	0.6032388663967612	0.5897097625329816
B2071	0.7337278106508875	0.7424789410348978	0.7251184834123223	0.7417380660954712	0.7445708376421923	0.7184684684684685	0.7275784753363229	0.7248554913294798	0.7324414715719063	0.6641975308641975	0.6494325346784363	0.5685997171145686	0.5718120805369128	0.0	0.5430656934306569	0.6272108843537415	0.6211920529801325	0.5802292263610315	0.5881542699724518
B2072	0.7219512195121951	0.7228464419475655	0.7051597051597052	0.7168367346938775	0.7196562835660579	0.71280276816609	0.7147806004618937	0.7207100591715976	0.7183908045977011	0.6683417085427136	0.670468948035488	0.5977337110481586	0.5918918918918918	0.5430656934306569	0.0	0.6751677852348993	0.6592105263157895	0.6235795454545454	0.610803324099723
B2073	0.74822695035461	0.7719714964370546	0.7659327925840093	0.7776442307692307	0.7945891783567134	0.7251131221719457	0.7661909989023051	0.7619047619047619	0.7502774694783574	0.6251604621309371	0.6427656850192062	0.5861581920903954	0.6162943495400789	0.6272108843537415	0.6751677852348993	0.0	0.5533707865168539	0.6216596343178622	0.6071428571428571
B2074	0.7713963963963963	0.7532163742690059	0.7590497737556561	0.7556346381969158	0.7772277227722773	0.7319474835886215	0.7407407407407407	0.7538802660753879	0.7274725274725274	0.6382716049382716	0.5854922279792746	0.6152815013404825	0.5890767230169051	0.6211920529801325	0.6592105263157895	0.5533707865168539	0.0	0.6022099447513812	0.5710382513661202
B2075	0.7487980769230769	0.7487684729064039	0.7430972388955582	0.760545905707196	0.7539432176656151	0.7149478563151797	0.731651376146789	0.7379553466509988	0.7146171693735499	0.6670886075949367	0.6776649746192893	0.5856115107913669	0.6032388663967612	0.5802292263610315	0.6235795454545454	0.6216596343178622	0.6022099447513812	0.0	0.5502183406113537
B2076	0.736780258519389	0.7288135593220338	0.7161520190023754	0.7340686274509803	0.7420020639834881	0.7055492638731596	0.7060158910329172	0.740909090909091	0.7066817667044167	0.6563658838071693	0.6499372647427855	0.5875	0.5897097625329816	0.5881542699724518	0.610803324099723	0.6071428571428571	0.5710382513661202	0.5502183406113537	0.0
