#SampleID	B1007	B1008	B1009	B1010	B1011	B1012	B1013	B1014	B1015	B1016	B1017	B1018	B1019	B1020	B1021	B1022	B1025	B1026	B2007	B2008	B2009	B2010	B2011	B2012	B2013	B2014	B2015	B2016	B2017	B2018	B2019	B2020	B2021	B2022	B2023	B2024	B2025	B2026
B1007	0.0	0.6347517730496454	0.5679513184584178	0.6210526315789474	0.5617529880478087	0.7149122807017544	0.6314655172413793	0.6770428015564203	0.6857142857142857	0.7680608365019012	0.6	0.7111111111111111	0.5646387832699621	0.6126629422718808	0.6521008403361345	0.6152450090744102	0.719758064516129	0.6679389312977099	0.6766355140186916	0.7244094488188977	0.6794871794871795	0.7550111358574609	0.6762452107279694	0.7624190064794817	0.6847195357833655	0.7407407407407407	0.70020964360587	0.7468619246861925	0.6793168880455408	0.7828685258964143	0.6906077348066298	0.7772925764192141	0.6756756756756757	0.7358490566037735	0.7080745341614907	0.7263157894736842	0.6739562624254473	0.7476979742173112
B1008	0.6347517730496454	0.0	0.5928705440900562	0.543859649122807	0.6490299823633157	0.7063655030800822	0.6942307692307692	0.6023166023166023	0.7376146788990826	0.7553956834532374	0.6505016722408027	0.7469879518072289	0.6793388429752066	0.6581632653061225	0.6698113207547169	0.6527545909849749	0.7721518987341772	0.6582278481012658	0.7167235494880546	0.6869070208728653	0.7077702702702703	0.7592592592592593	0.7605396290050591	0.7484787018255578	0.7342657342657343	0.7111984282907662	0.7680890538033395	0.7292490118577075	0.7414965986394558	0.7330754352030948	0.7437603993344426	0.7364016736401674	0.7348353552859619	0.7111553784860558	0.7467166979362101	0.7123015873015873	0.7677642980935875	0.6907775768535263
B1009	0.5679513184584178	0.5928705440900562	0.0	0.5240847784200385	0.5435684647302904	0.7048054919908466	0.5894495412844036	0.6278586278586279	0.6638115631691649	0.7465069860279441	0.6086142322097379	0.6823529411764706	0.5865384615384616	0.6111111111111112	0.6493955094991365	0.6240740740740741	0.7160751565762005	0.6358148893360159	0.6640776699029126	0.6861924686192469	0.649325626204239	0.7287735849056604	0.6606786427145709	0.7431818181818182	0.6773547094188377	0.7186147186147186	0.7152034261241971	0.7385620915032679	0.689922480620155	0.7452229299363057	0.6711538461538461	0.7412587412587412	0.657258064516129	0.6928251121076233	0.6812227074235808	0.7057522123893806	0.6741803278688525	0.7007874015748031
B1010	0.6210526315789474	0.543859649122807	0.5240847784200385	0.0	0.6208112874779541	0.7105788423153693	0.6711281070745698	0.5904761904761905	0.6914498141263941	0.7513227513227513	0.632890365448505	0.7122736418511066	0.5996563573883161	0.6048526863084922	0.6614906832298136	0.6003401360544217	0.7271062271062271	0.6268115942028986	0.6871794871794872	0.6913123844731978	0.6717687074829932	0.7494949494949495	0.7118353344768439	0.756385068762279	0.7017543859649122	0.7224334600760456	0.7360594795539034	0.7178988326848249	0.7098976109215017	0.750465549348231	0.6998313659359191	0.7474747474747475	0.7115716753022453	0.6974459724950884	0.7286245353159851	0.7112403100775194	0.7443868739205527	0.6971830985915493
B1011	0.5617529880478087	0.6490299823633157	0.5435684647302904	0.6208112874779541	0.0	0.6651376146788991	0.5946547884187082	0.6260162601626016	0.5682326621923938	0.7272727272727273	0.5319148936170213	0.647887323943662	0.5557692307692308	0.6018867924528302	0.5950704225352113	0.6124314442413162	0.6854166666666667	0.606425702811245	0.6938775510204082	0.7297830374753451	0.6697588126159555	0.7611607142857143	0.6889312977099237	0.7549234135667396	0.6719056974459725	0.7359667359667359	0.6781115879828327	0.7313432835820896	0.6404715127701375	0.7561475409836066	0.7027522935779816	0.756152125279642	0.6833976833976834	0.7200854700854701	0.6892177589852009	0.7019438444924406	0.6792828685258964	0.7
B1012	0.7149122807017544	0.7063655030800822	0.7048054919908466	0.7105788423153693	0.6651376146788991	0.0	0.6764705882352942	0.6924939467312349	0.6451612903225806	0.6043956043956044	0.7154639175257732	0.5667752442996743	0.7052631578947368	0.6961206896551724	0.6626262626262627	0.6716417910447762	0.6621621621621622	0.7023255813953488	0.7784946236559139	0.7699757869249395	0.7742616033755274	0.7925072046109509	0.7943107221006565	0.7264705882352941	0.7528868360277137	0.7546174142480211	0.7660668380462725	0.7355371900826446	0.756152125279642	0.7473404255319149	0.7876857749469215	0.7537091988130564	0.7562642369020501	0.7587131367292225	0.7493540051679587	0.7466307277628033	0.7829099307159353	0.7557603686635944
B1013	0.6314655172413793	0.6942307692307692	0.5894495412844036	0.6711281070745698	0.5946547884187082	0.6764705882352942	0.0	0.6238317757009346	0.6610169491525424	0.7106481481481481	0.6451612903225806	0.6890080428954424	0.6079664570230608	0.6260504201680672	0.6534090909090909	0.6229508196721312	0.7139479905437353	0.6659340659340659	0.7304526748971193	0.7426636568848759	0.7116564417177914	0.7247956403269755	0.7288135593220338	0.7349081364829396	0.6940133037694013	0.7654028436018957	0.6873449131513648	0.7236180904522613	0.6876355748373102	0.7559808612440191	0.71900826446281	0.7493333333333333	0.6748329621380846	0.7037974683544304	0.7063106796116505	0.702020202020202	0.6909090909090909	0.7306034482758621
B1014	0.6770428015564203	0.6023166023166023	0.6278586278586279	0.5904761904761905	0.6260162601626016	0.6924939467312349	0.6238317757009346	0.0	0.6885964912280702	0.7272727272727273	0.6211538461538462	0.665	0.6797020484171322	0.6609195402298851	0.6402877697841727	0.6547842401500938	0.7306034482758621	0.6359832635983264	0.7170542635658915	0.7025862068965517	0.7264150943396226	0.7457212713936431	0.7548262548262549	0.7114914425427873	0.7165991902834008	0.7107061503416856	0.7216035634743875	0.6738609112709832	0.7179487179487181	0.7070938215102975	0.7730627306273062	0.7213930348258707	0.7225548902195609	0.7076566125290024	0.7126948775055679	0.6939252336448598	0.7479838709677419	0.7034764826175869
B1015	0.6857142857142857	0.7376146788990826	0.6638115631691649	0.6914498141263941	0.5682326621923938	0.6451612903225806	0.6610169491525424	0.6885964912280702	0.0	0.645933014354067	0.6016427104722792	0.6128133704735376	0.6458752515090543	0.6845238095238095	0.6180422264875239	0.669921875	0.6345679012345679	0.6401766004415012	0.7429718875502008	0.7337807606263982	0.7142857142857143	0.7769230769230769	0.7042553191489361	0.7474489795918368	0.6943231441048034	0.7350835322195705	0.7004830917874396	0.7139303482587065	0.6652173913043479	0.7611241217798594	0.7344064386317908	0.7519582245430809	0.7121535181236673	0.7230392156862745	0.7216981132075472	0.7086419753086419	0.7086092715231788	0.7357293868921776
B1016	0.7680608365019012	0.7553956834532374	0.7465069860279441	0.7513227513227513	0.7272727272727273	0.6043956043956044	0.7106481481481481	0.7272727272727273	0.645933014354067	0.0	0.7477148080438757	0.6284153005464481	0.7486136783733827	0.6998050682261209	0.6931407942238267	0.7026515151515151	0.6738095238095239	0.7136929460580913	0.7790697674418605	0.7949260042283298	0.7981308411214953	0.8181818181818182	0.7980392156862746	0.7807881773399015	0.7764227642276422	0.7752293577981652	0.7765237020316027	0.7712264150943396	0.7615230460921844	0.7941176470588235	0.7850287907869482	0.8039702233250621	0.7791164658634538	0.7819025522041764	0.7839643652561247	0.7800925925925926	0.7729166666666667	0.7638603696098563
B1017	0.6	0.6505016722408027	0.6086142322097379	0.632890365448505	0.5319148936170213	0.7154639175257732	0.6451612903225806	0.6211538461538462	0.6016427104722792	0.7477148080438757	0.0	0.6616052060737527	0.5573770491803278	0.6110124333925401	0.606312292358804	0.5865724381625441	0.6797642436149313	0.6	0.6790780141843972	0.7148217636022514	0.6678383128295254	0.7836734693877551	0.6859205776173285	0.7551020408163265	0.6868131868131868	0.7422480620155039	0.6780684104627767	0.7305389221556886	0.6169811320754717	0.7269155206286837	0.7081174438687392	0.7665289256198347	0.6925858951175407	0.7426326129666012	0.708984375	0.7185628742514971	0.6841121495327103	0.7173524150268337
B1018	0.7111111111111111	0.7469879518072289	0.6823529411764706	0.7122736418511066	0.647887323943662	0.5667752442996743	0.6890080428954424	0.665	0.6128133704735376	0.6284153005464481	0.6616052060737527	0.0	0.7205882352941176	0.6835164835164835	0.6827309236947792	0.6816239316239316	0.649171270718232	0.656934306569343	0.7593818984547461	0.7512437810945274	0.7580993520518359	0.7744807121661721	0.7725225225225225	0.7366863905325444	0.7405660377358491	0.726775956284153	0.7493403693931399	0.7239436619718309	0.7327188940092166	0.726027397260274	0.7744034707158352	0.7261538461538461	0.7353629976580797	0.7234636871508381	0.7354497354497355	0.7320441988950276	0.7475961538461539	0.7285714285714285
B1019	0.5646387832699621	0.6793388429752066	0.5865384615384616	0.5996563573883161	0.5557692307692308	0.7052631578947368	0.6079664570230608	0.6797020484171322	0.6458752515090543	0.7486136783733827	0.5573770491803278	0.7205882352941176	0.0	0.5640074211502782	0.6309719934102141	0.5806451612903226	0.6558704453441295	0.6334586466165414	0.6932624113475178	0.7486136783733827	0.6725663716814161	0.7950819672131147	0.6788990825688074	0.7935871743486974	0.6821561338289963	0.7859848484848485	0.7071713147410359	0.7710371819960861	0.6423220973782772	0.7969924812030075	0.6902654867256637	0.8125	0.6880733944954128	0.7385229540918163	0.7145669291338582	0.7519685039370079	0.6615384615384615	0.7271095152603232
