#SampleID	B1047	B1048	B1049	B1050	B1051	B1052	B1053	B1054	B1055	B1056	B2047	B2048	B2049	B2050	B2051	B2052	B2053	B2054	B2056
B1047	0.0	0.6053550640279395	0.6027241770715096	0.6206496519721578	0.6746849942726232	0.6770114942528735	0.6398640996602492	0.6368778280542986	0.6883384932920537	0.6595092024539877	0.7291666666666666	0.7438894792773645	0.7394871794871795	0.7358490566037735	0.7276381909547739	0.7445026178010471	0.7558257345491388	0.7371225577264654	0.741
B1048	0.6053550640279395	0.0	0.6301531213191991	0.6295843520782396	0.6847826086956522	0.6776556776556777	0.6398559423769508	0.6431980906921241	0.7078410311493019	0.6832627118644068	0.7409836065573772	0.7454954954954955	0.7311475409836066	0.7302423603793466	0.7415966386554622	0.7348993288590604	0.7553648068669528	0.7392923649906891	0.7554858934169278
B1049	0.6027241770715096	0.6301531213191991	0.0	0.6129807692307693	0.6027397260273972	0.5997490589711418	0.5968712394705175	0.6267605633802817	0.6297117516629712	0.6115342763873776	0.7513171759747103	0.7532608695652174	0.7405063291139241	0.7223942208462333	0.6959745762711864	0.7052280311457174	0.7611630321910696	0.7447963800904978	0.7459016393442623
B1050	0.6206496519721578	0.6295843520782396	0.6129807692307693	0.0	0.6466165413533834	0.640506329113924	0.6538922155688622	0.6409638554216868	0.6835722160970231	0.6601520086862106	0.7879109225874867	0.7803532008830022	0.7586206896551724	0.7644628099173554	0.7417989417989418	0.7307692307692307	0.7909663865546218	0.7750455373406193	0.7570977917981072
B1051	0.6746849942726232	0.6847826086956522	0.6027397260273972	0.6466165413533834	0.0	0.5823129251700679	0.6485148514851485	0.6418835192069393	0.6441073512252042	0.6340909090909089	0.769656699889258	0.7806818181818181	0.7583148558758315	0.7361563517915309	0.7115812917594655	0.7115839243498818	0.7902702702702703	0.7705992509363296	0.7376509330406147
B1052	0.6770114942528735	0.6776556776556777	0.5997490589711418	0.640506329113924	0.5823129251700679	0.0	0.6509316770186335	0.6079182630906769	0.6383981154299175	0.6189376443418014	0.7830396475770925	0.7861205915813424	0.7454954954954955	0.741304347826087	0.7196885428253615	0.7201889020070839	0.7941495124593716	0.7634815515610217	0.7386990077177509
B1053	0.6398640996602492	0.6398559423769508	0.5968712394705175	0.6538922155688622	0.6485148514851485	0.6509316770186335	0.0	0.5960591133004927	0.6217142857142857	0.6015712682379349	0.7486457204767064	0.7519553072625699	0.7443365695792881	0.7270811380400422	0.7030237580993521	0.722972972972973	0.7454153182308522	0.7258215962441315	0.7077922077922078
B1054	0.6368778280542986	0.6431980906921241	0.6267605633802817	0.6409638554216868	0.6418835192069393	0.6079182630906769	0.5960591133004927	0.0	0.6075949367088608	0.5746864310148233	0.7429501084598699	0.7681318681318682	0.7331887201735358	0.7322175732217573	0.7139807897545357	0.7242152466367713	0.7397408207343412	0.7280373831775699	0.7228144989339019
B1055	0.6883384932920537	0.7078410311493019	0.6297117516629712	0.6835722160970231	0.6441073512252042	0.6383981154299175	0.6217142857142857	0.6075949367088608	0.0	0.541019955654102	0.7676056338028169	0.7900101936799184	0.75730110775428	0.7580174927113703	0.7109533468559838	0.7326315789473684	0.7657657657657657	0.7292965271593945	0.7270896273917422
B1056	0.6595092024539877	0.6832627118644068	0.6115342763873776	0.6601520086862106	0.6340909090909089	0.6189376443418014	0.6015712682379349	0.5746864310148233	0.541019955654102	0.0	0.7561455260570304	0.7492354740061162	0.7373637264618434	0.7228682170542635	0.6942231075697212	0.7188465499485067	0.7433366238894373	0.7108963093145869	0.7011952191235059
B2047	0.7291666666666666	0.7409836065573772	0.7513171759747103	0.7879109225874867	0.769656699889258	0.7830396475770925	0.7486457204767064	0.7429501084598699	0.7676056338028169	0.7561455260570304	0.0	0.5782227784730913	0.5899880810488677	0.5928899082568807	0.6444444444444445	0.645123384253819	0.5961995249406176	0.5901639344262295	0.6401345291479821
B2048	0.7438894792773645	0.7454954954954955	0.7532608695652174	0.7803532008830022	0.7806818181818181	0.7861205915813424	0.7519553072625699	0.7681318681318682	0.7900101936799184	0.7492354740061162	0.5782227784730913	0.0	0.6104368932038835	0.634902411021814	0.6583427922814983	0.6741973840665874	0.6048780487804878	0.6120331950207469	0.6478711162255466
B2049	0.7394871794871795	0.7311475409836066	0.7405063291139241	0.7586206896551724	0.7583148558758315	0.7454954954954955	0.7443365695792881	0.7331887201735358	0.75730110775428	0.7373637264618434	0.5899880810488677	0.6104368932038835	0.0	0.5743944636678201	0.5954285714285714	0.6329411764705882	0.5838287752675386	0.6094377510040161	0.631578947368421
B2050	0.7358490566037735	0.7302423603793466	0.7223942208462333	0.7644628099173554	0.7361563517915309	0.741304347826087	0.7270811380400422	0.7322175732217573	0.7580174927113703	0.7228682170542635	0.5928899082568807	0.634902411021814	0.5743944636678201	0.0	0.5839822024471635	0.6137931034482759	0.5869565217391305	0.5710000000000001	0.5964523281596452
B2051	0.7276381909547739	0.7415966386554622	0.6959745762711864	0.7417989417989418	0.7115812917594655	0.7196885428253615	0.7030237580993521	0.7139807897545357	0.7109533468559838	0.6942231075697212	0.6444444444444445	0.6583427922814983	0.5954285714285714	0.5839822024471635	0.0	0.5160891089108911	0.6108597285067874	0.5864811133200796	0.572562358276644
B2052	0.7445026178010471	0.7348993288590604	0.7052280311457174	0.7307692307692307	0.7115839243498818	0.7201889020070839	0.722972972972973	0.7242152466367713	0.7326315789473684	0.7188465499485067	0.645123384253819	0.6741973840665874	0.6329411764705882	0.6137931034482759	0.5160891089108911	0.0	0.6608996539792388	0.6285425101214575	0.5926800472255017
