#SampleID	B1067	B1068	B1069	B1070	B1071	B1073	B1074	B1075	B1076	B2067	B2068	B2069	B2070	B2071	B2072	B2073	B2074	B2075	B2076
B1067	0.0	0.3439207650273224	0.3541666666666667	0.4755806010928962	0.4448428961748634	0.3743169398907104	0.4337431693989071	0.4581625683060109	0.4417691256830601	0.5500341530054644	0.5495218579234973	0.5843579234972678	0.5601092896174863	0.5667691256830601	0.5541325136612022	0.5654030054644809	0.5800887978142076	0.5947745901639344	0.5920423497267759
B1068	0.3439207650273224	0.0	0.38200136612021857	0.4993169398907104	0.4414275956284153	0.402834699453552	0.4450136612021858	0.4808743169398907	0.4453551912568306	0.5541325136612022	0.5495218579234973	0.5778688524590164	0.5606215846994536	0.549863387978142	0.5338114754098361	0.5749658469945356	0.5700136612021858	0.5835040983606558	0.5667691256830601
B1069	0.3541666666666667	0.38200136612021857	0.0	0.4052254098360656	0.3162568306010929	0.3401639344262295	0.3714139344262295	0.358094262295082	0.3579234972677596	0.5862363387978142	0.6062158469945356	0.5360314207650273	0.5336407103825137	0.511441256830601	0.4875341530054645	0.6120218579234973	0.5821379781420765	0.5650614754098361	0.5520833333333334
B1070	0.4755806010928962	0.4993169398907104	0.4052254098360656	0.0	0.3751707650273224	0.469603825136612	0.3884904371584699	0.4721653005464481	0.4349385245901639	0.6815232240437158	0.6982581967213115	0.630464480874317	0.6326844262295082	0.5987021857923497	0.5850409836065574	0.6992827868852459	0.6635928961748634	0.6453210382513661	0.6299521857923497
B1071	0.4448428961748634	0.4414275956284153	0.3162568306010929	0.3751707650273224	0.0	0.4001024590163935	0.3603142076502732	0.3702185792349727	0.35331284153005466	0.6251707650273224	0.6516393442622951	0.5681352459016393	0.5589139344262295	0.5276639344262295	0.5051229508196722	0.6512978142076503	0.6217554644808743	0.5773565573770492	0.5727459016393442
B1073	0.3743169398907104	0.402834699453552	0.3401639344262295	0.469603825136612	0.4001024590163935	0.0	0.3674863387978142	0.3427254098360656	0.3673155737704918	0.5797472677595629	0.5934084699453552	0.5785519125683061	0.5575478142076503	0.5580601092896175	0.5522540983606558	0.5775273224043715	0.5689890710382514	0.5541325136612022	0.5454234972677595
B1074	0.4337431693989071	0.4450136612021858	0.3714139344262295	0.3884904371584699	0.3603142076502732	0.3674863387978142	0.0	0.35775273224043713	0.3280396174863388	0.6019467213114754	0.6261953551912568	0.5763319672131147	0.5766734972677595	0.5435450819672131	0.545594262295082	0.619535519125683	0.5911885245901639	0.5515710382513661	0.536714480874317
B1075	0.4581625683060109	0.4808743169398907	0.358094262295082	0.4721653005464481	0.3702185792349727	0.3427254098360656	0.35775273224043713	0.0	0.33845628415300544	0.6350751366120219	0.6391734972677595	0.5855532786885246	0.5773565573770492	0.5780396174863388	0.5689890710382514	0.6314890710382514	0.6055327868852459	0.5799180327868853	0.5613046448087432
B1076	0.4417691256830601	0.4453551912568306	0.3579234972677596	0.4349385245901639	0.35331284153005466	0.3673155737704918	0.3280396174863388	0.33845628415300544	0.0	0.5987021857923497	0.6214139344262295	0.5713797814207651	0.5537909836065574	0.5469603825136612	0.5484972677595629	0.6121926229508197	0.57599043715847	0.5421789617486339	0.5348360655737705
B2067	0.5500341530054644	0.5541325136612022	0.5862363387978142	0.6815232240437158	0.6251707650273224	0.5797472677595629	0.6019467213114754	0.6350751366120219	0.5987021857923497	0.0	0.35075136612021857	0.4146174863387978	0.3900273224043716	0.4554303278688525	0.4725068306010929	0.4016393442622951	0.4059084699453552	0.4193989071038252	0.4426229508196721
