#SampleID	B1007	B1008	B1009	B1010	B1011	B1012	B1013	B1014	B1015	B1016	B1017	B1018	B1019	B1020	B1021	B1022	B1025	B1026	B2007	B2008	B2009	B2010	B2011	B2012	B2013	B2014	B2015	B2016	B2017	B2018	B2019	B2020	B2021	B2022	B2023	B2024	B2025	B2026
B1007	0.0	0.4846311475409836	0.3639002732240437	0.4422814207650273	0.3563866120218579	0.6796448087431693	0.3290642076502732	0.4530396174863388	0.5061475409836066	0.5625	0.4795081967213114	0.6410519125683061	0.3329918032786885	0.3792691256830601	0.5237363387978142	0.4178620218579235	0.6897199453551912	0.4994877049180328	0.6139002732240437	0.6695696721311475	0.5879439890710383	0.7126024590163934	0.6267076502732241	0.695525956284153	0.6128756830601093	0.6893784153005464	0.6039959016393442	0.639344262295082	0.563353825136612	0.7090163934426229	0.600068306010929	0.7090163934426229	0.5846994535519126	0.6816939890710383	0.6075819672131147	0.6886953551912568	0.5879439890710383	0.6909153005464481
B1008	0.4846311475409836	0.0	0.3324795081967213	0.27783469945355194	0.41222677595628415	0.6007513661202186	0.4571379781420765	0.2530737704918033	0.5741120218579235	0.6034836065573771	0.44347677595628415	0.599214480874317	0.5066598360655737	0.4197404371584699	0.44706284153005466	0.4627732240437159	0.67400956284153	0.3746584699453552	0.5471311475409836	0.4755806010928962	0.5348360655737705	0.5572062841530054	0.6787909836065574	0.507172131147541	0.5640368852459017	0.4798497267759563	0.5283469945355191	0.4523565573770492	0.5411543715846995	0.4988046448087432	0.6277322404371585	0.4919740437158471	0.545594262295082	0.4906079234972678	0.5184426229508197	0.4808743169398907	0.6277322404371585	0.465334699453552
B1009	0.3639002732240437	0.3324795081967213	0.0	0.2636612021857924	0.29935109289617484	0.5766734972677595	0.35382513661202186	0.3302595628415301	0.4499658469945355	0.5191256830601093	0.3722677595628415	0.5271516393442623	0.3767076502732241	0.3430669398907104	0.3912226775956284	0.3828551912568306	0.625853825136612	0.3485314207650273	0.5450819672131147	0.561646174863388	0.5122950819672131	0.6279030054644809	0.6207308743169399	0.60724043715847	0.5483265027322405	0.5846994535519126	0.5093920765027322	0.5264685792349727	0.5181010928961749	0.5940915300546448	0.5747950819672131	0.5987021857923497	0.5196379781420765	0.5713797814207651	0.5170765027322405	0.5734289617486339	0.5602800546448088	0.5594262295081968
B1010	0.4422814207650273	0.27783469945355194	0.2636612021857924	0.0	0.3386270491803279	0.5968237704918032	0.4089822404371585	0.2756147540983607	0.4998292349726776	0.5305669398907104	0.4088114754098361	0.5493510928961749	0.39976092896174864	0.2937158469945355	0.4093237704918033	0.3234289617486339	0.6663251366120219	0.3085724043715847	0.5674521857923497	0.5409836065573771	0.5577185792349727	0.6265368852459017	0.6518101092896175	0.5831625683060109	0.5886270491803278	0.5532786885245902	0.5360314207650273	0.5032445355191257	0.5660860655737705	0.5710382513661202	0.5913592896174863	0.5703551912568307	0.5590846994535519	0.5572062841530054	0.5423497267759563	0.5515710382513661	0.6154371584699454	0.5298838797814208
B1011	0.3563866120218579	0.41222677595628415	0.29935109289617484	0.3386270491803279	0.0	0.5776980874316939	0.26690573770491804	0.3150614754098361	0.3510928961748634	0.5076844262295082	0.27322404371584696	0.4887295081967213	0.29508196721311475	0.3480191256830601	0.3765368852459016	0.389344262295082	0.6243169398907104	0.31898907103825136	0.5838456284153005	0.6161202185792349	0.5353483606557377	0.6811816939890711	0.5978483606557377	0.6466871584699454	0.5495218579234973	0.6272199453551912	0.493681693989071	0.5358606557377049	0.5064890710382514	0.6458333333333334	0.5761612021857924	0.6538592896174863	0.5554986338797814	0.6261953551912568	0.5500341530054644	0.6226092896174863	0.5363729508196722	0.6014344262295082
B1012	0.6796448087431693	0.6007513661202186	0.5766734972677595	0.5968237704918032	0.5776980874316939	0.0	0.6024590163934426	0.592896174863388	0.465334699453552	0.4491120218579235	0.567964480874317	0.20765027322404367	0.6215846994535519	0.5747950819672131	0.41683743169398907	0.6002390710382514	0.42896174863387976	0.5876024590163934	0.7199453551912568	0.7137978142076503	0.7096994535519126	0.6485655737704918	0.786714480874317	0.6369535519125683	0.6880122950819673	0.7184084699453552	0.6632513661202186	0.6087773224043715	0.6468579234972678	0.5355191256830601	0.7426571038251366	0.6693989071038251	0.6531762295081968	0.6495901639344263	0.6844262295081968	0.5913592896174863	0.7119193989071039	0.6772540983606558
B1013	0.3290642076502732	0.4571379781420765	0.35382513661202186	0.4089822404371585	0.26690573770491804	0.6024590163934426	0.0	0.3152322404371585	0.34904371584699456	0.4730191256830601	0.3780737704918033	0.5430327868852459	0.3886612021857924	0.375853825136612	0.4349385245901639	0.3948087431693989	0.6470286885245902	0.3949795081967213	0.5905054644808743	0.6154371584699454	0.5695013661202186	0.6588114754098361	0.6147540983606558	0.6396857923497268	0.5770150273224044	0.6403688524590164	0.4960724043715847	0.538422131147541	0.5300546448087432	0.6420765027322405	0.5952868852459017	0.6495901639344263	0.5568647540983607	0.6260245901639344	0.5505464480874317	0.6243169398907104	0.5532786885245902	0.6133879781420765
B1014	0.4530396174863388	0.2530737704918033	0.3302595628415301	0.2756147540983607	0.3150614754098361	0.592896174863388	0.3152322404371585	0.0	0.4363046448087432	0.5201502732240437	0.3746584699453552	0.5315915300546448	0.4591871584699453	0.38029371584699456	0.4079576502732241	0.3917349726775956	0.6690573770491803	0.3239412568306011	0.5476434426229508	0.4883879781420765	0.5348360655737705	0.556181693989071	0.6666666666666666	0.5035860655737705	0.5531079234972678	0.4805327868852459	0.4791666666666667	0.4086407103825137	0.5319330601092896	0.4974385245901639	0.6232923497267759	0.4957308743169399	0.5394467213114754	0.5003415300546448	0.5073428961748634	0.4877049180327869	0.6050204918032787	0.4721653005464481
B1015	0.5061475409836066	0.5741120218579235	0.4499658469945355	0.4998292349726776	0.3510928961748634	0.465334699453552	0.34904371584699456	0.4363046448087432	0.0	0.3763661202185792	0.3695355191256831	0.3770491803278688	0.44330601092896177	0.4622609289617486	0.31830601092896177	0.4595286885245902	0.4740437158469946	0.431181693989071	0.6306352459016393	0.6422472677595629	0.606386612021858	0.6193647540983607	0.6863046448087432	0.5901639344262295	0.5917008196721312	0.6584699453551912	0.5403005464480874	0.5196379781420765	0.5309084699453552	0.5855532786885246	0.668886612021858	0.632172131147541	0.5708674863387978	0.5952868852459017	0.592896174863388	0.5729166666666666	0.6174863387978142	0.6400273224043715
B1016	0.5625	0.6034836065573771	0.5191256830601093	0.5305669398907104	0.5076844262295082	0.4491120218579235	0.4730191256830601	0.5201502732240437	0.3763661202185792	0.0	0.4989754098360656	0.4323770491803279	0.5421789617486339	0.4556010928961749	0.4076161202185792	0.4325478142076503	0.499146174863388	0.4943647540983607	0.713285519125683	0.7283128415300546	0.7078210382513661	0.7240437158469946	0.7797131147540983	0.6972336065573771	0.6912568306010929	0.7377049180327869	0.6349043715846995	0.6055327868852459	0.6366120218579235	0.6769125683060109	0.7464139344262295	0.694672131147541	0.6610314207650273	0.6830601092896175	0.6890368852459017	0.6664959016393442	0.7066256830601093	0.6958674863387978
