#SampleID	B1047	B1048	B1049	B1050	B1051	B1052	B1053	B1054	B1055	B1056	B2047	B2048	B2049	B2050	B2051	B2052	B2053	B2054	B2056
B1047	0.0	0.4702868852459016	0.402834699453552	0.5046106557377049	0.5338114754098361	0.5297131147540983	0.4402322404371585	0.5027322404371585	0.5013661202185792	0.499146174863388	0.5706967213114754	0.5775273224043715	0.6471994535519126	0.6210724043715847	0.6089480874316939	0.6036543715846995	0.6214139344262295	0.6183401639344263	0.6147540983606558
B1048	0.4702868852459016	0.0	0.4585040983606558	0.4861680327868853	0.4870218579234973	0.5073428961748634	0.4492827868852459	0.5085382513661202	0.5331284153005464	0.5179303278688525	0.5942622950819673	0.6299521857923497	0.6161202185792349	0.6104849726775956	0.6210724043715847	0.6190232240437158	0.6367827868852459	0.6033128415300546	0.6190232240437158
B1049	0.402834699453552	0.4585040983606558	0.0	0.4484289617486339	0.3632172131147541	0.36475409836065575	0.367827868852459	0.412568306010929	0.3738046448087432	0.4077868852459016	0.5829918032786885	0.6120218579234973	0.5664275956284153	0.5377390710382514	0.5039275956284153	0.4871926229508197	0.6113387978142076	0.5758196721311475	0.5566939890710383
B1050	0.5046106557377049	0.4861680327868853	0.4484289617486339	0.0	0.41700819672131145	0.4183743169398907	0.4778005464480874	0.4187158469945355	0.4842896174863388	0.5078551912568307	0.6965505464480874	0.7223360655737705	0.6260245901639344	0.6594945355191257	0.6480532786885246	0.6128756830601093	0.725922131147541	0.6647882513661202	0.6405396174863388
B1051	0.5338114754098361	0.4870218579234973	0.3632172131147541	0.41700819672131145	0.0	0.3109631147540984	0.4021516393442623	0.4212773224043716	0.3736338797814208	0.4182035519125683	0.6538592896174863	0.6799863387978142	0.5853825136612022	0.5836748633879781	0.5642076502732241	0.5531079234972678	0.6772540983606558	0.6121926229508197	0.5886270491803278
B1052	0.5297131147540983	0.5073428961748634	0.36475409836065575	0.4183743169398907	0.3109631147540984	0.0	0.4144467213114754	0.4048838797814208	0.3919057377049181	0.4055669398907104	0.6682035519125683	0.6875	0.576844262295082	0.5809426229508197	0.5496926229508197	0.5607923497267759	0.6764002732240437	0.6190232240437158	0.5932377049180327
B1053	0.4402322404371585	0.4492827868852459	0.367827868852459	0.4778005464480874	0.4021516393442623	0.4144467213114754	0.0	0.4059084699453552	0.35775273224043713	0.4021516393442623	0.6026297814207651	0.6403688524590164	0.6118510928961749	0.5905054644808743	0.5703551912568307	0.5787226775956285	0.6190232240437158	0.5763319672131147	0.5450819672131147
B1054	0.5027322404371585	0.5085382513661202	0.412568306010929	0.4187158469945355	0.4212773224043716	0.4048838797814208	0.4059084699453552	0.0	0.3927595628415301	0.4007855191256831	0.6538592896174863	0.6996243169398907	0.60724043715847	0.6395150273224044	0.6142418032786885	0.6089480874316939	0.6647882513661202	0.6246584699453552	0.5905054644808743
B1055	0.5013661202185792	0.5331284153005464	0.3738046448087432	0.4842896174863388	0.3736338797814208	0.3919057377049181	0.35775273224043713	0.3927595628415301	0.0	0.35775273224043713	0.6535177595628415	0.6840846994535519	0.6033128415300546	0.6077527322404371	0.5741120218579235	0.5754781420765027	0.6596653005464481	0.5944330601092896	0.5614754098360656
B1056	0.499146174863388	0.5179303278688525	0.4077868852459016	0.5078551912568307	0.4182035519125683	0.4055669398907104	0.4021516393442623	0.4007855191256831	0.35775273224043713	0.0	0.6111680327868853	0.63849043715847	0.5893101092896175	0.5657445355191257	0.545594262295082	0.5703551912568307	0.6116803278688525	0.5671106557377049	0.5310792349726776
B2047	0.5706967213114754	0.5942622950819673	0.5829918032786885	0.6965505464480874	0.6538592896174863	0.6682035519125683	0.6026297814207651	0.6538592896174863	0.6535177595628415	0.6111680327868853	0.0	0.36014344262295084	0.4895833333333333	0.4139344262295082	0.4974385245901639	0.5046106557377049	0.43049863387978143	0.3944672131147541	0.4846311475409836
B2048	0.5775273224043715	0.6299521857923497	0.6120218579234973	0.7223360655737705	0.6799863387978142	0.6875	0.6403688524590164	0.6996243169398907	0.6840846994535519	0.63849043715847	0.36014344262295084	0.0	0.5262978142076503	0.4270833333333333	0.5191256830601093	0.5339822404371585	0.4593579234972678	0.4287909836065574	0.5191256830601093
B2049	0.6471994535519126	0.6161202185792349	0.5664275956284153	0.6260245901639344	0.5853825136612022	0.576844262295082	0.6118510928961749	0.60724043715847	0.6033128415300546	0.5893101092896175	0.4895833333333333	0.5262978142076503	0.0	0.3966871584699453	0.4024931693989071	0.39924863387978143	0.3763661202185792	0.4308401639344263	0.4093237704918033
B2050	0.6210724043715847	0.6104849726775956	0.5377390710382514	0.6594945355191257	0.5836748633879781	0.5809426229508197	0.5905054644808743	0.6395150273224044	0.6077527322404371	0.5657445355191257	0.4139344262295082	0.4270833333333333	0.3966871584699453	0.0	0.3837090163934426	0.41205601092896177	0.4209357923497268	0.3797814207650273	0.4149590163934426
B2051	0.6089480874316939	0.6210724043715847	0.5039275956284153	0.6480532786885246	0.5642076502732241	0.5496926229508197	0.5703551912568307	0.6142418032786885	0.5741120218579235	0.545594262295082	0.4974385245901639	0.5191256830601093	0.4024931693989071	0.3837090163934426	0.0	0.2665642076502732	0.4293032786885246	0.3905396174863388	0.3519467213114754
