	Group1	Group2	p	q
0	E	SAM	0.001	0.0015
1	E	FL	0.033	0.033
2	E	FR	0.001	0.0015
3	SAM	FL	0.001	0.0015
4	SAM	FR	0.019	0.022799999999999997
5	FL	FR	0.001	0.0015
