	Group1	Group2	p	q
0	E	SAM	0.023	0.042
1	E	FL	0.711	0.817
2	E	FR	0.006	0.018000000000000002
3	SAM	FL	0.028	0.042
4	SAM	FR	0.817	0.817
5	FL	FR	0.003	0.018000000000000002
