	Group1	Group2	p	q
0	E	SAM	0.024	0.048
1	E	FL	0.703	0.703
2	E	FR	0.003	0.009000000000000001
3	SAM	FL	0.036	0.054
4	SAM	FR	0.693	0.703
5	FL	FR	0.001	0.006
