	Group1	Group2	p	q
0	E	SAM	0.038	0.057
1	E	FL	0.47	0.47
2	E	FR	0.006	0.033
3	SAM	FL	0.027	0.054
4	SAM	FR	0.368	0.4416
5	FL	FR	0.011	0.033
