	Group1	Group2	p	q
0	E	FL	0.565	0.58
1	E	SAM	0.036	0.0555
2	E	FR	0.003	0.018000000000000002
3	FL	SAM	0.037	0.0555
4	FL	FR	0.006	0.018000000000000002
5	SAM	FR	0.58	0.58
