	Group1	Group2	p	q
0	E	FL	0.662	0.7944
1	E	SAM	0.035	0.052500000000000005
2	E	FR	0.001	0.006
3	FL	SAM	0.026	0.052
4	FL	FR	0.005	0.015000000000000001
5	SAM	FR	0.819	0.819
