	Group1	Group2	p	q
0	E	SAM	0.026	0.051000000000000004
1	E	FL	0.759	0.759
2	E	FR	0.003	0.009000000000000001
3	SAM	FL	0.034	0.051000000000000004
4	SAM	FR	0.647	0.759
5	FL	FR	0.002	0.009000000000000001
