	Group1	Group2	p	q
0	E	SAM	0.027	0.051000000000000004
1	E	FL	0.638	0.751
2	E	FR	0.005	0.015000000000000001
3	SAM	FL	0.034	0.051000000000000004
4	SAM	FR	0.751	0.751
5	FL	FR	0.004	0.015000000000000001
