	Group1	Group2	p	q
0	E	SAM	0.001	0.0015
1	E	FL	0.059	0.059
2	E	FR	0.001	0.0015
3	SAM	FL	0.001	0.0015
4	SAM	FR	0.011	0.013199999999999998
5	FL	FR	0.001	0.0015
