	Group1	Group2	p	q
0	E	SAM	0.026	0.039
1	E	FL	0.568	0.606
2	E	FR	0.006	0.018000000000000002
3	SAM	FL	0.024	0.039
4	SAM	FR	0.606	0.606
5	FL	FR	0.002	0.012
