,F082,Rikenellaceae_RC9_gut_gr,Prevotella,Lactobacillus,Limosilactobacillus,Christensenellaceae_R-7_gr,Pseudoscardovia,Streptococcus,Ruminobacter,Megasphaera,Izemoplasmatales,Treponema,Prevotella_7,Acinetobacter,Pseudoramibacter,Prevotellaceae,Lachnospiraceae,Bacteroidales_u,Prevotellaceae_YAB2003_gr,Catenisphaera,Spirochaetaceae,UCG-010,Succiniclasticum,Negativicutes_u,Atopobiaceae,Olsenella,Muribaculaceae,NK4A214_gr,Fibrobacter,Succinivibrio,Prevotellaceae_UCG-003,Dialister,Clostridia_vadinBB60_gr,Nitrincola,Clostridia_UCG-014,Lachnospiraceae_NK3A20_gr,Acetitomaculum,Sphaerochaeta,Bifidobacterium,Oribacterium,Coprococcus,Rhodospirillales_u,Family_XIII_AD3011_gr,Anaerovorax,Pseudomonas,Erysipelotrichaceae_u,Eubacterium_nodatum_gr,Clostridia,Acidaminococcus,Bacteroidales_UCG-001,Candidatus_Saccharimonas,Prevotellaceae_UCG-001,Ruminococcaceae_u,Atopobium,Syntrophococcus,Sulfurospirillum,Ruminococcaceae,Lachnospiraceae_u,Erysipelotrichaceae_UCG-002,Monoglobus,Eubacterium_coprostanoligenes_gr,Eubacterium_hallii_gr,Selenomonas,Pseudobutyrivibrio,Anaerorhabdus_furcosa_gr,Bacteroidales_RF16_gr,UCG-002,Erysipelotrichaceae_UCG-009,Butyrivibrio,Gastranaerophilales,Shuttleworthia,Eubacterium_oxidoreducens_gr,WCHB1-41,Ruminococcus_gauvreauii_gr,Corynebacterium,Anaeroplasma,Prevotellaceae_UCG-004,Ruminiclostridium,Erysipelatoclostridiaceae_UCG-004,Anaerovibrio,Halomonas,Mitsuokella,Comamonadaceae,Mailhella,Lachnospiraceae_FE2018_gr,Desulfovibrio,Stenotrophomonas,0319-6G20,Anaerosporobacter,Christensenellaceae_u,Comamonas,UCG-005,Eubacterium_ruminantium_gr,Oscillospiraceae_u,Oscillospira,Bradymonadales,Enterorhabdus,XBB1006,WPS-2,Parasutterella,Bilophila,Ruminococcus,Pyramidobacter,Blautia,Flavobacterium,Endomicrobium,DNF00809,Lachnospiraceae_NK4A136_gr,Erysipelotrichaceae_UCG-007,Oscillospirales,RF39,Weeksellaceae_u,vadinBE97,Marvinbryantia,Selenomonadaceae_u,Eubacterium_saphenum_gr,Marinilabiliaceae_u,Lachnospiraceae_FCS020_gr,Alphaproteobacteria,Intestinimonas,Lactobacillaceae,Alishewanella,Bacteroidales_BS11_gut_gr,Solobacterium,Peptococcaceae_u,Asteroleplasma,probable_genus_10,MVP-15,Hydrogenoanaerobacterium,Anaerovoracaceae_u,Eubacterium_ventriosum_gr,Arcobacter,Dysgonomonadaceae_u,Denitrobacterium,Sutterella,Bacteroidales,Anaerovoracaceae,Papillibacter,Anaerobiospirillum,Lachnospiraceae_UCG-008,Allisonella,Chryseobacterium,Roseburia,Alcaligenes,Eggerthellaceae,Chryseomicrobium,Agathobacter,Saccharofermentans,Bacilli,Cloacibacillus,Rhodobacter,Lachnospiraceae_AC2044_gr,Schwartzia,Lineage_IV,p-251-o5,Elusimicrobium,Oscillospirales_u,Veillonellaceae_UCG-001,Clostridium_sensu_stricto_1,SN8,Clostridia_u,Brevundimonas,Lachnoclostridium,Anaerofustis,Succinivibrionaceae_UCG-002,Oscillibacter,Oscillospiraceae,Ligilactobacillus,Saccharimonadales,Prevotellaceae_Ga6A1_gr,Corticibacter,Acholeplasmataceae,Absconditabacteriales_(SR1),Paracaedibacteraceae_u,Moryella,Erysipelotrichaceae_UCG-006,Raoultibacter,FD2005,Rickettsiales_u,Sediminispirochaeta,vadinHA49,UCG-007,Family_XIII_UCG-001,Lachnospiraceae_UCG-006,Tannerellaceae,UCG-011,Diplorickettsiaceae_u,Selenomonadaceae,Dietzia,Lachnospiraceae_NC2004_gr,Gemmobacter,Candidatus_Paracaedibacter,CAG-352,Erysipelotrichaceae,Coriobacteriaceae_UCG-003,Alcaligenaceae,SAR324_clade(Marine_gr_B),Coriobacteriales,vadinBA26,Ochrobactrum,Coriobacteriaceae_UCG-002,Firmicutes,Bacteroidetes_BD2-2,Rhodococcus,Burkholderia-Caballeronia-Paraburkholderia,U29-B03,Sharpea,V9D2013_gr,Aliidiomarina,Desulfuromonadaceae,horsej-a03,Tyzzerella,possible_genus_Sk018,Coriobacteriales_Incertae_Sedis_u,Marinifilaceae_u,PB19,UCG-001,Deinococcus,Prevotellaceae_NK3B31_gr,M2PT2-76_termite_gr,Acetobacter,Lentilactobacillus,LD1-PB3,Erysipelatoclostridiaceae_u,Eubacterium_cellulosolvens_gr,Eubacterium_xylanophilum_gr,Erysipelatoclostridiaceae,Eubacterium_brachy_gr,Quinella,Exiguobacterium,Succinivibrionaceae_u,Succinimonas,Eggerthellaceae_u,Lachnospiraceae_ND3007_gr,Amnipila,Defluviitaleaceae_UCG-011,EMP-G18,Incertae_Sedis,Pla4_lineage,Candidatus_Arthromitus,Prevotellaceae_u,Lachnospiraceae_XPB1014_gr,Rhodospirillales,RH-aaj90h05,Lachnospira
Trt1,16.112097363699366,6.802927746186051,7.181712029011648,7.18076269496948,5.332409314865622,4.537816721569818,3.5562053219666407,2.0742948821401788,1.1705288739948927,2.5347218925923465,1.7714573226881345,1.1154674995490663,1.574945175959065,1.8777827354111092,1.6537399014591263,1.2654622782118345,1.2740062845913591,1.04426744638636,0.7338352145969602,0.4955523700124363,0.2914455509460114,0.7006085231210306,0.9398407017477239,0.48036302533772557,1.02812876766948,0.6028271167775805,0.9863580698140254,0.7594672337355345,0.48605902959074204,0.5790937657233451,0.6863685124884894,0.6218137976209689,0.28480021265082545,0.36644294027739543,0.7699099081993981,0.6066244529462581,0.8088326039283442,0.3009388913677055,0.10727474676514426,0.5107417146871469,0.9436380379164016,0.47846435725338676,0.601877782735411,0.5866884380607005,0.2572695254279123,0.4025176338798333,0.47466702108470904,0.2980908892411973,0.4215043147232217,0.18606947226520595,0.6028271167775805,0.1822721360965283,0.3113815658315692,0.5847897699763616,0.4689710168316926,0.17942413397002002,0.23258684033150745,0.34745625943400704,0.5876377721028698,0.21360015948811908,0.27245887010262304,0.290496216903842,0.18512013822303655,0.22404283395198268,0.4366936593979323,0.22214416586764388,0.3332162488014658,0.24492818287970988,0.3037868934942138,0.39587229558464737,0.15758945100012342,0.13195743186154912,0.09113606804826414,0.3503042615605153,0.2658135318074371,0.11866675527117726,0.12056542335551611,0.15948811908446225,0.1414507722832433,0.10252807655429716,0.18037346801218945,0.19651214672906955,0.24682685096404874,0.11012274889165251,0.22973883820499919,0.104426744638636,0.12151475739768551,0.060757378698842755,0.04082136381328498,0.027530687222913127,0.2876482147773337,0.13860277015673503,0.03702402764460731,0.10062940846995833,0.08733873187958648,0.16043745312663169,0.15284278078927632,0.17372812971700352,0.08733873187958648,0.11012274889165251,0.09778140634345008,0.19936014885557782,0.09113606804826414,0.09208540209043356,0.07879472550006171,0.08638939783741706,0.09493340421694181,0.08069339358440054,0.24777618500621815,0.044618699981962655,0.04841603615064032,0.1414507722832433,0.06455471486752043,0.05885871061450393,0.03892269572894615,0.07689605741572286,0.0626560467831816,0.030378689349421378,0.022784017012066036,0.05126403827714858,0.055061374445826254,0.06360538082535101,0.015189344674710689,0.039872029771115564,0.029429355307251964,0.03702402764460731,0.013290676590371853,0.0208853489277272,0.0,0.04082136381328498,0.06360538082535101,0.07879472550006171,0.022784017012066036,0.023733351054235453,0.017088012759049528,0.0104426744638636,0.0313280233915908,0.0313280233915908,0.02563201913857429,0.03512535956026847,0.06455471486752043,0.10727474676514426,0.0,0.0,0.047466702108470905,0.008544006379524764,0.030378689349421378,0.02563201913857429,0.027530687222913127,0.007594672337355344,0.0104426744638636,0.0208853489277272,0.01898668084338836,0.013290676590371853,0.013290676590371853,0.05601070848799567,0.014240010632541272,0.0,0.0,0.02183468296989662,0.011392008506033018,0.011392008506033018,0.005696004253016509,0.005696004253016509,0.0028480021265082545,0.02563201913857429,0.0208853489277272,0.047466702108470905,0.0,0.0,0.008544006379524764,0.012341342548202435,0.007594672337355344,0.023733351054235453,0.018037346801218945,0.012341342548202435,0.0028480021265082545,0.012341342548202435,0.006645338295185927,0.0104426744638636,0.0,0.0,0.0028480021265082545,0.00474667021084709,0.015189344674710689,0.00474667021084709,0.011392008506033018,0.0,0.00474667021084709,0.015189344674710689,0.006645338295185927,0.00474667021084709,0.003797336168677672,0.0028480021265082545,0.012341342548202435,0.00474667021084709,0.0,0.0104426744638636,0.0,0.001898668084338836,0.0,0.006645338295185927,0.0,0.0,0.0,0.0,0.005696004253016509,0.0,0.0,0.0,0.005696004253016509,0.001898668084338836,0.0,0.0,0.0,0.0,0.0028480021265082545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt2,11.778092706189033,8.70788550858065,6.104209121660063,6.9069317582315275,5.8383589701151335,3.0050377052063184,3.5439790630075207,2.7557385358587374,3.133307817235779,1.934396044315255,2.37920369086903,2.4836817659898003,1.9530158992872735,1.344767303534669,1.4461420694934364,1.5237247985435136,0.7675517994020957,0.9371993669249309,1.0985714433490912,0.7644484902400926,1.315803084689307,0.903062966142897,0.6868657611900155,0.6951412522886905,0.6661770334433283,0.6330750690486289,0.9661635857702932,0.653763796795316,0.7427253261060711,0.7427253261060711,0.6775558337040064,0.6113519049146073,0.7334153986200619,0.538941357801202,0.4779096109484747,0.5327347394771959,0.5927320499425888,0.6030764138159324,0.8772020564595381,0.5089427025685055,0.5689400130338985,0.4799784837231435,0.4375665918424347,0.41274011854641,0.6082485957526043,0.46859968346246544,0.40963680938440694,0.25447135128425274,0.4075679366097382,0.501701647857165,0.36308717195436063,0.2989521159396303,0.2089561502415409,0.2772289518056087,0.33826069865833597,0.28033226096761177,0.29998655232696464,0.3910169544123884,0.17585418584684134,0.2792978245802774,0.21930051411488452,0.3465361897570109,0.3279163347849924,0.3827414633137135,0.19447404081885986,0.19137073165685675,0.2617124059955933,0.2699878970942682,0.2068872774668722,0.12309793009278895,0.20585284107953783,0.26585015154493075,0.18309524055818188,0.16964756752283516,0.07861716543741143,0.23171375076289683,0.11171912983211098,0.09827145679676427,0.17481974945950698,0.126201239254792,0.10137476595876738,0.1406833486774731,0.10240920234610174,0.12309793009278895,0.14688996700147924,0.16550982197349773,0.018619854972018495,0.1406833486774731,0.11171912983211098,0.09827145679676427,0.13344229396613255,0.12723567564212637,0.14378665783947617,0.13137342119146384,0.11171912983211098,0.15206214893815106,0.11482243899411405,0.13551116674080127,0.13344229396613255,0.10654694789543917,0.08275491098674886,0.06827280156406781,0.12309793009278895,0.08378934737408322,0.05689400130338985,0.10551251150810481,0.06723836517673346,0.06413505601473037,0.07861716543741143,0.07034167433873655,0.07861716543741143,0.1406833486774731,0.08482378376141758,0.11896018454345149,0.1034436387334361,0.07241054711340526,0.07861716543741143,0.06413505601473037,0.08896152931075503,0.057928437690724206,0.08275491098674886,0.027929782458027744,0.08999596569808939,0.021723164134021578,0.07654829266274271,0.09827145679676427,0.10034032957143302,0.07447941988807398,0.03723970994403699,0.05068738297938369,0.03206752800736518,0.048618510204714964,0.025860909683359024,0.03620527355670263,0.063100619627396,0.031033091620030828,0.016550982197349774,0.02999865523269647,0.043446328268043156,0.03620527355670263,0.03517083716936827,0.016550982197349774,0.04137745549337443,0.0,0.021723164134021578,0.0020688727746687218,0.0,0.013447673035346691,0.028964218845362103,0.015516545810015414,0.006206618324006166,0.027929782458027744,0.028964218845362103,0.014482109422681052,0.027929782458027744,0.017585418584684136,0.013447673035346691,0.022757600521355937,0.0,0.017585418584684136,0.012413236648012332,0.011378800260677968,0.0,0.024826473296024665,0.0020688727746687218,0.016550982197349774,0.017585418584684136,0.0,0.021723164134021578,0.010344363873343608,0.028964218845362103,0.006206618324006166,0.0,0.006206618324006166,0.017585418584684136,0.008275491098674887,0.0020688727746687218,0.008275491098674887,0.015516545810015414,0.006206618324006166,0.0020688727746687218,0.0,0.006206618324006166,0.009309927486009248,0.016550982197349774,0.0,0.003103309162003083,0.0,0.0,0.0,0.006206618324006166,0.0,0.006206618324006166,0.008275491098674887,0.0020688727746687218,0.0,0.0041377455493374436,0.005172181936671804,0.005172181936671804,0.0,0.0,0.0,0.0,0.0,0.0,0.0020688727746687218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020688727746687218,0.0020688727746687218,0.0020688727746687218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt3,11.259252184709421,9.263167948044506,5.637744138293301,5.410438852012798,5.623418174872261,2.3790649921207203,3.9043025643474527,3.5108161023828854,4.107731244926222,2.6436177832959267,1.827037868296643,2.070579246454324,2.0743995033666014,1.945465832577241,1.8709708227878326,1.5758559763144073,0.6179265555608614,0.9980421183324579,1.020963659806122,1.6016427104722792,1.25495439568311,0.811804593858937,0.5319707750346211,0.7411298409818061,0.650398739315219,0.9560192922974071,0.6074208490520988,0.7258488133326967,0.723938684876558,0.6074208490520988,0.3782054343154577,0.6790506661572991,0.6790506661572991,0.37151998471897235,0.3046654887541187,0.5844993075784347,0.42882383840313265,0.6876462442099232,0.5329258392626904,0.5119144262451649,0.23112554319277973,0.28651926842080133,0.4278687741750633,0.4087674896136765,0.5673081514731867,0.421183324578578,0.4612960221574901,0.3056205529821881,0.4727567928943222,0.4517453798767967,0.1394393772981233,0.6695000238766057,0.3562389570698629,0.1518552122630247,0.33045222291199083,0.5262403896662051,0.44983525142065806,0.2540470846664439,0.09264123012272577,0.1957881667542142,0.34286805787689223,0.24736163506995845,0.3524187001575856,0.32758703022778285,0.056348789456090925,0.2807888830523853,0.19101284561386755,0.16140585454371809,0.21679957977173966,0.09932667971921112,0.2196647724559477,0.26359772694713723,0.18910271715772886,0.20247361635069963,0.22348502936822504,0.214889451315601,0.21679957977173966,0.3724750489470417,0.10983238622797385,0.2101141301752543,0.13370899192970728,0.15376534071916337,0.1623609187717874,0.27123824077169195,0.11078745045604316,0.18623752447352085,0.21393438708753165,0.3037104245260494,0.11174251468411252,0.12033809273673657,0.17095649682441144,0.13561912038584598,0.10887732199990449,0.138484313070054,0.06398930328064562,0.09455135857886443,0.09073110166658709,0.07545007401747768,0.0859557805262404,0.07449500978940835,0.08309058784203238,0.03533737643856549,0.12988873501742992,0.10983238622797385,0.23685592856119578,0.10123680817534982,0.08977603743851774,0.03342724798242682,0.011460770736832052,0.13370899192970728,0.1136526431402512,0.03247218375435748,0.06685449596485364,0.039157633350842845,0.07736020247361636,0.07067475287713099,0.003820256912277351,0.09264123012272577,0.00859557805262404,0.013370899192970728,0.009550642280693378,0.0935962943507951,0.0,0.07831526670168569,0.056348789456090925,0.06303423905257628,0.04488801871925887,0.03342724798242682,0.06207917482450695,0.05061840408767491,0.02578673415787212,0.023876605701733444,0.054438660999952246,0.05061840408767491,0.029606991070149472,0.03151711952628814,0.060169046368368284,0.029606991070149472,0.056348789456090925,0.020056348789456092,0.022921541473664105,0.02196647724559477,0.03438231221049616,0.0,0.03247218375435748,0.026741798385941457,0.03056205529821881,0.01623609187717874,0.03151711952628814,0.04679814717539755,0.07067475287713099,0.03533737643856549,0.029606991070149472,0.014325963421040066,0.026741798385941457,0.0019101284561386755,0.03056205529821881,0.040112697578912185,0.0,0.018146220333317416,0.04202282603505086,0.022921541473664105,0.02101141301752543,0.02578673415787212,0.014325963421040066,0.02483166992980278,0.011460770736832052,0.0,0.007640513824554702,0.02101141301752543,0.023876605701733444,0.02578673415787212,0.011460770736832052,0.007640513824554702,0.003820256912277351,0.011460770736832052,0.002865192684208013,0.00859557805262404,0.009550642280693378,0.011460770736832052,0.01241583496490139,0.0,0.006685449596485364,0.01719115610524808,0.0,0.01241583496490139,0.01623609187717874,0.03056205529821881,0.005730385368416026,0.01241583496490139,0.0,0.009550642280693378,0.0019101284561386755,0.002865192684208013,0.0,0.0,0.01241583496490139,0.0,0.005730385368416026,0.0,0.010505706508762714,0.003820256912277351,0.003820256912277351,0.0,0.004775321140346689,0.005730385368416026,0.0,0.0,0.0,0.0,0.0,0.0,0.003820256912277351,0.002865192684208013,0.002865192684208013,0.002865192684208013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt4,13.662254810580169,7.909235899666521,8.140185173677997,8.535802315706622,3.0033762091178358,5.196876488742517,2.744464466952505,2.68543258973881,1.977050063174465,1.905590422336834,2.451376374821351,2.1800368690320844,1.5938606847697756,1.399159054661447,1.4840821060916756,0.9217258021085772,1.021147911100064,1.1164274322169059,0.7943412249632344,0.6742061765985211,0.7259885250315872,0.6918121750657636,0.8689078067068498,0.7819134613392986,0.6690279417552145,0.5768553615443568,0.5509641873278237,0.7860560492139439,0.6276020630087616,0.6400298266326975,0.7829491083079599,0.619316887259471,0.6151742993848257,0.2526978603533628,0.6897408811284409,0.5312868949232585,0.4473994904616915,0.5778910085130181,0.6182812402908097,0.5312868949232585,0.5188591312993227,0.7570579340914269,0.426686551088465,0.44947078439901406,0.27444644669525053,0.4329004329004329,0.3376209117835912,0.6172455933221483,0.2837672694132024,0.4152944344331905,0.47225501770956313,0.22059280432486175,0.48778972223948297,0.5074670146440481,0.2671969179146213,0.32622879512831665,0.3293357360343006,0.33969220572091385,0.2154145694815551,0.3541912632821724,0.259947389133992,0.27030385882060526,0.1646678680171503,0.13566975289463326,0.394581495059964,0.24027009672942687,0.21127198160690985,0.2723751527579279,0.18434516042171545,0.4411856086497235,0.23094927401147497,0.1543113983305371,0.24027009672942687,0.14291928167526252,0.1418836347066012,0.17502433770376352,0.23923444976076555,0.08802999233621243,0.18952339526502204,0.15016881045589178,0.13774104683195593,0.14809751651856914,0.14706186954990783,0.13981234076927856,0.1232419892706974,0.1418836347066012,0.03417634996582365,0.10149340292880964,0.08492305143022846,0.26305433003997597,0.04039023177779159,0.06731705296298598,0.128420224114004,0.11806375442739078,0.18848774829636072,0.1087429317094389,0.11081422564676152,0.07145964083763126,0.06524575902566333,0.10460034383479358,0.14084798773793988,0.09631516808550301,0.064210112057002,0.1263489301766814,0.02174858634188778,0.08802999233621243,0.11599246049006816,0.12427763623935872,0.023819880279210424,0.09942210899148698,0.08492305143022846,0.017605998467242485,0.09838646202282567,0.06213881811967936,0.033140702997162326,0.055924936307711434,0.11392116655274549,0.07353093477495391,0.10252904989747096,0.05488928933905011,0.03521199693448497,0.02174858634188778,0.09424387414818036,0.03831893784046894,0.0362476439031463,0.02589117421653307,0.037283290871807616,0.0362476439031463,0.064210112057002,0.04660411358975953,0.07560222871227656,0.04349717268377556,0.05903187721369539,0.04246152571511423,0.03417634996582365,0.0683526999316473,0.04453281965243688,0.056960583276372746,0.03003376209117836,0.06213881811967936,0.03106940905983968,0.009320822717951904,0.048675407527082167,0.09631516808550301,0.020712939373226456,0.0062138818119679366,0.04453281965243688,0.032105056028501,0.016570351498581163,0.023819880279210424,0.0,0.008285175749290581,0.026926821185194388,0.02174858634188778,0.02589117421653307,0.022784233310549098,0.02899811512251704,0.00724952878062926,0.06524575902566333,0.00724952878062926,0.011392116655274549,0.010356469686613228,0.01967729240456513,0.00724952878062926,0.012427763623935873,0.0,0.0062138818119679366,0.0,0.01449905756125852,0.018641645435903808,0.0,0.0062138818119679366,0.0062138818119679366,0.0062138818119679366,0.004142587874645291,0.0062138818119679366,0.017605998467242485,0.0062138818119679366,0.0,0.0,0.011392116655274549,0.0031069409059839683,0.0062138818119679366,0.0,0.0,0.01449905756125852,0.0,0.0,0.008285175749290581,0.0,0.005178234843306614,0.0020712939373226454,0.004142587874645291,0.0031069409059839683,0.0031069409059839683,0.0031069409059839683,0.0,0.0,0.0,0.010356469686613228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062138818119679366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020712939373226454,0.0020712939373226454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt5,12.877025299209793,6.807939801714562,8.149405772495756,5.463329770064348,2.045735605441321,4.1941771992705785,2.3685258546605463,3.6219581211092247,2.5393531618772136,2.5844180343331447,2.343373367708399,2.7269487937286465,1.8392756083757782,1.8738602779349807,1.7774424112850826,1.0658366345972459,1.4473160200381479,0.8876731853528684,1.2628644490557337,1.2146555157307846,1.005051457796223,0.6916933911840533,0.758766689723113,1.0448762288037896,0.7063656752394726,0.9054895302773062,0.5208660839673857,0.6791171477079796,0.6979815129220902,0.6382443564107401,0.6791171477079796,0.6162359303276111,0.8111677042067534,1.4190194722169822,0.6319562346727032,0.5481146114988786,0.4537927854283259,0.5617388752646251,0.5942275042444821,0.556498773816261,0.289253599949695,0.540778469471169,0.4139680144207592,0.3751912637028653,0.46636902890439963,0.34584669559202663,0.2997338028464231,0.49152151585654696,0.37309522312351967,0.34375065501268104,0.2882055796600222,0.46636902890439963,0.4045358318137039,0.20436395648619757,0.3007818231360959,0.34479867530235386,0.3175501477708609,0.1949317738791423,0.31859816806053365,0.3374625332746442,0.2599090318388564,0.1991238550378335,0.3081179651638056,0.2326605043073634,0.19178771301012387,0.2703892347355845,0.19178771301012387,0.20331593619652477,0.22427634198998095,0.05344903477331321,0.2724852753149301,0.20121989561717918,0.29554172168773185,0.1163302521536817,0.20855603764488878,0.17711542895470456,0.22008426083128968,0.16558720576830369,0.23580456517638182,0.22637238256932654,0.25362091010081955,0.16558720576830369,0.13624263765746505,0.1446267999748475,0.17711542895470456,0.17187532750634052,0.3626150202267916,0.1320505564987738,0.3626150202267916,0.19283573329979667,0.054497055062986015,0.16453918547863086,0.1959797941688151,0.11947431302270012,0.15091492171288434,0.076505481146115,0.1048020289672808,0.09222578549120712,0.16558720576830369,0.13833867823681067,0.09956192751891675,0.09851390722924395,0.08803370433251588,0.07964954201513341,0.09327380578087992,0.08908172462218869,0.08803370433251588,0.1435787796851747,0.05973715651135006,0.07021735940807813,0.09012974491186149,0.047160913035276364,0.06392923767004129,0.08069756230480622,0.10689806954662642,0.047160913035276364,0.04820893332494917,0.039824771007566706,0.05344903477331321,0.09641786664989833,0.0911777652015343,0.054497055062986015,0.06183319709069568,0.08069756230480622,0.056593095642331635,0.025152486952147397,0.04506487245593074,0.07231339998742375,0.06812131882873253,0.04192081158691233,0.03353664926952986,0.029344568110838624,0.057641115932004446,0.0660252782493869,0.06916933911840534,0.05973715651135006,0.04192081158691233,0.03563268984887548,0.024104466662474584,0.015720304345092122,0.014672284055419312,0.01152822318640089,0.03563268984887548,0.05868913622167725,0.02200842608312897,0.09956192751891675,0.029344568110838624,0.047160913035276364,0.020960405793456163,0.029344568110838624,0.027248527531493007,0.019912385503783353,0.007336142027709656,0.04611289274560356,0.012576243476073699,0.0,0.009432182607055271,0.025152486952147397,0.0262005072418202,0.0262005072418202,0.006288121738036849,0.027248527531493007,0.031440608690184245,0.012576243476073699,0.04192081158691233,0.0031440608690184247,0.013624263765746504,0.01781634492443774,0.019912385503783353,0.012576243476073699,0.0,0.010480202896728082,0.03458466955920267,0.014672284055419312,0.013624263765746504,0.01152822318640089,0.02305644637280178,0.010480202896728082,0.009432182607055271,0.01152822318640089,0.012576243476073699,0.03353664926952986,0.012576243476073699,0.002096040579345616,0.0,0.0,0.0,0.0,0.010480202896728082,0.0,0.008384162317382465,0.008384162317382465,0.006288121738036849,0.004192081158691232,0.0,0.009432182607055271,0.0,0.0,0.002096040579345616,0.0,0.0,0.0,0.006288121738036849,0.008384162317382465,0.0031440608690184247,0.0,0.002096040579345616,0.006288121738036849,0.006288121738036849,0.0,0.0,0.002096040579345616,0.0,0.0,0.0,0.0,0.0,0.002096040579345616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
