,Bacteroidota,Firmicutes,Spirochaetota,Actinobacteriota,Proteobacteria,WPS-2,Patescibacteria,Verrucomicrobiota,Desulfobacterota,Elusimicrobiota,Fibrobacterota,Bdellovibrionota,Cyanobacteria,Synergistota,Campylobacterota,SAR324_clade(Marine_gr_B),Planctomycetota,Chloroflexi,Deinococcota
Trt1,39.87178056623487,46.63373266653817,2.6516265811870445,5.709010864162465,2.208336291983242,0.4757509053468721,1.168582181150526,0.22215234172913648,0.2769296314705674,0.2779440257250383,0.09535305992026862,0.1754902060234731,0.13288564733569347,0.06999320355849505,0.011158336799180369,0.0,0.011158336799180369,0.008115154035767541,0.0
Trt2,40.66253218176515,43.24341462795977,3.856738829915408,5.74642671435275,2.7457545434945274,1.076741620058593,0.8687491280802546,0.34496315742748795,0.43500868749128085,0.31072049106520055,0.23335743002447715,0.26252710877753677,0.05707111060381235,0.06721708582226789,0.02029195043691106,0.03551091326459435,0.016487209729990234,0.016487209729990234,0.0
Trt3,40.820009383910204,39.972750568448404,5.178294293860757,4.479012523910925,4.772259717760854,2.0410004691955104,0.44573573465189303,0.5522070234958675,0.4565633233478904,0.30678167971992637,0.3925000902299058,0.3004655863139279,0.16692532572995994,0.044212653841989386,0.02526437362399394,0.016241383043996103,0.017143682101995884,0.01263218681199697,0.0
Trt4,44.586783598180794,39.87841780064868,4.9638514921451735,3.2914167678341695,3.9980793274022,0.8724564677743754,0.7347478664226568,0.45480077551686027,0.22105854427512728,0.34427150337929663,0.22921234303937382,0.21743463371323996,0.08606787584482416,0.06160647955208465,0.029897262135570493,0.010871731685661998,0.008153798764246498,0.010871731685661998,0.0
Trt5,43.35786652128481,37.792467402662304,7.481486529462542,4.111580573349689,3.983235654899823,1.102857662078052,0.37254100222615966,0.3850347553495979,0.27826995593112536,0.35323247467175506,0.32483758120939527,0.2521466539457544,0.10449320794148381,0.05565399118622508,0.021580119031393393,0.010222161646449502,0.0068147744309663355,0.0056789786924719456,0.0
