,F082,Prevotella,Rikenellaceae_RC9_gut_gr,Lactobacillus,Christensenellaceae_R-7_gr,Treponema,Pseudoscardovia,Limosilactobacillus,Ruminobacter,Streptococcus,Izemoplasmatales,Prevotella_7,Monoglobus,Succiniclasticum,Prevotellaceae_UCG-003,UCG-010,WPS-2,Erysipelotrichaceae_u,Clostridia_vadinBB60_gr,Family_XIII_AD3011_gr,Ruminococcaceae,Bifidobacterium,NK4A214_gr,Acetitomaculum,Prevotellaceae_YAB2003_gr,Clostridia_UCG-014,Spirochaetaceae,Rhodospirillales_u,Prevotellaceae,Candidatus_Saccharimonas,Eubacterium_hallii_gr,Lachnospiraceae,Prevotellaceae_UCG-001,Muribaculaceae,Sphaerochaeta,Negativicutes_u,Dialister,Lachnospiraceae_NK3A20_gr,Oribacterium,Succinivibrio,Anaerovibrio,UCG-002,Christensenellaceae_u,Bacteroidales_u,Erysipelotrichaceae_UCG-009,Anaerovorax,Clostridia,Bacteroidales_RF16_gr,Lachnospiraceae_u,Ruminococcus_gauvreauii_gr,Atopobium,Syntrophococcus,Marvinbryantia,Erysipelotrichaceae_UCG-002,Anaerorhabdus_furcosa_gr,Erysipelatoclostridiaceae_UCG-004,Blautia,Eubacterium_nodatum_gr,Anaeroplasma,Selenomonas,Fibrobacter,Pseudoramibacter,0319-6G20,Butyrivibrio,Eubacterium_coprostanoligenes_gr,Endomicrobium,Pseudobutyrivibrio,RF39,Lactobacillaceae,vadinBE97,DNF00809,Catenisphaera,Bacteroidales_UCG-001,Ruminococcaceae_u,Megasphaera,UCG-005,Oscillospiraceae_u,Coprococcus,WCHB1-41,Parasutterella,Atopobiaceae,Acidaminococcus,Shuttleworthia,Peptococcaceae_u,Desulfovibrio,Olsenella,Mailhella,probable_genus_10,Eubacterium_oxidoreducens_gr,Gastranaerophilales,Oscillospirales,Eubacterium_saphenum_gr,Lachnospiraceae_NK4A136_gr,Anaerovoracaceae_u,Ruminococcus,Oscillibacter,Oscillospira,Bilophila,Eubacterium_ventriosum_gr,Lachnospiraceae_NC2004_gr,XBB1006,Schwartzia,Pyramidobacter,Lachnospiraceae_FE2018_gr,Lineage_IV,p-251-o5,Denitrobacterium,Selenomonadaceae_u,Roseburia,Enterorhabdus,Oscillospirales_u,Anaerosporobacter,Pseudomonas,Mitsuokella,Oscillospiraceae,Elusimicrobium,Bradymonadales,Lachnospiraceae_FCS020_gr,Papillibacter,Asteroleplasma,Alphaproteobacteria,UCG-011,Erysipelotrichaceae_UCG-007,Sutterella,Solobacterium,Veillonellaceae_UCG-001,Anaerovoracaceae,Dietzia,MVP-15,Anaerobiospirillum,Allisonella,Sulfurospirillum,Candidatus_Paracaedibacter,Eggerthellaceae,Hydrogenoanaerobacterium,U29-B03,Bacteroidales,Lachnospiraceae_UCG-008,Prevotellaceae_UCG-004,Acholeplasmataceae,Comamonas,Prevotellaceae_Ga6A1_gr,Dysgonomonadaceae_u,Succinivibrionaceae_UCG-002,SAR324_clade(Marine_gr_B),Coriobacteriaceae_UCG-002,Tyzzerella,Family_XIII_UCG-001,Bacilli,Lachnospiraceae_UCG-006,Lachnospiraceae_AC2044_gr,Anaerofustis,vadinHA49,Rhodococcus,Clostridium_sensu_stricto_1,Marinilabiliaceae_u,vadinBA26,Halomonas,Rhodospirillales,Rickettsiales_u,FD2005,Eubacterium_ruminantium_gr,Intestinimonas,Alcaligenaceae,Corynebacterium,Succinivibrionaceae_u,Paracaedibacteraceae_u,horsej-a03,Sediminispirochaeta,Ochrobactrum,UCG-001,Moryella,Burkholderia-Caballeronia-Paraburkholderia,Cloacibacillus,Selenomonadaceae,Lachnoclostridium,Aliidiomarina,UCG-007,Desulfuromonadaceae,Absconditabacteriales_(SR1),Ligilactobacillus,Firmicutes,Eggerthellaceae_u,Eubacterium_cellulosolvens_gr,Erysipelotrichaceae,Lachnospiraceae_XPB1014_gr,Brevundimonas,Saccharofermentans,Agathobacter,Coriobacteriales_Incertae_Sedis_u,Bacteroidales_BS11_gut_gr,Bacteroidetes_BD2-2,Saccharimonadales,Coriobacteriales,Tannerellaceae,SN8,Arcobacter,Acinetobacter,Candidatus_Arthromitus,Marinifilaceae_u,Amnipila,possible_genus_Sk018,Eubacterium_xylanophilum_gr,Lachnospira,Weeksellaceae_u,Alishewanella,LD1-PB3,V9D2013_gr,Succinimonas,Acetobacter,Gemmobacter,Exiguobacterium,Incertae_Sedis,Alcaligenes,Flavobacterium,PB19,Eubacterium_brachy_gr,Quinella,Pla4_lineage,Coriobacteriaceae_UCG-003,Corticibacter,Defluviitaleaceae_UCG-011,Prevotellaceae_NK3B31_gr,Comamonadaceae,Deinococcus,Prevotellaceae_u,Nitrincola,Chryseomicrobium,Chryseobacterium,Diplorickettsiaceae_u,RH-aaj90h05,Stenotrophomonas,Raoultibacter,Rhodobacter,EMP-G18,CAG-352,Ruminiclostridium,M2PT2-76_termite_gr,Lentilactobacillus,Erysipelatoclostridiaceae,Erysipelatoclostridiaceae_u,Sharpea,Erysipelotrichaceae_UCG-006,Lachnospiraceae_ND3007_gr,Clostridia_u
Trt1,20.43395786206267,7.911260790618882,6.608778567878192,6.544871729846522,7.384790172548462,2.2306529655816028,3.4438684939288504,3.784704963431087,0.780069181688155,1.1411935362798105,1.1158336799180368,0.955559387711628,0.8987533094612553,1.3501587527008247,1.1482942960611071,1.1959708260212414,0.4757509053468721,1.4942027368356985,0.6552986883882289,1.665635365841288,0.48995242490946533,0.6147229182093913,1.275093577869975,1.29132388594151,0.5903774561020887,1.0864162465383795,0.1257848875543969,0.8602063277913593,0.7597812965987361,1.1564094500968747,1.0732291212302574,1.009322283198588,0.16737505198770553,0.529513800833832,0.2860591797608058,0.43517513516803435,0.5102403099988841,0.41184406731520273,0.46459256854769176,0.2566417463811485,0.2627281119079742,0.6238524664996298,0.4889380306549944,0.30837585335916656,0.5792191193029083,0.42705998113226684,0.5640032054858442,0.2870735740152768,0.3499660177924752,0.45444862600298236,0.7293494689646077,0.30330388208681186,0.3682251143729522,0.1967924853673629,0.30837585335916656,0.1663606577332346,0.3509804120469462,0.31040464186810846,0.16230308071535082,0.176504600277944,0.09535305992026862,0.19374930260395007,0.1754902060234731,0.3043182763412828,0.3560523833193009,0.2373682555462006,0.24751219809091002,0.15723110944299612,0.12781367606333877,0.11361215650074559,0.2799728142339802,0.15520232093405423,0.10346821395603616,0.3164910073949341,0.20389324514865947,0.10854018522839087,0.20287885089418853,0.2992463050689281,0.09941063693815239,0.11056897373733275,0.2404114383096134,0.1044826082105071,0.24345462107302623,0.08216593461214636,0.10346821395603616,0.17346141751453117,0.05274850123248902,0.1399864071169901,0.09636745417473955,0.13288564733569347,0.1754902060234731,0.12274170479098405,0.06086365526825656,0.13288564733569347,0.18969172558606628,0.06695002079508222,0.01521591381706414,0.07202199206743694,0.11259776224627463,0.08926669439344295,0.04361895294225054,0.03956137592436676,0.05883486675931467,0.04260455868777959,0.009129548290238484,0.0020287885089418853,0.061878049522727505,0.006086365526825656,0.09129548290238484,0.08419472312108824,0.05274850123248902,0.005071971272354713,0.01927349083494791,0.018259096580476968,0.08419472312108824,0.031446221888599225,0.03956137592436676,0.06086365526825656,0.06390683803166938,0.021302279343889795,0.040575770178837706,0.021302279343889795,0.025359856361773566,0.028403039125186397,0.031446221888599225,0.029417433379657337,0.031446221888599225,0.012172731053651312,0.006086365526825656,0.01521591381706414,0.04666213570566336,0.011158336799180369,0.013187125308122254,0.03550379890648299,0.0,0.008115154035767541,0.014201519562593199,0.018259096580476968,0.013187125308122254,0.009129548290238484,0.012172731053651312,0.014201519562593199,0.016230308071535082,0.0,0.0,0.006086365526825656,0.024345462107302623,0.009129548290238484,0.009129548290238484,0.01521591381706414,0.05071971272354713,0.016230308071535082,0.011158336799180369,0.010143942544709426,0.0,0.0,0.008115154035767541,0.008115154035767541,0.007100759781296599,0.0040575770178837706,0.012172731053651312,0.011158336799180369,0.009129548290238484,0.011158336799180369,0.010143942544709426,0.01521591381706414,0.021302279343889795,0.009129548290238484,0.003043182763412828,0.0,0.01521591381706414,0.009129548290238484,0.005071971272354713,0.011158336799180369,0.0,0.0,0.0,0.0,0.009129548290238484,0.012172731053651312,0.012172731053651312,0.0,0.003043182763412828,0.0,0.003043182763412828,0.009129548290238484,0.0,0.008115154035767541,0.0,0.0,0.0,0.0,0.0,0.0040575770178837706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt2,16.063615264619717,9.986176108764855,7.747720326193103,9.30385927532372,5.0247942269401005,2.7013659019137846,3.795862978604675,1.1502999403923957,1.357024185468427,1.4622886783599032,1.9302717853111644,1.1858108536569898,1.1312762368577916,1.23146774214004,1.0285482377709294,1.1477634465877817,1.076741620058593,1.0881558421793553,0.8750903625917893,1.0868875952770485,0.8066050298672146,1.0488401882078402,1.052644928914761,1.1071795457139595,0.7647528820910855,0.70895001838958,0.48573856358355844,0.6949993024642037,0.9664041395578891,0.8662126342756408,0.7368514502403328,0.6518789077857677,0.8624078935687199,0.9714771271671169,0.6506106608834608,0.5567603901127471,0.5567603901127471,0.6074902662050248,0.5339319458712222,0.38174231759438926,0.43500868749128085,0.4058390087382212,0.3411584167205672,0.4058390087382212,0.35891387335286434,0.3956930335197656,0.30057451584674505,0.4058390087382212,0.34876789813440884,0.3398901698182602,0.18389580083450646,0.3741328361805476,0.2714048370936854,0.3424266636228741,0.2561858742660021,0.35637737954825044,0.3677916016690129,0.32467120699057694,0.2092607388806453,0.150921381374526,0.23335743002447715,0.4438864158074294,0.26252710877753677,0.19277352915065504,0.30057451584674505,0.23589392382909105,0.258722368070616,0.16614034420220927,0.36271861405978517,0.19531002295526892,0.23843041763370493,0.2815508123121409,0.1699450849091301,0.2701365901913784,0.0798995548453373,0.19531002295526892,0.22321145480602164,0.2346256769267841,0.13443417164453578,0.13697066544914965,0.16106735659298152,0.12555644332838717,0.13950715925376353,0.2041877512714175,0.16233560349528847,0.14711664066760516,0.1357024185468427,0.10906923359839693,0.08497254245456505,0.05707111060381235,0.08877728316148588,0.1204834557191594,0.03424266636228741,0.09511851767302058,0.030437925655366585,0.08116780174764424,0.02029195043691106,0.06848533272457483,0.038047407069208235,0.1141422212076247,0.05072987609227765,0.021560197339217997,0.06087585131073317,0.04058390087382212,0.03170617255767353,0.022828444241524942,0.03424266636228741,0.007609481413841646,0.0,0.022828444241524942,0.03424266636228741,0.008877728316148588,0.027901431850752705,0.029169678753059643,0.03677916016690129,0.043120394678435994,0.064680592017654,0.0494616291899707,0.016487209729990234,0.04058390087382212,0.006341234511534706,0.015218962827683293,0.03297441945998047,0.02409669114383188,0.03297441945998047,0.027901431850752705,0.025364938046138825,0.029169678753059643,0.007609481413841646,0.027901431850752705,0.011414222120762471,0.02029195043691106,0.012682469023069413,0.03170617255767353,0.015218962827683293,0.027901431850752705,0.01014597521845553,0.027901431850752705,0.012682469023069413,0.013950715925376353,0.01014597521845553,0.006341234511534706,0.008877728316148588,0.005072987609227765,0.03551091326459435,0.022828444241524942,0.013950715925376353,0.022828444241524942,0.0,0.015218962827683293,0.0,0.011414222120762471,0.016487209729990234,0.016487209729990234,0.0,0.01014597521845553,0.016487209729990234,0.01014597521845553,0.0,0.006341234511534706,0.0,0.01014597521845553,0.0,0.013950715925376353,0.007609481413841646,0.015218962827683293,0.006341234511534706,0.015218962827683293,0.011414222120762471,0.006341234511534706,0.0,0.0,0.0,0.006341234511534706,0.0,0.0,0.0,0.005072987609227765,0.003804740706920823,0.0,0.0,0.0,0.003804740706920823,0.0,0.0,0.0,0.0,0.0,0.0,0.0025364938046138824,0.0,0.005072987609227765,0.0025364938046138824,0.0,0.0,0.0,0.0,0.0025364938046138824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt3,13.072508752300863,11.270617533475296,8.894864113761864,5.777420868372613,3.646190493377125,2.9460064243692927,2.847655827047317,2.3811672140614286,3.0569892085032664,2.0834085249215,1.6512072761396035,1.729707294185585,1.1017071498177355,1.0033565524957593,0.9329772259717761,1.145919803659725,2.0410004691955104,0.9898220666257624,1.3651784747536724,0.8968852636517848,1.688201537517595,0.9284657306817771,0.8607933013317933,0.8301151333598008,0.8066553578518064,0.4836322950878839,1.6358681921536073,0.5134081640018767,0.7371783303858231,0.44573573465189303,0.6451438264698451,0.533258743277872,1.4030750351896633,0.5368679395098712,0.5783736961778612,0.6270978453098496,0.7028909661818312,0.6631898076298408,0.579275995235861,0.7227415454578265,0.5549139206698669,0.5197242574078753,0.2174540729779478,0.5070920705958784,0.4177644638538997,0.316706969357924,0.4421265384198939,0.4421265384198939,0.2905402966759303,0.28783339950193093,0.15339083985996319,0.22106326920994696,0.20391958710795108,0.19760349370195254,0.20482188616595087,0.21204027862994912,0.26617822210993614,0.27971270797993286,0.2869311004439311,0.45205182805789157,0.3925000902299058,0.22196556826794672,0.3004655863139279,0.283321904211932,0.2607644277619374,0.20031039087595195,0.16241383043996102,0.17324141913595842,0.11729887753997184,0.31490237124192444,0.17594831630995778,0.21204027862994912,0.2670805211679359,0.16602302667196017,0.33655754863391923,0.26888511928393544,0.17504601725195798,0.09383910203197747,0.23098855884794456,0.1804598115999567,0.11278738224997292,0.270689717399935,0.10195979355397554,0.19579889558595298,0.12632186811996968,0.08301151333598009,0.23459775507994368,0.09925289637997617,0.10015519543797598,0.16692532572995994,0.11188508319197314,0.12812646623596927,0.09293680297397769,0.10195979355397554,0.036994261377991125,0.0595517378279857,0.009925289637997617,0.06045403688598549,0.04511495289998917,0.03879885949399069,0.08301151333598009,0.08932760674197857,0.044212653841989386,0.06316093405998484,0.06947702746598332,0.13714945681596707,0.042408055725989824,0.1145919803659725,0.043310354783989605,0.037896560435990906,0.07308622369798247,0.09835059732197639,0.05052874724798788,0.02887356985599307,0.05143104630598766,0.036994261377991125,0.03518966326199155,0.03428736420399177,0.016241383043996103,0.042408055725989824,0.0,0.03428736420399177,0.005413794347998701,0.03518966326199155,0.02616667268199372,0.021655177391994802,0.017143682101995884,0.019850579275995234,0.011729887753997184,0.024362074565994155,0.03158046702999242,0.022557476449994587,0.02977586891399285,0.022557476449994587,0.019850579275995234,0.02526437362399394,0.01533908398599632,0.0072183924639982674,0.022557476449994587,0.02075287833399502,0.014436784927996535,0.01533908398599632,0.0,0.05774713971198614,0.016241383043996103,0.024362074565994155,0.022557476449994587,0.010827588695997401,0.02616667268199372,0.01533908398599632,0.0,0.01263218681199697,0.017143682101995884,0.004511495289998917,0.0,0.0,0.01263218681199697,0.016241383043996103,0.02616667268199372,0.0036091962319991337,0.009925289637997617,0.009925289637997617,0.0036091962319991337,0.01804598115999567,0.017143682101995884,0.0,0.0027068971739993503,0.006316093405998485,0.006316093405998485,0.004511495289998917,0.006316093405998485,0.011729887753997184,0.005413794347998701,0.0,0.01263218681199697,0.0,0.0018045981159995669,0.0036091962319991337,0.0,0.0,0.0,0.009022990579997834,0.004511495289998917,0.0,0.004511495289998917,0.0,0.005413794347998701,0.0,0.0,0.004511495289998917,0.0,0.0,0.0,0.0,0.0036091962319991337,0.0027068971739993503,0.0027068971739993503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt4,21.100219246588996,9.920455163166574,7.260504810741271,6.772182862526953,4.6141441229230455,3.442715033792966,1.8101433256627226,1.1397198717135661,1.8690318722933918,1.7141096957727082,1.618076065882694,1.1958904854228198,1.5501277428473066,1.227599702839334,1.5682472956567433,1.1134465201398829,0.8724564677743754,0.8860461323814529,1.20585623946801,0.77098697204153,0.7084745148489735,0.743807642827375,0.6396202141731142,0.7229701570965229,0.8344054068745584,1.0291905995760025,0.629654460127924,1.0527460182282702,0.5055355233832829,0.7347478664226568,0.5236550761927196,0.7909184801319102,0.3469894363007121,0.5535523383282901,0.8398412727173893,0.6604576999039663,0.5000996575404519,0.48922792585478986,0.5825436228233888,0.5327148525974379,0.5064415010237547,0.45570675315733206,0.8054141223794596,0.47745021652865605,0.3714508325934516,0.45027088731450104,0.48107412709054337,0.43577524506695176,0.44755295439308557,0.26454547101777526,0.30712642011995145,0.3007845766366486,0.2672634039391908,0.39681820652666294,0.35061334686259943,0.3433655257388248,0.28810088967004294,0.25639167225352877,0.3007845766366486,0.20837485730852162,0.22921234303937382,0.1938792150609723,0.21743463371323996,0.18119552809436665,0.1395205566326623,0.22287049955607097,0.23464820888220478,0.3044084871985359,0.21834061135371177,0.24461396292739493,0.16035804236351447,0.13046078022794397,0.21834061135371177,0.14858033303738064,0.10237547337331715,0.20112703618474695,0.1694178187682328,0.1802895504538948,0.2101868125894653,0.19750312562285965,0.10781133921614813,0.14133251191360596,0.09240971932812699,0.04982877022595083,0.09693960753048615,0.060700501911612824,0.058888546630669156,0.09240971932812699,0.12230698146369746,0.08606787584482416,0.06794832303538749,0.05617061370925366,0.09240971932812699,0.05435865842830999,0.040768993821232495,0.05798256899019732,0.08334994292340865,0.04982877022595083,0.06251245719255649,0.042580949102176156,0.03895703854028883,0.059794524271140986,0.059794524271140986,0.048016814945007154,0.06160647955208465,0.030803239776042324,0.03170921741651416,0.04529888202359166,0.043486926742647994,0.04529888202359166,0.044392904383119824,0.04711083730453532,0.07791407708057765,0.07610212179963398,0.03533312797840149,0.059794524271140986,0.015401619888021162,0.010871731685661998,0.03533312797840149,0.024461396292739496,0.07066625595680298,0.02264944101179583,0.05164072550689449,0.02808530685462683,0.01721357516896483,0.02355541865226766,0.01811955280943666,0.00905977640471833,0.042580949102176156,0.02808530685462683,0.004529888202359165,0.029897262135570493,0.02355541865226766,0.006341843483302832,0.015401619888021162,0.016307597528492996,0.02808530685462683,0.01721357516896483,0.02355541865226766,0.024461396292739496,0.024461396292739496,0.01811955280943666,0.016307597528492996,0.010871731685661998,0.010871731685661998,0.0036239105618873324,0.0036239105618873324,0.015401619888021162,0.00905977640471833,0.009965754045190164,0.0,0.008153798764246498,0.008153798764246498,0.0,0.05254670314736633,0.03442715033792966,0.010871731685661998,0.01721357516896483,0.013589664607077497,0.019025530449908495,0.005435865842830999,0.01811955280943666,0.012683686966605663,0.0,0.005435865842830999,0.004529888202359165,0.0027179329214154996,0.0,0.00905977640471833,0.01811955280943666,0.007247821123774665,0.0,0.004529888202359165,0.0018119552809436662,0.006341843483302832,0.0,0.0,0.008153798764246498,0.0,0.0,0.0,0.0027179329214154996,0.0,0.0,0.0,0.0,0.0027179329214154996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018119552809436662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt5,16.935850256689836,11.6396347280905,7.257734768979147,5.544954795329607,4.045704420517014,5.524510472036709,1.8706555813002588,0.89273545045659,2.1989005497251375,1.7354958884194267,1.6355458634319204,1.797964654036618,1.5151515151515151,1.3640906819317613,1.2630048612057607,1.0085866157830177,1.102857662078052,0.8654763527327245,1.1812275680341648,0.7643905320067239,1.1448821044023443,1.4788060515196946,0.7768842851301622,0.5190586524919358,1.14374630866385,0.6814774430966335,1.0290309390759165,0.6303666348643859,0.6587615283267457,0.37026941074917086,0.5395029757848349,0.5145154695379582,0.6496751624187905,0.6655763027577121,0.8847848802871292,0.6826132388351278,0.5724410522011721,0.6621689155422289,0.6723910771886784,0.7291808641133979,0.624687656171914,0.37254100222615966,0.4293307891508791,0.5531325246467675,0.46454045704420516,0.5837990095861161,0.2339739221298442,0.3873063468265867,0.34868929171777746,0.27826995593112536,0.09767843351051746,0.25668983689973196,0.3373313343328336,0.2987142792240243,0.3043932579164963,0.3396029258098223,0.1374312843578211,0.21807278179092274,0.41570124028894645,0.2987142792240243,0.32483758120939527,0.18513470537458543,0.2521466539457544,0.24192449229930488,0.12266593975739402,0.2703193857616646,0.22829494343737222,0.29757848348552995,0.2612330198537095,0.19876425423651808,0.1874062968515742,0.2192085775294171,0.22715914769887782,0.07496251874062969,0.24192449229930488,0.1783199309436191,0.169233565035664,0.07609831447912407,0.18627050111307983,0.22829494343737222,0.14878924174276498,0.12153014401889964,0.11357957384943891,0.13970287583480986,0.13402389714233792,0.13175230566534915,0.07723411021761847,0.10790059515696697,0.14424605878878743,0.10449320794148381,0.045431829539775564,0.056789786924719456,0.1385670800963155,0.03407387215483167,0.05792558266321385,0.06814774430966335,0.19990004997501248,0.0420244423242924,0.03407387215483167,0.0,0.06701194857116896,0.06928354004815775,0.05565399118622508,0.07836990595611285,0.0726909272636409,0.045431829539775564,0.06474035709418018,0.05792558266321385,0.052246603970741906,0.03975285084730362,0.013629548861932671,0.056789786924719456,0.03975285084730362,0.05906137840170824,0.0,0.010222161646449502,0.02498750624687656,0.021580119031393393,0.04088864658579801,0.03407387215483167,0.03407387215483167,0.052246603970741906,0.026123301985370953,0.02498750624687656,0.028394893462359728,0.02953068920085412,0.02953068920085412,0.043160238062786786,0.043160238062786786,0.01249375312343828,0.013629548861932671,0.021580119031393393,0.026123301985370953,0.007950570169460724,0.045431829539775564,0.018172731815910226,0.02498750624687656,0.021580119031393393,0.017036936077415837,0.009086365907955113,0.015901140338921448,0.021580119031393393,0.03293807641633729,0.0,0.010222161646449502,0.015901140338921448,0.0068147744309663355,0.010222161646449502,0.022715914769887782,0.007950570169460724,0.011357957384943891,0.013629548861932671,0.0068147744309663355,0.02498750624687656,0.0034073872154831678,0.011357957384943891,0.0056789786924719456,0.0,0.0045431829539775564,0.018172731815910226,0.022715914769887782,0.0,0.018172731815910226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068147744309663355,0.0045431829539775564,0.0,0.0,0.018172731815910226,0.015901140338921448,0.0,0.0,0.0,0.0,0.0,0.0,0.011357957384943891,0.0022715914769887782,0.0,0.0,0.0,0.007950570169460724,0.0,0.0068147744309663355,0.0,0.0022715914769887782,0.0,0.0,0.0,0.0,0.0,0.0022715914769887782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
