,Firmicutes,Bacteroidota,Actinobacteriota,Spirochaetota,Proteobacteria,Fibrobacterota,Desulfobacterota,Synergistota,Bdellovibrionota,Verrucomicrobiota,Elusimicrobiota,Patescibacteria,WPS-2,Planctomycetota,Cyanobacteria,Chloroflexi,Deinococcota,Campylobacterota,SAR324_clade(Marine_gr_B)
Trt1,54.84715785893457,19.515326729305727,18.992389779346116,3.470940861357936,1.8077462692912716,1.0535266357722886,0.19642022022873176,0.05016793503677565,0.005952127885719145,0.011053951787764126,0.024658815526550745,0.01700607967348327,0.004251519918370817,0.0034012159346966542,0.0,0.0,0.0,0.0,0.0
Trt2,52.62978470467915,19.868707441368517,19.82150505677398,3.732484855901609,2.422181624286501,1.1774372601638097,0.2587389970367392,0.016608246431412312,0.013111773498483404,0.0227270740640379,0.015734128198180087,0.0,0.012237655265251177,0.0069929458658578155,0.0,0.0017482364664644539,0.0,0.0,0.0
Trt3,49.91466681921761,19.079355090910823,21.83480640332561,3.8995833452513757,3.4838820399874146,1.4358857012099195,0.20689720927128322,0.038137734427886316,0.04385839459206926,0.019068867213943158,0.014301650410457367,0.0,0.014301650410457367,0.011441320328365893,0.0,0.0038137734427886308,0.0,0.0,0.0
Trt4,52.080815569972195,20.28693234476367,18.797405004633923,4.697683039851714,2.2732159406858203,1.4806302131603337,0.24318813716404075,0.014828544949026877,0.02520852641334569,0.03113994439295644,0.029657089898053754,0.022242817423540315,0.005931417979610751,0.0029657089898053753,0.008155699721964782,0.0,0.0,0.0,0.0
Trt5,52.15044069450484,20.858479259251403,17.356257225586795,4.239364466552825,3.527677311922616,1.5008007806285333,0.2407645068570156,0.013788275723088998,0.03287973441659684,0.02439464166392669,0.016970185505340303,0.025455278258010458,0.0063638195645026145,0.002121273188167538,0.002121273188167538,0.002121273188167538,0.0,0.0,0.0
