,Firmicutes,Bacteroidota,Proteobacteria,Spirochaetota,Actinobacteriota,Fibrobacterota,Patescibacteria,Desulfobacterota,Verrucomicrobiota,Cyanobacteria,WPS-2,Synergistota,Elusimicrobiota,Bdellovibrionota,Campylobacterota,Planctomycetota,SAR324_clade(Marine_gr_B),Chloroflexi,Deinococcota
Trt1,47.03794817240405,39.83976330180682,3.4582204418144644,2.3827728927378202,3.946909127175412,0.5186084007912103,0.810325626236266,0.5950698957796579,0.278419574142717,0.39976064227655794,0.2983660510962251,0.10804341683150213,0.22938448496534297,0.06399494689250511,0.006648825651169362,0.009973238476754043,0.014128754508734897,0.0016622064127923405,0.0
Trt2,45.381785146491026,36.84397002044061,5.180104474222121,4.895752895752896,3.930956166250284,0.6858959800136271,0.595048830342948,0.5423574835339541,0.44969339086986143,0.47513059277765163,0.3897342720872133,0.19713831478537358,0.19441290029525324,0.1589825119236884,0.04542357483533954,0.008176243470361116,0.015444015444015444,0.0099931864637747,0.0
Trt3,43.01320768447097,38.115812836559456,5.874326881094455,5.42861301120652,3.7749235919080193,0.900523941202154,0.30017464706738467,0.7058652306796682,0.5066584194440402,0.1491777033910639,0.45117159074370544,0.25651288022121965,0.10915441711541261,0.3374690729151506,0.030927084849366904,0.023650123708339396,0.010915441711541261,0.010915441711541261,0.0
Trt4,45.14934324956516,37.624452707970974,5.292238949199304,4.725454327355605,3.5828885023690997,0.6694955916751635,0.8426797816829605,0.5637857614106639,0.4138427397588916,0.6417561326695855,0.1506927367600312,0.11470641156360584,0.1364481497031128,0.0547292029028969,0.02624002878906016,0.008246866190847477,0.0,0.0029988604330354464,0.0
Trt5,43.1559375111206,37.549375467065225,5.689299313191701,6.703498096153162,3.289028860182911,1.0097505426853135,0.3202732998825665,0.4537205081669692,0.696594427244582,0.22597060602825522,0.4528308601117398,0.14679192911284294,0.12099213551119178,0.14323333689192555,0.01601366499412832,0.024910145546421836,0.0,0.0017792961104587024,0.0
