,Firmicutes,Bacteroidota,Proteobacteria,Actinobacteriota,Spirochaetota,Fibrobacterota,Desulfobacterota,Patescibacteria,Campylobacterota,Verrucomicrobiota,Cyanobacteria,Bdellovibrionota,Elusimicrobiota,Synergistota,WPS-2,Planctomycetota,SAR324_clade(Marine_gr_B),Chloroflexi,Deinococcota
Trt1,45.49303663480069,37.566097382686046,5.920047086968492,6.494394182480989,1.739179965254374,0.48605902959074204,0.47276835300037023,0.6104217891149358,0.2582188594700817,0.1613867871688011,0.39587229558464737,0.060757378698842755,0.1556907829157846,0.09873074038561948,0.08733873187958648,0.0,0.0,0.0,0.0
Trt2,43.27668070052032,35.34669135521511,7.633106102140248,6.325578508549616,4.483247302707119,0.7427253261060711,0.5234248119911866,0.3848103360883822,0.32895077117232674,0.2699878970942682,0.12309793009278895,0.1406833486774731,0.13758003951547,0.13861447590280435,0.13344229396613255,0.0020688727746687218,0.0041377455493374436,0.005172181936671804,0.0
Trt3,42.19473759610334,34.875125352179936,9.02726708371138,6.7045508810467505,4.058067905066616,0.723938684876558,0.6379829043503176,0.15854066185951007,0.5501169953679386,0.25595721312258246,0.09932667971921112,0.3037104245260494,0.11747290005252853,0.17668688219282747,0.0859557805262404,0.01241583496490139,0.01241583496490139,0.005730385368416026,0.0
Trt4,44.57010294330869,37.01816524783032,6.106174527227159,5.576958926241224,3.5222353404171582,0.6276020630087616,0.5375007767352266,0.4929679570827896,0.3697259678120922,0.33865655875225253,0.4411856086497235,0.10149340292880964,0.1325628119886493,0.08802999233621243,0.06524575902566333,0.011392116655274549,0.0,0.0,0.0
Trt5,42.7581797983609,35.801421115512795,8.865203630342283,5.310318807772118,4.37758074996332,0.6979815129220902,0.4925695361462198,0.34270263472300827,0.3741432434131925,0.3594709593577732,0.05344903477331321,0.1320505564987738,0.13519461736779226,0.1173782724433545,0.16558720576830369,0.012576243476073699,0.0,0.002096040579345616,0.002096040579345616
