,Firmicutes,Actinobacteriota,Bacteroidota,Spirochaetota,Proteobacteria,Fibrobacterota,Desulfobacterota,Verrucomicrobiota,Synergistota,Bdellovibrionota,Elusimicrobiota,Patescibacteria,WPS-2,Planctomycetota,Chloroflexi,Cyanobacteria,SAR324_clade(Marine_gr_B),Deinococcota,Campylobacterota
Trt1,52.52527434545926,17.808692646677613,23.822382145634542,3.216538494772315,1.2961202799619804,1.0708422313019221,0.08609941859747441,0.0620286133981805,0.0320944069323919,0.009566602066386046,0.0364148078655985,0.024688005332609154,0.004320400933206602,0.0015430003332880722,0.0,0.0033946007332337582,0.0,0.0,0.0
Trt2,52.62024630694856,22.326354981521803,19.89020051690643,2.285361334156887,1.688399971014593,0.9444411855031556,0.10144892529701414,0.0662523593776419,0.03071072908651109,0.008281544922205238,0.009661802409239443,0.012077253011549305,0.011042059896273649,0.0020703862305513094,0.0027605149740684122,0.0006901287435171031,0.0,0.0,0.0
Trt3,48.28985773520459,27.54684048554595,17.10476317734453,3.273301236413441,2.4018406316941077,1.1132314193491815,0.0985456170166567,0.03966878651094232,0.019625610168571464,0.06639302163410347,0.012526985213981786,0.0008351323475987857,0.016285080778176322,0.010439154344984821,0.0058459264331915005,0.0,0.0,0.0,0.0
Trt4,49.28184558042019,19.034186043125665,22.426946988337725,4.512397536508306,2.0449019408004894,2.1803066260937936,0.15979208828967867,0.14741639124674227,0.03603511786031478,0.04586287727676427,0.059694538677693164,0.0287552960703522,0.02402341190687652,0.002911928715985033,0.005459866342471936,0.008735786147955098,0.0007279821789962582,0.0,0.0
Trt5,49.220238322679954,24.390683253546726,19.679361561597624,2.4640141487033085,1.995120007423702,1.9449008444461426,0.1244561865096044,0.06823255839342346,0.043122976904643624,0.018559255883011185,0.006004465138621265,0.01419237214583208,0.018013395415863793,0.007642046540063429,0.005458604671473878,0.0,0.0,0.0,0.0
