,Pseudoscardovia,Lactobacillus,Limosilactobacillus,Prevotellaceae,Prevotella_7,Prevotella,Treponema,Streptococcus,Catenisphaera,Prevotellaceae_YAB2003_gr,Pseudoramibacter,Olsenella,Fibrobacter,Bifidobacterium,F082,Dialister,Eubacterium_nodatum_gr,Rikenellaceae_RC9_gut_gr,Lachnospiraceae_NK3A20_gr,Atopobiaceae,Shuttleworthia,Ruminobacter,Megasphaera,Pseudobutyrivibrio,Acetitomaculum,Muribaculaceae,Succinivibrio,Oribacterium,Selenomonas,Lachnospiraceae,Syntrophococcus,Spirochaetaceae,Butyrivibrio,Erysipelotrichaceae_UCG-002,Mitsuokella,Erysipelotrichaceae_UCG-007,Lactobacillaceae,Christensenellaceae_R-7_gr,Izemoplasmatales,Eubacterium_ruminantium_gr,Prevotellaceae_Ga6A1_gr,Eubacterium_oxidoreducens_gr,Ruminococcus_gauvreauii_gr,Coprococcus,Acidaminococcus,Enterorhabdus,Succiniclasticum,Erysipelotrichaceae_UCG-009,Anaerovibrio,Lachnospiraceae_FCS020_gr,Anaeroplasma,Lachnospiraceae_u,Solobacterium,Family_XIII_AD3011_gr,XBB1006,p-251-o5,probable_genus_10,Prevotellaceae_UCG-001,Ruminococcus,Lachnospiraceae_NK4A136_gr,Lachnospiraceae_AC2044_gr,Schwartzia,Eubacterium_coprostanoligenes_gr,Atopobium,Selenomonadaceae_u,RF39,Bacteroidales_u,Sutterella,UCG-010,Asteroleplasma,WCHB1-41,Ligilactobacillus,Bacteroidales_UCG-001,UCG-002,Clostridia_UCG-014,Denitrobacterium,Veillonellaceae_UCG-001,Prevotellaceae_UCG-004,Bradymonadales,Anaerovoracaceae,Rhodospirillales_u,NK4A214_gr,Anaerosporobacter,Anaerovorax,Erysipelatoclostridiaceae_UCG-004,Desulfovibrio,Clostridia,Ruminococcaceae_u,Eubacterium_hallii_gr,Sphaerochaeta,DNF00809,FD2005,Eggerthellaceae,Pyramidobacter,Erysipelotrichaceae_UCG-006,Clostridia_vadinBB60_gr,0319-6G20,UCG-005,Anaerobiospirillum,Agathobacter,Oscillospiraceae_u,Endomicrobium,Acetobacter,Prevotellaceae_UCG-003,Allisonella,Candidatus_Saccharimonas,Monoglobus,WPS-2,Anaerovoracaceae_u,Sharpea,Acholeplasmataceae,Lentilactobacillus,Bacilli,Eubacterium_saphenum_gr,Oscillospirales,Marinilabiliaceae_u,MVP-15,Clostridia_u,Saccharofermentans,Firmicutes,Mailhella,Bacteroidales,Anaerorhabdus_furcosa_gr,Bacteroidetes_BD2-2,Eubacterium_ventriosum_gr,vadinBE97,Family_XIII_UCG-001,Bilophila,Negativicutes_u,Parasutterella,Selenomonadaceae,Alphaproteobacteria,Coriobacteriales,Oscillospirales_u,vadinHA49,Erysipelotrichaceae_u,Paracaedibacteraceae_u,Anaerofustis,Lachnospiraceae_FE2018_gr,Sediminispirochaeta,vadinBA26,Lachnospiraceae_UCG-008,Lachnospiraceae_XPB1014_gr,Tyzzerella,Dietzia,horsej-a03,Blautia,Lachnospiraceae_NC2004_gr,Oscillospiraceae,Ruminococcaceae,PB19,Gastranaerophilales,Eubacterium_cellulosolvens_gr,Marvinbryantia,Oscillospira,Clostridium_sensu_stricto_1,Dysgonomonadaceae_u,Roseburia,Christensenellaceae_u,Peptococcaceae_u,Rickettsiales_u,Coriobacteriales_Incertae_Sedis_u,Bacteroidales_RF16_gr,Desulfuromonadaceae,Marinifilaceae_u,Succinivibrionaceae_u,Succinivibrionaceae_UCG-002,U29-B03,Bacteroidales_BS11_gut_gr,UCG-011,Coriobacteriaceae_UCG-002,possible_genus_Sk018,Burkholderia-Caballeronia-Paraburkholderia,Lachnospiraceae_UCG-006,Lachnoclostridium,Cloacibacillus,Papillibacter,Intestinimonas,Corynebacterium,Tannerellaceae,Elusimicrobium,Moryella,Lineage_IV,Absconditabacteriales_(SR1),Erysipelotrichaceae,Pseudomonas,Eggerthellaceae_u,Oscillibacter,Ochrobactrum,SAR324_clade(Marine_gr_B),Halomonas,Saccharimonadales,Candidatus_Arthromitus,Lachnospira,Alishewanella,Acinetobacter,Succinimonas,Candidatus_Paracaedibacter,CAG-352,Aliidiomarina,Weeksellaceae_u,Alcaligenaceae,M2PT2-76_termite_gr,Amnipila,Stenotrophomonas,Sulfurospirillum,V9D2013_gr,Brevundimonas,Alcaligenes,UCG-001,Arcobacter,UCG-007,Nitrincola,Chryseobacterium,Chryseomicrobium,Incertae_Sedis,Hydrogenoanaerobacterium,Gemmobacter,Flavobacterium,Pla4_lineage,Exiguobacterium,Eubacterium_xylanophilum_gr,Eubacterium_brachy_gr,Prevotellaceae_NK3B31_gr,Lachnospiraceae_ND3007_gr,Erysipelatoclostridiaceae_u,Erysipelatoclostridiaceae,Prevotellaceae_u,EMP-G18,Quinella,Diplorickettsiaceae_u,RH-aaj90h05,Raoultibacter,Rhodobacter,Rhodococcus,Rhodospirillales,LD1-PB3,Ruminiclostridium,Deinococcus,Defluviitaleaceae_UCG-011,SN8,Coriobacteriaceae_UCG-003,Comamonas,Comamonadaceae,Corticibacter
Trt1,15.106899063090198,16.805125229907052,12.940526595153745,10.444260655960301,3.6353087852266976,3.0847662663095137,2.777091999851872,2.4555307303946377,0.9251829998395279,2.187048672402513,1.7670439816815,1.0208490205033884,1.0708422313019221,0.2533606547259014,1.742355976348891,1.4541235140906792,1.3667896952265743,1.1347224451000482,1.3146362839614372,1.0146770191702361,0.5280147140511783,0.5172137117181617,1.950352421276123,0.5993013294490872,0.7119403537791164,0.9915320141709152,0.6647245435805014,0.5894261273160435,0.6134969325153374,0.5397415165841676,0.6020787300490057,0.38297268272209944,0.47678710298601423,0.3203268691906037,0.25397785485921665,0.5415931169841133,0.16232363506190517,0.3215612694572342,0.33267087185690836,0.09782622113046376,0.15028823246225823,0.12590882719630667,0.2734196590586464,0.40889508832133903,0.3067484662576687,0.19842984286084606,0.18886324079446,0.21663724679364532,0.12992062806285568,0.1762106380614978,0.24533705299280345,0.1863944402611991,0.15491723346212244,0.145659231462394,0.1308464282628285,0.1481280319956549,0.1006036217303823,0.05801681253163151,0.1524484329288615,0.11449062472997495,0.15954623446198665,0.10245522213032797,0.07097801533125131,0.09412302033057239,0.04845021046524546,0.06110281319820765,0.05832541259828912,0.016355803532853562,0.060794213131550034,0.07745861673106122,0.05153621113182161,0.1543000333288072,0.059868412931577186,0.058634012664946736,0.06758341459801755,0.02684820579921245,0.05832541259828912,0.07375541593116984,0.056782412265001046,0.07468121613114267,0.04937601066521831,0.07745861673106122,0.04937601066521831,0.035489007665625655,0.03487180753231043,0.012961202799619806,0.034563207465652813,0.029934206465788593,0.02962560639913098,0.03795780819888657,0.048141610398587845,0.02437940526595154,0.043204009332066015,0.0320944069323919,0.0536964115984249,0.026539605732554837,0.009566602066386046,0.0364148078655985,0.02036760439940255,0.029008406265815755,0.009258001999728432,0.0364148078655985,0.0037032007998913726,0.022836404932663465,0.029317006332473368,0.024070805199293922,0.017281603732826407,0.004320400933206602,0.013578402932935033,0.015121403266223106,0.01975040426608732,0.014504203132907878,0.021602004666033008,0.01049240226635889,0.01543000333288072,0.004011800866548987,0.017281603732826407,0.013578402932935033,0.043204009332066015,0.013578402932935033,0.004011800866548987,0.005246201133179445,0.014504203132907878,0.012344002666304577,0.017898803866141635,0.006172001333152289,0.006480601399809903,0.0067892014664675164,0.002468800533260915,0.005246201133179445,0.0,0.008332201799755589,0.0012344002666304576,0.006172001333152289,0.0015430003332880722,0.004011800866548987,0.0067892014664675164,0.004011800866548987,0.0015430003332880722,0.0012344002666304576,0.0,0.002468800533260915,0.009258001999728432,0.0027774005999185295,0.0,0.004320400933206602,0.00493760106652183,0.00493760106652183,0.005863401266494673,0.002468800533260915,0.0033946007332337582,0.0033946007332337582,0.0,0.0030860006665761443,0.004011800866548987,0.0,0.0,0.0015430003332880722,0.0006172001333152288,0.0,0.0006172001333152288,0.0,0.002468800533260915,0.002160200466603301,0.0018516003999456863,0.0027774005999185295,0.0,0.005246201133179445,0.0,0.002468800533260915,0.0,0.0,0.0006172001333152288,0.0,0.0,0.0,0.0015430003332880722,0.0,0.0,0.0,0.0,0.0006172001333152288,0.0,0.0006172001333152288,0.0006172001333152288,0.0,0.0009258001999728431,0.0009258001999728431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt2,17.98924089288857,13.95336800080055,18.318777367917985,8.498590412041366,3.443397365778586,2.1500961004275347,1.8146935310782226,2.4989561802754303,1.8937132722109309,2.479287511085193,1.4247707909910594,1.6152463242017796,0.9444411855031556,1.264315858123333,0.9430609280161215,1.455136455705812,1.2429218670743027,1.0224257335205882,0.7922677975576343,1.1159381782671558,0.6683896880963144,0.7867467676094975,1.0296720853275179,0.8167673679524916,0.9948205837799042,0.79571844127522,0.7308463393846122,0.4534145844907368,0.5162163001507931,0.4737733824244913,0.45755535695183935,0.44478797519677293,0.3426489211562417,0.31159312769797204,0.4482386189143585,0.2256720991300927,0.3402334705539318,0.18909527572368626,0.14561716488210877,0.28812875041839053,0.1973768206458915,0.20358797933754544,0.15493390291958964,0.2180806829514046,0.17839828019917114,0.15631416040662385,0.11421630705208057,0.1852995676343422,0.1632154478417949,0.12456823820483712,0.1204274657437345,0.08695622168315499,0.13215965438352523,0.11628669328263189,0.1118008564497707,0.1004137321817385,0.09178712288777471,0.04140772461102619,0.11456137142383913,0.07798454801743265,0.08316051359381092,0.03519656591937226,0.06280171566005638,0.07384377555633002,0.09075192977249906,0.06038626505774652,0.06452703751884914,0.0904068654007405,0.0662523593776419,0.06797768123643466,0.06176652254478073,0.0,0.049689269533231425,0.049689269533231425,0.043478110841577496,0.057970814455436656,0.03519656591937226,0.0548652351096097,0.04244291772630184,0.02864034285595978,0.018633476074961783,0.027260085368925574,0.03381630843233805,0.03312617968882095,0.022084119792547298,0.03381630843233805,0.019668669190237437,0.030020600342993982,0.04382317521333605,0.016908154216169025,0.02449957039485716,0.012422317383307856,0.018978540446720336,0.03071072908651109,0.025879827881891367,0.016563089844410475,0.008281544922205238,0.011042059896273649,0.02622489225364992,0.003105579345826964,0.016908154216169025,0.009661802409239443,0.01725321858792758,0.018633476074961783,0.02449957039485716,0.0113871242680322,0.01345751049858351,0.011042059896273649,0.007936480550446686,0.01552789672913482,0.009316738037480891,0.01380257487034206,0.003795708089344067,0.01552789672913482,0.007246351806929582,0.0113871242680322,0.00448583683286117,0.0113871242680322,0.00690128743517103,0.00897167366572234,0.010351931152756547,0.010351931152756547,0.00655622306341248,0.00690128743517103,0.007591416178688134,0.0017253218587927575,0.006211158691653928,0.010351931152756547,0.007246351806929582,0.003450643717585515,0.0,0.004140772461102619,0.0055210299481368245,0.002415450602309861,0.0020703862305513094,0.011042059896273649,0.003450643717585515,0.0027605149740684122,0.0027605149740684122,0.00448583683286117,0.0027605149740684122,0.0027605149740684122,0.003450643717585515,0.0020703862305513094,0.003795708089344067,0.0027605149740684122,0.004830901204619722,0.004140772461102619,0.0006901287435171031,0.004140772461102619,0.003450643717585515,0.0006901287435171031,0.0,0.002415450602309861,0.0017253218587927575,0.0,0.0006901287435171031,0.0,0.0006901287435171031,0.0013802574870342061,0.0017253218587927575,0.0,0.0013802574870342061,0.0010351931152756547,0.0,0.0,0.0013802574870342061,0.0,0.0,0.0027605149740684122,0.0,0.00448583683286117,0.003450643717585515,0.0006901287435171031,0.0,0.0,0.0017253218587927575,0.0010351931152756547,0.0006901287435171031,0.0,0.0,0.0,0.0,0.0,0.0010351931152756547,0.0,0.0,0.0,0.0,0.0,0.0006901287435171031,0.0006901287435171031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt3,23.54071061411457,11.752399961583912,15.183123645519725,6.11400391677071,3.3154754199671794,2.408521690474898,2.8277581289694886,2.3041301470250497,2.6632370564925276,1.7587887240430427,1.45104245395289,1.702834856753924,1.1132314193491815,0.7553772084031016,0.7516191128389071,1.0059169126827374,1.4660748362096683,1.3257726018130724,0.9407765895700322,1.1136489855229807,1.254368786093376,1.51994087262979,0.48187136456449936,1.1249232722155644,0.7528718113603053,0.5603738052387852,0.711115193980366,0.6610072531244389,0.4033689238902135,0.5883507388833445,0.432598556056171,0.40587432093300985,0.5758237536693628,0.24761674106303996,0.24511134402024362,0.07265651424109436,0.06722815398170225,0.25889102775562356,0.035075558599149,0.3290421449539216,0.37079876233386083,0.3795676519836481,0.1691143003887541,0.15658731517477234,0.14197249909179357,0.18498181499313104,0.12151175657562333,0.16118054308656565,0.20794795455209764,0.2100357854210946,0.056788999636717435,0.16326837395556262,0.1277752491826142,0.12652255066121604,0.11065503605683912,0.09436995527866279,0.1407198005703954,0.1686967342149547,0.048020109986930175,0.13195091092060815,0.1165009624900306,0.11984149188042575,0.09562265380006096,0.07683217597908829,0.08685376415027371,0.058459264331915,0.08518349945507614,0.07516191128389071,0.0643051907651065,0.04760254381313078,0.03966878651094232,0.0,0.06514032311270529,0.06054709520091196,0.0058459264331915005,0.07432677893629193,0.07182138189349557,0.046349845291732604,0.03758095564194536,0.035075558599149,0.010021588171185428,0.035910690946747786,0.06639302163410347,0.058459264331915,0.03758095564194536,0.04217418355373868,0.03925122033714293,0.035493124772948394,0.03340529390395143,0.024636404254164176,0.04008635268474171,0.09729291849525853,0.035910690946747786,0.019625610168571464,0.010021588171185428,0.02380127190656539,0.06639302163410347,0.03841608798954414,0.03215259538255325,0.05553630111531925,0.03674582329434657,0.012526985213981786,0.04384444824893625,0.012109419040182394,0.00876888964978725,0.0008351323475987857,0.010439154344984821,0.016285080778176322,0.012109419040182394,0.0008351323475987857,0.01503238225677814,0.013779683735379964,0.009186455823586643,0.013779683735379964,0.010856720518784214,0.003758095564194535,0.006681058780790286,0.010856720518784214,0.0,0.015867514604376926,0.0058459264331915005,0.019625610168571464,0.003758095564194535,0.0,0.0016702646951975715,0.0,0.0058459264331915005,0.0058459264331915005,0.010021588171185428,0.003758095564194535,0.015867514604376926,0.0,0.007933757302188463,0.003758095564194535,0.010439154344984821,0.0045932279117933215,0.0,0.0016702646951975715,0.0020878308689969644,0.008351323475987858,0.0058459264331915005,0.002505397042796357,0.004175661737993929,0.004175661737993929,0.003758095564194535,0.0,0.0,0.0008351323475987857,0.0,0.004175661737993929,0.005010794085592714,0.0,0.0058459264331915005,0.005010794085592714,0.0,0.0,0.004175661737993929,0.002505397042796357,0.002505397042796357,0.0020878308689969644,0.0008351323475987857,0.004175661737993929,0.0,0.0020878308689969644,0.0,0.004175661737993929,0.0008351323475987857,0.0,0.0,0.0,0.005010794085592714,0.0,0.0,0.0,0.003340529390395143,0.0,0.0,0.0,0.0012526985213981785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt4,14.925090633781284,16.21543904605215,11.637887104523681,8.377618915888938,3.3843891501536043,3.3079510213589973,3.7676717673951345,2.1748467597513215,1.6681711631699256,2.201782100374183,1.711122111730705,1.3558668083805308,2.1803066260937936,1.128008386354702,2.2086979310746475,1.2583171963950324,1.0566661328130686,1.4166533203267184,1.3773422826609205,1.2219180874452193,1.1687753883784924,1.1007090546423424,0.6013132798509092,0.6395323442482128,0.5237831777878077,0.6475401482171717,0.6249727006682877,0.5820217521075084,0.4997597658809312,0.47537236288455653,0.4961198549859499,0.6537279967386398,0.30502453299943216,0.40767002023790455,0.4022101538954327,0.4498929866196875,0.18199554474906454,0.3417876330387432,0.7279821789962582,0.20856689428242797,0.2766332280185781,0.19036733980752152,0.1940072507025028,0.12084504171337884,0.1827235269280608,0.18417949128605332,0.22421851113084754,0.1849074734650496,0.1641599813636562,0.13103679221932646,0.23987012797926707,0.12230100607137137,0.10956131793893686,0.13067280112982832,0.1288528456823377,0.13358472984581338,0.08408194167406782,0.1041014515964649,0.11684113972889942,0.05168673470873433,0.02438740299637465,0.07716611097360336,0.07935005751059214,0.08408194167406782,0.0651544050201651,0.11866109517639008,0.10482943377546118,0.08553790603206032,0.10846934467044246,0.11902508626588822,0.1175691219078957,0.0007279821789962582,0.0877218525690491,0.06661036937815763,0.11720513081839756,0.06479041393066698,0.049866779261243686,0.06806633373615015,0.09208974564302666,0.04367893073977549,0.14159253381477221,0.06770234264665201,0.040039019844794195,0.061150503035685685,0.0687943159151464,0.046590859455760525,0.05860256540919878,0.045498886187266135,0.048410814903251165,0.06843032482564827,0.02438740299637465,0.021111483190891487,0.028027313891355942,0.032759198054831615,0.03639910894981291,0.06187848521468194,0.04586287727676427,0.04331493965027736,0.029119287159850328,0.026571349533363424,0.0287552960703522,0.05532664560371563,0.018199554474906454,0.030575251517842843,0.013467670311430776,0.0287552960703522,0.014559643579925164,0.02402341190687652,0.022567447548884005,0.017835563385408326,0.022931438638382134,0.018199554474906454,0.025479376264869034,0.007643812879460711,0.012739688132434517,0.027663322801857813,0.01601560793791768,0.008735786147955098,0.0007279821789962582,0.010191750505947615,0.014923634669423291,0.014559643579925164,0.013103679221932648,0.011647714863940131,0.010555741595445743,0.025843367354367167,0.013103679221932648,0.00400390198447942,0.009099777237453227,0.013831661400928907,0.003275919805483162,0.013467670311430776,0.006187848521468194,0.010555741595445743,0.002911928715985033,0.002911928715985033,0.009463768326951357,0.013103679221932648,0.004731884163475679,0.006551839610966324,0.005459866342471936,0.00400390198447942,0.0018199554474906455,0.0025479376264869037,0.008735786147955098,0.00400390198447942,0.006187848521468194,0.004367893073977549,0.0014559643579925164,0.0021839465369887746,0.0,0.008735786147955098,0.006551839610966324,0.0014559643579925164,0.006187848521468194,0.010191750505947615,0.006915830700464453,0.003275919805483162,0.00400390198447942,0.002911928715985033,0.00400390198447942,0.0021839465369887746,0.00400390198447942,0.0021839465369887746,0.005459866342471936,0.0,0.0021839465369887746,0.0,0.00400390198447942,0.0,0.0,0.0,0.0,0.0014559643579925164,0.0,0.003275919805483162,0.0,0.0,0.0007279821789962582,0.0025479376264869037,0.0025479376264869037,0.0014559643579925164,0.0018199554474906455,0.0,0.0,0.0010919732684943873,0.0,0.0,0.0007279821789962582,0.0007279821789962582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trt5,17.624742763254854,11.67486367134833,11.893207858207285,8.737588497628238,3.515887268896325,2.367396846018221,2.0306009377882828,2.667074242482137,3.5202541526335036,1.6321227967706895,2.604300288760187,1.6730623318067437,1.9449008444461429,3.841220107316168,1.2751300512562977,1.3379040049782476,1.3701097725399434,0.9983787944125723,1.1604993531553465,0.8144238169839026,1.5655278197787084,1.1654120973596729,0.7456453981233316,0.5627821416289569,0.5229343275271975,0.481448932023996,0.6424777698324754,0.6228267930151694,0.6222809325480221,0.5071043739799233,0.5387642810744717,0.3919278154118244,0.4295921876449942,0.5917127463877683,0.430683908579289,0.4126705131634252,0.7838556308236488,0.2893060475881155,0.09661730268508764,0.34662139663859126,0.2456372102163245,0.21616074499036558,0.25054995442065103,0.05240260484614923,0.14519888426120517,0.2194359077932499,0.2510958148877984,0.13701097725399436,0.2025142333116809,0.16976260528283763,0.0671408374591287,0.14028614005687867,0.16867088434854283,0.13646511678684695,0.11572241903524622,0.09115869801361376,0.1304606516482257,0.15393265173556336,0.07642046540063428,0.0938880003493507,0.049673302510412284,0.08187907007210818,0.1037134887580037,0.07805804680207645,0.08406251194069772,0.0715077211963078,0.056223628116180945,0.10098418642226674,0.0627739537219496,0.044214697838938416,0.05949879091906527,0.15884539593988986,0.05131088391185445,0.0715077211963078,0.04694400017467535,0.05185674437900185,0.05949879091906527,0.030568186160253717,0.02292613962019029,0.06168223278765482,0.020742697751600734,0.031114046627401106,0.049673302510412284,0.044214697838938416,0.05676948858332832,0.07259944213060258,0.04203125597034886,0.04694400017467535,0.031659907094548495,0.026201302423074616,0.033843348963138044,0.015284093080126859,0.04257711643749625,0.04312297690464363,0.028930604758811554,0.02019683728445335,0.01855925588301119,0.016921674481569022,0.028930604758811554,0.01965097681730596,0.03493506989743282,0.006004465138621266,0.021288558218748126,0.01419237214583208,0.013100651211537308,0.013100651211537308,0.01855925588301119,0.018013395415863796,0.015829953547274248,0.022380279153042897,0.004366883737179103,0.00709618607291604,0.00709618607291604,0.01746753494871641,0.015284093080126859,0.013646511678684695,0.015284093080126859,0.014738232612979471,0.006004465138621266,0.008187907007210816,0.01910511635015857,0.0,0.008187907007210816,0.00982548840865298,0.002729302335736939,0.0038210232700317147,0.005458604671473878,0.008733767474358205,0.003275162802884327,0.00491274420432649,0.010917209342947756,0.003275162802884327,0.008187907007210816,0.005458604671473878,0.007642046540063429,0.0,0.0021834418685895514,0.0,0.010371348875800367,0.0,0.005458604671473878,0.007642046540063429,0.0,0.00709618607291604,0.0,0.00491274420432649,0.0,0.0010917209342947757,0.005458604671473878,0.0,0.0010917209342947757,0.0,0.0,0.0,0.0,0.0016375814014421635,0.0,0.004366883737179103,0.0038210232700317147,0.0038210232700317147,0.002729302335736939,0.003275162802884327,0.0016375814014421635,0.0,0.0,0.0,0.0021834418685895514,0.0010917209342947757,0.0021834418685895514,0.0,0.0,0.0,0.0,0.0016375814014421635,0.0,0.0,0.0,0.0016375814014421635,0.0,0.0,0.0,0.0,0.0,0.0010917209342947757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
