featureid	rab.all	rab.win.TMR	rab.win.Trt	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	BS	Treatment
Rikenellaceae_RC9_gut_gr|01fe362d9a20df796e9502d11a75a3c8	0.44458273267260295	-5.3006928102999105	2.2913904382957204	7.492924618154769	3.7320808547806203	1.83236548848092	0.00390865404955307	0.00114455129378217	0.0169246555997422	0.00019789238539238502	0.00255050505050505	E	Trt2
Pseudoscardovia_u_b|9a4e460241625bd33e1444c1ad8ce57f	5.156395048584	5.63256211710079	4.63267749563667	-1.16345885896087	1.01299642032044	-1.13269719843535	0.0668158626888686	0.0114539728201074	0.0565950012409978	0.00662878787878788	0.0306607205399819	E	Trt3
Rikenellaceae_RC9_gut_gr_u_r|81ffeaa319d4a3683d32a739093dab80	1.1938289803653601	-1.3567796477059901	3.56420209027468	5.6932959658380495	4.24027345765886	1.51787338635674	0.000156632676208107	0.00391126296076534	0.0223627646703823	0.00031080031080031096	0.0026669857919857896	E	Trt3
F082_u_r|ea7595bee6c1b82981459b8f86f9c125	5.562013974025481	6.23357568680792	4.884183420669911	-1.33541023545191	0.6426314309951011	-1.88503265759938	0.0290195918682355	0.000395302635915074	0.00365800087395598	0.0012771950271950301	0.00794159833222333	E	Trt3
Spirochaetaceae|802336f722117711ba9c546f49a4f50f	2.71090002741723	1.5414606715085102	3.51008365132701	1.9532762542980802	0.811811167495719	2.2146353749358596	0.00668916322927815	0.000178493970911335	0.00208970451126753	0.0004929098679098679	0.00345523111148111	E	Trt3
F082_u_r|77187fc5bcbdc5af239a6fef481430b2	6.521338039682901	7.24836613813205	5.867835339740349	-1.3374801269668202	0.6637075850254021	-1.89293836848785	0.0245009418517793	0.00044275938214605	0.0037070837819567102	0.00143987956487956	0.00860117891367891	E	Trt3
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	-0.8313252374845721	-3.1924798761082798	3.52777450866619	7.14613212467955	2.73157326017043	2.7279123407448798	0.000156632676208107	0.000426290497983237	0.0037294109593777104	0.00031080031080031096	0.0026669857919857896	E	Trt3
Rikenellaceae_RC9_gut_gr|01fe362d9a20df796e9502d11a75a3c8	-0.172629377327893	-5.44970295492365	2.63168597348522	8.282420099357129	4.12051915659215	1.9106612065648898	0.00225454685186617	0.00084407351671088	0.00648803503463508	0.000313228438228438	0.0026669857919857896	E	Trt3
Spirochaetaceae|802336f722117711ba9c546f49a4f50f	2.32427760586428	1.26577104013414	3.0250946562534797	1.70257707094741	1.25341288400144	1.29733186903553	0.0682266585145467	0.00296461057905461	0.0459207116386636	0.00256531662781663	0.0360571334529668	E	Trt5
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	0.20829430526812198	-3.5863838891997797	3.27960548285221	6.785235626430429	2.72481814229056	2.64989573228553	0.00013705627678544099	0.00044397575379996797	0.011470392156326	0.000155400155400155	0.0052629662004662	E	Trt5
