featureid	rab.all	rab.win.TMR	rab.win.Trt	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	BS	Treatment
Lactobacillus_mucosae|85870f9c9d8561d496c865a3b52b5d02	2.9370115733445497	1.92384715375353	4.54950218461497	2.7498304199898196	1.4279854495884199	1.8676282349755702	0.00197273405648325	0.000135875713394346	0.007201412809900309	0.00018210955710955701	0.00176091847966848	FR	Trt3
Lactobacillus_mucosae|de8d04f3bc8e1e86c55677ca89aa8f90	2.4269843297665896	1.31445249064494	4.02966401350765	3.28812615467278	2.7930490813599103	1.23696962364622	0.00196888864670557	0.0117138487760285	0.0994603896626946	0.000176039238539239	0.00172016640766641	FR	Trt3
Rikenellaceae_RC9_gut_gr_u_r|81ffeaa319d4a3683d32a739093dab80	1.9972663658223302	-4.81216739365172	3.63726648372029	8.69594315865241	4.100508535659	1.9841686984328202	0.00013705627678544099	0.0007514665989209231	0.009171223449044091	0.000155400155400155	0.00190381377881378	FL	Trt2
F082_u_r|ea7595bee6c1b82981459b8f86f9c125	6.176983679252469	6.73942584930633	5.71506044743189	-1.2160753716959198	1.02243348389344	-1.15405599643883	0.0937503800015545	0.00656252852441172	0.0515008302081246	0.00814636752136752	0.0522516806110556	FL	Trt2
Atopobium_u_r|e1d34271efe7b6c1bb28d0743ab3afce	1.92145389747663	3.09618708759637	0.758880683983006	-2.8619489979411203	2.4146728045309196	-1.11595612809261	0.062378759947114996	0.0161161032846034	0.08873816581821099	0.0028311965811965802	0.021144283956784	FL	Trt2
F082_u_r|77187fc5bcbdc5af239a6fef481430b2	7.151230386773139	7.7556761302898805	6.698454182366559	-1.16817765258097	1.0489353630498799	-1.06534280045083	0.105263489677621	0.00802042242333941	0.0542261231058966	0.0107626748251748	0.0630349607953775	FL	Trt2
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	0.530253363022463	-4.9410745315039595	3.6037712685663505	8.47960462729451	3.04617981549029	2.69739617355584	0.00013705627678544099	0.000185986436725518	0.0029864311739090104	0.000155400155400155	0.00190381377881378	FL	Trt2
Rikenellaceae_RC9_gut_gr|01fe362d9a20df796e9502d11a75a3c8	0.8091008520007409	-4.861767039182981	2.6716901533762996	7.68273791677428	3.58927357961758	2.0965264942053703	0.00013705627678544099	0.0006078275732063621	0.00722483033370989	0.000155400155400155	0.00190381377881378	FL	Trt2
Prevotellaceae|896920b38704fd64a368bdcdf9063088	2.8254025281602204	3.51221572324183	2.07212584353849	-1.49451281841508	1.3702754135394901	-0.9998456967751009	0.15204699727075596	0.0254245207961972	0.0977845346198406	0.0218652874902875	0.0825534825589458	FL	Trt3
Pseudoscardovia_u_b|9a4e460241625bd33e1444c1ad8ce57f	4.49673314983036	5.45899638858873	4.04891913402008	-1.50439169402487	1.71453891281043	-0.8947851156824229	0.15625020721677	0.0177363308641524	0.0766878158618087	0.0219684829059829	0.0851435928905334	FL	Trt3
Rikenellaceae_RC9_gut_gr_u_r|81ffeaa319d4a3683d32a739093dab80	2.28943006001304	-5.12022964319634	3.80651174827081	8.84535726131526	4.4082059062405	1.94192059895235	0.00013705627678544099	0.000886022323111182	0.00593239154910496	0.000155400155400155	0.00102594165094165	FL	Trt3
F082_u_r|ea7595bee6c1b82981459b8f86f9c125	5.535367895084651	6.458833830544981	4.77074465661268	-1.7048123151585002	0.7130633893020999	-2.30797931038755	0.00013705627678544099	0.000106211178841735	0.00109003919294531	0.000162684537684538	0.0010520729270729302	FL	Trt3
