	Group1	Group2	p	q
0	Trt5	Trt2	0.005	0.024999999999999998
1	Trt5	Trt1	0.004	0.024999999999999998
2	Trt5	Trt3	0.057	0.19
3	Trt5	Trt4	0.106	0.20333333333333334
4	Trt2	Trt1	0.826	0.826
5	Trt2	Trt3	0.669	0.7433333333333334
6	Trt2	Trt4	0.079	0.19749999999999998
7	Trt1	Trt3	0.592	0.7399999999999999
8	Trt1	Trt4	0.122	0.20333333333333334
9	Trt3	Trt4	0.213	0.30428571428571427
