	Group1	Group2	p	q
0	FR	FL	0.036	0.054
1	FR	SAM	0.822	0.822
2	FR	E	0.022	0.054
3	FL	SAM	0.028	0.054
4	FL	E	0.553	0.6636000000000001
5	SAM	E	0.03	0.054
