	Group1	Group2	p	q
0	FR	FL	0.003	0.012
1	FR	SAM	0.692	0.692
2	FR	E	0.004	0.012
3	FL	SAM	0.028	0.042
4	FL	E	0.123	0.14759999999999998
5	SAM	E	0.026	0.042
