	Group1	Group2	p	q
0	Trt5	Trt2	0.024	0.07
1	Trt5	Trt1	0.03	0.07
2	Trt5	Trt3	0.027	0.07
3	Trt5	Trt4	0.169	0.21125
4	Trt2	Trt1	0.5	0.5555555555555556
5	Trt2	Trt3	0.169	0.21125
6	Trt2	Trt4	0.03	0.07
7	Trt1	Trt3	0.116	0.19333333333333336
8	Trt1	Trt4	0.035	0.07
9	Trt3	Trt4	0.603	0.603
