	Group1	Group2	p	q
0	Trt5	Trt2	0.034	0.068
1	Trt5	Trt1	0.033	0.068
2	Trt5	Trt3	0.174	0.1933333333333333
3	Trt5	Trt4	0.621	0.621
4	Trt2	Trt1	0.097	0.12125
5	Trt2	Trt3	0.086	0.12125
6	Trt2	Trt4	0.026	0.068
7	Trt1	Trt3	0.029	0.068
8	Trt1	Trt4	0.027	0.068
9	Trt3	Trt4	0.084	0.12125
