	Group1	Group2	p	q
0	FR	FL	0.034	0.068
1	FR	SAM	0.483	0.483
2	FR	E	0.117	0.1404
3	FL	SAM	0.026	0.068
4	FL	E	0.058	0.08700000000000001
5	SAM	E	0.021	0.068
