	Group1	Group2	p	q
0	FR	FL	0.025	0.045
1	FR	SAM	0.249	0.2988
2	FR	E	0.018	0.045
3	FL	SAM	0.03	0.045
4	FL	E	0.72	0.72
5	SAM	E	0.024	0.045
