	Group1	Group2	p	q
0	Trt5	Trt2	0.081	0.11857142857142859
1	Trt5	Trt1	0.022	0.08
2	Trt5	Trt3	0.083	0.11857142857142859
3	Trt5	Trt4	0.121	0.15125
4	Trt2	Trt1	0.686	0.686
5	Trt2	Trt3	0.235	0.26111111111111107
6	Trt2	Trt4	0.024	0.08
7	Trt1	Trt3	0.059	0.118
8	Trt1	Trt4	0.018	0.08
9	Trt3	Trt4	0.033	0.0825
