	Group1	Group2	p	q
0	FR	FL	0.029	0.08700000000000001
1	FR	SAM	0.135	0.162
2	FR	E	0.051	0.102
3	FL	SAM	0.023	0.08700000000000001
4	FL	E	0.532	0.532
5	SAM	E	0.069	0.10350000000000001
