	Group1	Group2	p	q
0	FR	FL	0.017	0.08
1	FR	SAM	0.745	0.745
2	FR	E	0.142	0.17039999999999997
3	FL	SAM	0.035	0.08
4	FL	E	0.04	0.08
5	SAM	E	0.055	0.0825
