#SampleID	A1037	A1038	A1039	A1040	A1041	A1042	A1043	A1044	A1045	A1046	A2037	A2038	A2039	A2040	A2041	A2042	A2043	A2044	A2045	A2046
A1040	0.14285714285714285	0.14285714285714285	0.14705882352941174	0.0	0.2	0.32432432432432434	0.2777777777777778	0.25	0.2702702702702703	0.2777777777777778	0.3	0.3555555555555556	0.32558139534883723	0.3333333333333333	0.3555555555555556	0.3333333333333333	0.3414634146341464	0.3170731707317073	0.4047619047619048	0.35
A1041	0.2777777777777778	0.22857142857142854	0.18181818181818185	0.2	0.0	0.2647058823529412	0.15625	0.18181818181818185	0.2058823529411765	0.21212121212121213	0.2894736842105263	0.3488372093023256	0.3170731707317073	0.28205128205128205	0.30952380952380953	0.2368421052631579	0.2894736842105263	0.2631578947368421	0.3157894736842105	0.25
A1042	0.3055555555555556	0.3055555555555556	0.2647058823529412	0.32432432432432434	0.2647058823529412	0.0	0.29411764705882354	0.21212121212121213	0.18181818181818185	0.24242424242424246	0.4	0.372093023255814	0.3	0.3076923076923077	0.3333333333333333	0.3076923076923077	0.3157894736842105	0.2894736842105263	0.38461538461538464	0.3684210526315789
A1043	0.3055555555555556	0.3055555555555556	0.21212121212121213	0.2777777777777778	0.15625	0.29411764705882354	0.0	0.15625	0.18181818181818185	0.24242424242424246	0.35897435897435903	0.3333333333333333	0.3414634146341464	0.2631578947368421	0.3333333333333333	0.2631578947368421	0.3157894736842105	0.2894736842105263	0.34210526315789475	0.2777777777777778
A1044	0.22857142857142854	0.22857142857142854	0.18181818181818185	0.25	0.18181818181818185	0.21212121212121213	0.15625	0.0	0.15151515151515152	0.21212121212121213	0.3333333333333333	0.30952380952380953	0.3170731707317073	0.325	0.3488372093023256	0.28205128205128205	0.2894736842105263	0.3076923076923077	0.35897435897435903	0.2972972972972973
A1045	0.25	0.25	0.15151515151515152	0.2702702702702703	0.2058823529411765	0.18181818181818185	0.18181818181818185	0.15151515151515152	0.0	0.18181818181818185	0.3902439024390244	0.32558139534883723	0.3333333333333333	0.3	0.32558139534883723	0.3	0.3076923076923077	0.28205128205128205	0.375	0.3157894736842105
A1046	0.2571428571428571	0.3055555555555556	0.21212121212121213	0.2777777777777778	0.21212121212121213	0.24242424242424246	0.24242424242424246	0.21212121212121213	0.18181818181818185	0.0	0.35897435897435903	0.3333333333333333	0.3	0.2631578947368421	0.2926829268292683	0.21621621621621626	0.3157894736842105	0.19444444444444445	0.34210526315789475	0.22857142857142854
A2037	0.28205128205128205	0.325	0.3333333333333333	0.3	0.2894736842105263	0.4	0.35897435897435903	0.3333333333333333	0.3902439024390244	0.35897435897435903	0.0	0.2325581395348837	0.3181818181818182	0.32558139534883723	0.2325581395348837	0.2857142857142857	0.20512820512820512	0.225	0.18421052631578946	0.2564102564102564
A2038	0.3409090909090909	0.37777777777777777	0.3863636363636364	0.3555555555555556	0.3488372093023256	0.372093023255814	0.3333333333333333	0.30952380952380953	0.32558139534883723	0.3333333333333333	0.2325581395348837	0.0	0.18181818181818185	0.26666666666666666	0.2553191489361702	0.26666666666666666	0.2325581395348837	0.20930232558139536	0.2558139534883721	0.2380952380952381
A2039	0.3488372093023256	0.3863636363636364	0.35714285714285715	0.32558139534883723	0.3170731707317073	0.3	0.3414634146341464	0.3170731707317073	0.3333333333333333	0.3	0.3181818181818182	0.18181818181818185	0.0	0.14634146341463414	0.2222222222222222	0.2325581395348837	0.2380952380952381	0.21428571428571427	0.3023255813953488	0.24390243902439024
A2040	0.35714285714285715	0.3953488372093023	0.325	0.3333333333333333	0.28205128205128205	0.3076923076923077	0.2631578947368421	0.325	0.3	0.2631578947368421	0.32558139534883723	0.26666666666666666	0.14634146341463414	0.0	0.18604651162790695	0.1951219512195122	0.24390243902439024	0.2195121951219512	0.30952380952380953	0.25
A2041	0.37777777777777777	0.4130434782608696	0.3488372093023256	0.3555555555555556	0.30952380952380953	0.3333333333333333	0.3333333333333333	0.3488372093023256	0.32558139534883723	0.2926829268292683	0.2325581395348837	0.2553191489361702	0.2222222222222222	0.18604651162790695	0.0	0.18604651162790695	0.19047619047619047	0.16666666666666666	0.2558139534883721	0.2380952380952381
A2042	0.35714285714285715	0.3953488372093023	0.325	0.3333333333333333	0.2368421052631579	0.3076923076923077	0.2631578947368421	0.28205128205128205	0.3	0.21621621621621626	0.2857142857142857	0.26666666666666666	0.2325581395348837	0.1951219512195122	0.18604651162790695	0.0	0.2857142857142857	0.1282051282051282	0.225	0.20512820512820512
A2043	0.36585365853658536	0.4047619047619048	0.375	0.3414634146341464	0.2894736842105263	0.3157894736842105	0.3157894736842105	0.2894736842105263	0.3076923076923077	0.3157894736842105	0.20512820512820512	0.2325581395348837	0.2380952380952381	0.24390243902439024	0.19047619047619047	0.2857142857142857	0.0	0.225	0.2307692307692308	0.16216216216216214
A2044	0.3414634146341464	0.3809523809523809	0.3076923076923077	0.3170731707317073	0.2631578947368421	0.2894736842105263	0.2894736842105263	0.3076923076923077	0.28205128205128205	0.19444444444444445	0.225	0.20930232558139536	0.21428571428571427	0.2195121951219512	0.16666666666666666	0.1282051282051282	0.225	0.0	0.15789473684210525	0.13513513513513514
A2045	0.3902439024390244	0.42857142857142855	0.4	0.4047619047619048	0.3157894736842105	0.38461538461538464	0.34210526315789475	0.35897435897435903	0.375	0.34210526315789475	0.18421052631578946	0.2558139534883721	0.3023255813953488	0.30952380952380953	0.2558139534883721	0.225	0.2307692307692308	0.15789473684210525	0.0	0.1388888888888889
A2046	0.375	0.4146341463414634	0.34210526315789475	0.35	0.25	0.3684210526315789	0.2777777777777778	0.2972972972972973	0.3157894736842105	0.22857142857142854	0.2564102564102564	0.2380952380952381	0.24390243902439024	0.25	0.2380952380952381	0.20512820512820512	0.16216216216216214	0.13513513513513514	0.1388888888888889	0.0
