#SampleID	A1057	A1058	A1059	A1060	A1061	A1062	A1063	A1064	A1065	A1066	A2057	A2058	A2059	A2060	A2061	A2062	A2063	A2064	A2065	A2066
A1057	0.0	0.17777777777777778	0.2222222222222222	0.18181818181818185	0.26666666666666666	0.20454545454545456	0.2790697674418605	0.24444444444444444	0.24390243902439024	0.26666666666666666	0.2	0.21739130434782608	0.20454545454545456	0.16279069767441862	0.2790697674418605	0.25	0.3170731707317073	0.2222222222222222	0.30952380952380953	0.2954545454545455
A1058	0.17777777777777778	0.0	0.17391304347826084	0.13333333333333333	0.2553191489361702	0.1956521739130435	0.3043478260869565	0.1956521739130435	0.2727272727272727	0.2553191489361702	0.1111111111111111	0.08888888888888889	0.1956521739130435	0.11363636363636365	0.26666666666666666	0.2391304347826087	0.37777777777777777	0.17391304347826084	0.3333333333333333	0.2826086956521739
A1059	0.2222222222222222	0.17391304347826084	0.0	0.13636363636363635	0.13953488372093026	0.1590909090909091	0.19047619047619047	0.11627906976744184	0.1951219512195122	0.18181818181818185	0.1956521739130435	0.13333333333333333	0.07142857142857142	0.1590909090909091	0.19047619047619047	0.20454545454545456	0.30952380952380953	0.17777777777777778	0.2619047619047619	0.16666666666666666
A1060	0.18181818181818185	0.13333333333333333	0.13636363636363635	0.0	0.13953488372093026	0.07142857142857142	0.19047619047619047	0.11627906976744184	0.2380952380952381	0.13953488372093026	0.06976744186046513	0.09090909090909093	0.11627906976744184	0.07142857142857142	0.19047619047619047	0.11904761904761905	0.30952380952380953	0.17777777777777778	0.3023255813953488	0.16666666666666666
A1061	0.26666666666666666	0.2553191489361702	0.13953488372093026	0.13953488372093026	0.0	0.11904761904761905	0.10256410256410256	0.11904761904761905	0.2	0.14285714285714285	0.2	0.17777777777777778	0.11904761904761905	0.20454545454545456	0.10256410256410256	0.16666666666666666	0.275	0.18181818181818185	0.2682926829268293	0.125
A1062	0.20454545454545456	0.1956521739130435	0.1590909090909091	0.07142857142857142	0.11904761904761905	0.0	0.17073170731707318	0.13953488372093026	0.2195121951219512	0.11904761904761905	0.13636363636363635	0.15555555555555556	0.13953488372093026	0.13953488372093026	0.17073170731707318	0.0975609756097561	0.3333333333333333	0.2	0.2857142857142857	0.14634146341463414
A1063	0.2790697674418605	0.3043478260869565	0.19047619047619047	0.19047619047619047	0.10256410256410256	0.17073170731707318	0.0	0.17073170731707318	0.16216216216216214	0.15	0.25	0.2272727272727273	0.17073170731707318	0.2558139534883721	0.10810810810810813	0.175	0.2432432432432433	0.19047619047619047	0.1891891891891892	0.13157894736842105
A1064	0.24444444444444444	0.1956521739130435	0.11627906976744184	0.11627906976744184	0.11904761904761905	0.13953488372093026	0.17073170731707318	0.0	0.175	0.16279069767441862	0.17777777777777778	0.11363636363636365	0.13953488372093026	0.18181818181818185	0.17073170731707318	0.18604651162790695	0.25	0.1590909090909091	0.24390243902439024	0.1
A1065	0.24390243902439024	0.2727272727272727	0.1951219512195122	0.2380952380952381	0.2	0.2195121951219512	0.16216216216216214	0.175	0.0	0.2	0.2558139534883721	0.2325581395348837	0.2195121951219512	0.2619047619047619	0.21052631578947367	0.2682926829268293	0.25	0.2790697674418605	0.08823529411764706	0.13513513513513514
A1066	0.26666666666666666	0.2553191489361702	0.18181818181818185	0.13953488372093026	0.14285714285714285	0.11904761904761905	0.15	0.16279069767441862	0.2	0.0	0.2	0.17777777777777778	0.16279069767441862	0.16279069767441862	0.15	0.12195121951219512	0.35714285714285715	0.2222222222222222	0.225	0.07692307692307693
