#SampleID	A1047	A1048	A1049	A1050	A1051	A1052	A1053	A1054	A1055	A1056	A2047	A2048	A2049	A2050	A2051	A2052	A2053	A2054	A2055	A2056
A1047	0.0	0.23268156424581005	0.18016759776536312	0.23268156424581005	0.19832402234636876	0.20251396648044687	0.2256983240223464	0.243854748603352	0.2159217877094972	0.23519553072625696	0.3466480446927374	0.3435754189944134	0.18044692737430168	0.2575418994413408	0.2388268156424581	0.21564245810055865	0.2044692737430168	0.2293296089385475	0.21452513966480447	0.21089385474860334
A1048	0.23268156424581005	0.0	0.2991620111731844	0.15391061452513966	0.243854748603352	0.27569832402234634	0.3198324022346369	0.3078212290502793	0.3150837988826816	0.3106145251396648	0.27569832402234634	0.2620111731843575	0.2483240223463687	0.15726256983240222	0.2036312849162011	0.2346368715083799	0.30139664804469274	0.288268156424581	0.3150837988826816	0.2416201117318436
A1049	0.18016759776536312	0.2991620111731844	0.0	0.25335195530726257	0.12150837988826815	0.12821229050279329	0.13324022346368716	0.15083798882681565	0.15418994413407822	0.15335195530726256	0.39497206703910615	0.3335195530726257	0.08491620111731843	0.2860335195530726	0.18044692737430168	0.15865921787709494	0.11843575418994412	0.1441340782122905	0.14469273743016758	0.1553072625698324
A1050	0.23268156424581005	0.15391061452513966	0.25335195530726257	0.0	0.20391061452513967	0.203072625698324	0.29497206703910617	0.2589385474860335	0.2910614525139665	0.2578212290502793	0.2759776536312849	0.2	0.2245810055865922	0.062290502793296086	0.1888268156424581	0.16787709497206704	0.2776536312849162	0.2516759776536313	0.28854748603351954	0.19329608938547485
A1051	0.19832402234636876	0.243854748603352	0.12150837988826815	0.20391061452513967	0.0	0.08268156424581005	0.15558659217877094	0.1324022346368715	0.17513966480446927	0.1463687150837989	0.3835195530726257	0.3162011173184357	0.15558659217877094	0.2312849162011173	0.09748603351955308	0.10558659217877096	0.13687150837988826	0.12374301675977653	0.17067039106145251	0.11564245810055865
A1052	0.20251396648044687	0.27569832402234634	0.12821229050279329	0.203072625698324	0.08268156424581005	0.0	0.17430167597765364	0.10782122905027933	0.1941340782122905	0.1058659217877095	0.39804469273743015	0.3276536312849162	0.17374301675977655	0.23854748603351955	0.14664804469273746	0.07234636871508379	0.16033519553072625	0.11675977653631285	0.18212290502793296	0.09608938547486033
A1053	0.2256983240223464	0.3198324022346369	0.13324022346368716	0.29497206703910617	0.15558659217877094	0.17430167597765364	0.0	0.12737430167597766	0.11871508379888268	0.13910614525139664	0.4195530726256983	0.3508379888268157	0.18687150837988828	0.3245810055865922	0.2240223463687151	0.2106145251396648	0.0388268156424581	0.10726256983240223	0.09078212290502792	0.1787709497206704
A1054	0.243854748603352	0.3078212290502793	0.15083798882681565	0.2589385474860335	0.1324022346368715	0.10782122905027933	0.12737430167597766	0.0	0.1664804469273743	0.08379888268156424	0.4276536312849162	0.355586592178771	0.20391061452513967	0.2946927374301676	0.20837988826815645	0.14748603351955308	0.1217877094972067	0.048044692737430165	0.15363128491620112	0.14022346368715086
A1055	0.2159217877094972	0.3150837988826816	0.15418994413407822	0.2910614525139665	0.17513966480446927	0.1941340782122905	0.11871508379888268	0.1664804469273743	0.0	0.1871508379888268	0.43435754189944137	0.3667597765363129	0.1818435754189944	0.3209497206703911	0.22513966480446929	0.2217877094972067	0.11033519553072624	0.15446927374301675	0.048882681564245814	0.1846368715083799
A1056	0.23519553072625696	0.3106145251396648	0.15335195530726256	0.2578212290502793	0.1463687150837989	0.1058659217877095	0.13910614525139664	0.08379888268156424	0.1871508379888268	0.0	0.4229050279329609	0.3513966480446927	0.2128491620111732	0.2910614525139665	0.220391061452514	0.16089385474860335	0.13463687150837989	0.08324022346368715	0.16731843575418995	0.09608938547486033
A2047	0.3466480446927374	0.27569832402234634	0.39497206703910615	0.2759776536312849	0.3835195530726257	0.39804469273743015	0.4195530726256983	0.4276536312849162	0.43435754189944137	0.4229050279329609	0.0	0.1782122905027933	0.36703910614525137	0.2508379888268156	0.3486033519553073	0.35502793296089385	0.4033519553072626	0.4120111731843576	0.4335195530726257	0.3483240223463687
A2048	0.3435754189944134	0.2620111731843575	0.3335195530726257	0.2	0.3162011173184357	0.3276536312849162	0.3508379888268157	0.355586592178771	0.3667597765363129	0.3513966480446927	0.1782122905027933	0.0	0.3125698324022346	0.1787709497206704	0.28519553072625703	0.28910614525139666	0.3458100558659218	0.3379888268156425	0.3650837988826816	0.2837988826815642
A2049	0.18044692737430168	0.2483240223463687	0.08491620111731843	0.2245810055865922	0.15558659217877094	0.17374301675977655	0.18687150837988828	0.20391061452513967	0.1818435754189944	0.2128491620111732	0.36703910614525137	0.3125698324022346	0.0	0.2536312849162011	0.15195530726256984	0.14329608938547486	0.15782122905027932	0.19944134078212286	0.1782122905027933	0.1941340782122905
A2050	0.2575418994413408	0.15726256983240222	0.2860335195530726	0.062290502793296086	0.2312849162011173	0.23854748603351955	0.3245810055865922	0.2946927374301676	0.3209497206703911	0.2910614525139665	0.2508379888268156	0.1787709497206704	0.2536312849162011	0.0	0.19497206703910613	0.2022346368715084	0.3067039106145251	0.28240223463687153	0.31899441340782125	0.22206703910614525
A2051	0.2388268156424581	0.2036312849162011	0.18044692737430168	0.1888268156424581	0.09748603351955308	0.14664804469273746	0.2240223463687151	0.20837988826815645	0.22513966480446929	0.220391061452514	0.3486033519553073	0.28519553072625703	0.15195530726256984	0.19497206703910613	0.0	0.10670391061452514	0.20782122905027933	0.19078212290502794	0.2164804469273743	0.15893854748603353
A2052	0.21564245810055865	0.2346368715083799	0.15865921787709494	0.16787709497206704	0.10558659217877096	0.07234636871508379	0.2106145251396648	0.14748603351955308	0.2217877094972067	0.16089385474860335	0.35502793296089385	0.28910614525139666	0.14329608938547486	0.2022346368715084	0.10670391061452514	0.0	0.1935754189944134	0.15418994413407822	0.2164804469273743	0.10139664804469274
A2053	0.2044692737430168	0.30139664804469274	0.11843575418994412	0.2776536312849162	0.13687150837988826	0.16033519553072625	0.0388268156424581	0.1217877094972067	0.11033519553072624	0.13463687150837989	0.4033519553072626	0.3458100558659218	0.15782122905027932	0.3067039106145251	0.20782122905027933	0.1935754189944134	0.0	0.10670391061452514	0.07905027932960894	0.1659217877094972
