#SampleID	A1057	A1058	A1059	A1060	A1061	A1062	A1063	A1064	A1065	A1066	A2057	A2058	A2059	A2060	A2061	A2062	A2063	A2064	A2065	A2066
A1057	0.0	0.2150837988826816	0.20558659217877093	0.19385474860335195	0.27849162011173184	0.308659217877095	0.391340782122905	0.2706703910614525	0.441340782122905	0.2698324022346369	0.09804469273743016	0.220391061452514	0.2022346368715084	0.1952513966480447	0.3120111731843576	0.2994413407821229	0.42346368715083793	0.30837988826815643	0.4804469273743017	0.2709497206703911
A1058	0.2150837988826816	0.0	0.1787709497206704	0.08603351955307262	0.21312849162011172	0.2354748603351955	0.3329608938547486	0.196927374301676	0.3645251396648045	0.20949720670391064	0.20502793296089386	0.0505586592178771	0.16759776536312848	0.09804469273743016	0.24553072625698324	0.24022346368715086	0.3536312849162011	0.22094972067039104	0.4022346368715084	0.2047486033519553
A1059	0.20558659217877093	0.1787709497206704	0.0	0.16312849162011173	0.12625698324022347	0.18044692737430168	0.23910614525139665	0.18044692737430168	0.2888268156424581	0.11201117318435756	0.24916201117318434	0.17793296089385474	0.03854748603351955	0.15893854748603353	0.15977653631284916	0.17653631284916202	0.2430167597765363	0.20977653631284915	0.33324022346368715	0.11312849162011175
A1060	0.19385474860335195	0.08603351955307262	0.16312849162011173	0.0	0.18966480446927372	0.21675977653631284	0.33212290502793296	0.17206703910614524	0.3645251396648045	0.1818435754189944	0.18547486033519556	0.09078212290502792	0.15167597765363128	0.05586592178770949	0.22430167597765366	0.21983240223463688	0.35446927374301673	0.20558659217877093	0.4016759776536313	0.18156424581005587
A1061	0.27849162011173184	0.21312849162011172	0.12625698324022347	0.18966480446927372	0.0	0.10977653631284916	0.17513966480446927	0.15279329608938547	0.2223463687150838	0.09581005586592177	0.31145251396648044	0.2159217877094972	0.12374301675977653	0.1846368715083799	0.07150837988826815	0.11955307262569832	0.18798882681564247	0.15865921787709494	0.2622905027932961	0.09245810055865923
A1062	0.308659217877095	0.2354748603351955	0.18044692737430168	0.21675977653631284	0.10977653631284916	0.0	0.1935754189944134	0.10558659217877096	0.2368715083798883	0.10670391061452514	0.3567039106145252	0.2452513966480447	0.16871508379888267	0.1877094972067039	0.1254189944134078	0.04273743016759776	0.21312849162011172	0.11312849162011175	0.26145251396648045	0.1170391061452514
A1063	0.391340782122905	0.3329608938547486	0.23910614525139665	0.33212290502793296	0.17513966480446927	0.1935754189944134	0.0	0.22290502793296088	0.13575418994413407	0.21033519553072624	0.4245810055865922	0.3368715083798883	0.2321229050279329	0.3220670391061453	0.12932960893854747	0.2053072625698324	0.08156424581005586	0.18212290502793296	0.17318435754189945	0.20977653631284915
A1064	0.2706703910614525	0.196927374301676	0.18044692737430168	0.17206703910614524	0.15279329608938547	0.10558659217877096	0.22290502793296088	0.0	0.26256983240223464	0.13072625698324022	0.30614525139664805	0.19022346368715085	0.16396648044692738	0.15558659217877094	0.15754189944134078	0.10726256983240223	0.25027932960893856	0.06312849162011172	0.2910614525139665	0.1318435754189944
A1065	0.441340782122905	0.3645251396648045	0.2888268156424581	0.3645251396648045	0.2223463687150838	0.2368715083798883	0.13575418994413407	0.26256983240223464	0.0	0.2421787709497207	0.4793296089385475	0.37597765363128494	0.2829608938547486	0.35614525139664804	0.17150837988826814	0.2449720670391061	0.15977653631284916	0.223463687150838	0.057821229050279324	0.2488826815642458
A1066	0.2698324022346369	0.20949720670391064	0.11201117318435756	0.1818435754189944	0.09581005586592177	0.10670391061452514	0.21033519553072624	0.13072625698324022	0.2421787709497207	0.0	0.3153631284916201	0.21173184357541897	0.11033519553072624	0.16899441340782126	0.11787709497206705	0.10921787709497206	0.2276536312849162	0.15865921787709494	0.2849162011173184	0.036592178770949724
A2057	0.09804469273743016	0.20502793296089386	0.24916201117318434	0.18547486033519556	0.31145251396648044	0.3567039106145252	0.4245810055865922	0.30614525139664805	0.4793296089385475	0.3153631284916201	0.0	0.20139664804469276	0.2463687150837989	0.20726256983240224	0.3497206703910615	0.3505586592178771	0.4603351955307263	0.3405027932960894	0.5134078212290503	0.3175977653631285
A2058	0.220391061452514	0.0505586592178771	0.17793296089385474	0.09078212290502792	0.2159217877094972	0.2452513966480447	0.3368715083798883	0.19022346368715085	0.37597765363128494	0.21173184357541897	0.20139664804469276	0.0	0.17262569832402236	0.1106145251396648	0.2483240223463687	0.25027932960893856	0.3625698324022346	0.2201117318435754	0.4136871508379889	0.2100558659217877
A2059	0.2022346368715084	0.16759776536312848	0.03854748603351955	0.15167597765363128	0.12374301675977653	0.16871508379888267	0.2321229050279329	0.16396648044692738	0.2829608938547486	0.11033519553072624	0.2463687150837989	0.17262569832402236	0.0	0.15083798882681565	0.15195530726256984	0.17430167597765364	0.23379888268156426	0.19106145251396647	0.33016759776536314	0.1122905027932961
A2060	0.1952513966480447	0.09804469273743016	0.15893854748603353	0.05586592178770949	0.1846368715083799	0.1877094972067039	0.3220670391061453	0.15558659217877094	0.35614525139664804	0.16899441340782126	0.20726256983240224	0.1106145251396648	0.15083798882681565	0.0	0.21256983240223465	0.19497206703910613	0.34329608938547485	0.1863128491620112	0.3877094972067039	0.16787709497206704
A2061	0.3120111731843576	0.24553072625698324	0.15977653631284916	0.22430167597765366	0.07150837988826815	0.1254189944134078	0.12932960893854747	0.15754189944134078	0.17150837988826814	0.11787709497206705	0.3497206703910615	0.2483240223463687	0.15195530726256984	0.21256983240223465	0.0	0.13435754189944135	0.15195530726256984	0.1259776536312849	0.21452513966480447	0.1181564245810056
A2062	0.2994413407821229	0.24022346368715086	0.17653631284916202	0.21983240223463688	0.11955307262569832	0.04273743016759776	0.2053072625698324	0.10726256983240223	0.2449720670391061	0.10921787709497206	0.3505586592178771	0.25027932960893856	0.17430167597765364	0.19497206703910613	0.13435754189944135	0.0	0.22988826815642455	0.12960893854748606	0.2712290502793296	0.12206703910614525
A2063	0.42346368715083793	0.3536312849162011	0.2430167597765363	0.35446927374301673	0.18798882681564247	0.21312849162011172	0.08156424581005586	0.25027932960893856	0.15977653631284916	0.2276536312849162	0.4603351955307263	0.3625698324022346	0.23379888268156426	0.34329608938547485	0.15195530726256984	0.22988826815642455	0.0	0.2058659217877095	0.1664804469273743	0.22486033519553075
A2064	0.30837988826815643	0.22094972067039104	0.20977653631284915	0.20558659217877093	0.15865921787709494	0.11312849162011175	0.18212290502793296	0.06312849162011172	0.223463687150838	0.15865921787709494	0.3405027932960894	0.2201117318435754	0.19106145251396647	0.1863128491620112	0.1259776536312849	0.12960893854748606	0.2058659217877095	0.0	0.2472067039106145	0.16368715083798882
A2065	0.4804469273743017	0.4022346368715084	0.33324022346368715	0.4016759776536313	0.2622905027932961	0.26145251396648045	0.17318435754189945	0.2910614525139665	0.057821229050279324	0.2849162011173184	0.5134078212290503	0.4136871508379889	0.33016759776536314	0.3877094972067039	0.21452513966480447	0.2712290502793296	0.1664804469273743	0.2472067039106145	0.0	0.2930167597765363
A2066	0.2709497206703911	0.2047486033519553	0.11312849162011175	0.18156424581005587	0.09245810055865923	0.1170391061452514	0.20977653631284915	0.1318435754189944	0.2488826815642458	0.036592178770949724	0.3175977653631285	0.2100558659217877	0.1122905027932961	0.16787709497206704	0.1181564245810056	0.12206703910614525	0.22486033519553075	0.16368715083798882	0.2930167597765363	0.0
